unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Byrd,7/24/2023,1,12:30 a.m.,83,54,,65,,E. Johnson,
Byrd,7/24/2023,2,1:30 a.m.,82,62,,68,,E. Johnson,
Byrd,7/24/2023,3,2:30 a.m.,81,67,,69,,E. Johnson,
Byrd,7/24/2023,4,3:30 a.m.,81,71,,71,,E. Johnson,
Byrd,7/24/2023,5,4:30 a.m.,80,74,,71,,E. Johnson,hi_wc corrected
Byrd,7/24/2023,6,5:30 a.m.,79,76,,71,,E. Johnson,humid corrected
Byrd,7/24/2023,7,6:30 a.m.,79,N/A,,N/A,,Austin,
Byrd,7/24/2023,8,7:30 a.m.,80,79,,84,,Austin,
Byrd,7/24/2023,9,8:30 a.m.,83,72,,86,,Austin,
Byrd,7/24/2023,10,9:30 a.m.,86,69,,95,,Austin,
Byrd,7/24/2023,11,10:30 a.m.,90,61,,100,,Austin,
Byrd,7/24/2023,12,11:30 a.m.,91,57,,100,,Austin,
Byrd,7/24/2023,13,12:30 p.m.,92,53,,100,,Austin,
Byrd,7/24/2023,14,1:30 p.m.,96,44,,103,,Austin,
Byrd,7/24/2023,15,2:30 p.m.,100,36,,106,,Austin,
Byrd,7/24/2023,16,3:30 p.m.,101,32,,106,,Austin,
Byrd,7/24/2023,17,4:30 p.m.,101,31,,105,,Austin,
Byrd,7/24/2023,18,5:30 p.m.,101,30,,104,,Austin,
Byrd,7/24/2023,19,6:30 p.m.,101,30,,104,,Austin,
Byrd,7/24/2023,20,7:30 p.m.,101,30,,104,,Austin,
Byrd,7/24/2023,21,8:30 p.m.,97,34,,99,,Austin,
Byrd,7/24/2023,22,9:30 p.m.,95,39,,99,,Austin,
Byrd,7/24/2023,23,10:30 p.m.,90,53,,96,,E. Johnson,
Byrd,7/24/2023,24,11:30 p.m.,83,69,,N/A,,E. Johnson,
Byrd,7/25/2023,1,12:30 a.m.,88,63,,96,,E. Johnson,
Byrd,7/25/2023,2,1:30 a.m.,85,69,,92,,E. Johnson,
Byrd,7/25/2023,3,2:30 a.m.,85,72,,93,,E. Johnson,
Byrd,7/25/2023,4,3:30 a.m.,84,74,,92,,E. Johnson,
Byrd,7/25/2023,5,4:30 a.m.,82,79,,75,,E. Johnson,
Byrd,7/25/2023,6,5:30 a.m.,82,79,,75,,E. Johnson,
Byrd,7/25/2023,7,6:30 a.m.,81,75,,84,,Austin,
Byrd,7/25/2023,8,7:30 a.m.,81,84,,85,,Austin,
Byrd,7/25/2023,9,8:30 a.m.,82,84,,90,,Austin,humid corrected
Byrd,7/25/2023,10,9:30 a.m.,85,77,,95,,Austin,temp corrected
Byrd,7/25/2023,11,10:30 a.m.,88,67,,99,,Austin,
