unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Polunsky,7/24/2023,1,12:30 a.m.,80,76,,84,,Cox,
Polunsky,7/24/2023,2,1:30 a.m.,78,82,,80,,Cox,
Polunsky,7/24/2023,3,2:30 a.m.,77,85,,78,,Cox,
Polunsky,7/24/2023,4,3:30 a.m.,75,90,,N/A,,Cox,
Polunsky,7/24/2023,5,4:30 a.m.,72,97,,N/A,,Cox,
Polunsky,7/24/2023,6,5:30 a.m.,74,91,,N/A,,Cox,
Polunsky,7/24/2023,7,6:30 a.m.,71,100,,N/A,,Challuger,
Polunsky,7/24/2023,8,7:30 a.m.,71,100,,N/A,,Challuger,
Polunsky,7/24/2023,9,8:30 a.m.,77,90,,78,,Challuger,
Polunsky,7/24/2023,10,9:30 a.m.,85,77,,96,,Challuger,
Polunsky,7/24/2023,11,10:30 a.m.,87,70,,98,,Challuger,
Polunsky,7/24/2023,12,11:30 a.m.,89,63,,99,,Challuger,
Polunsky,7/24/2023,13,12:30 p.m.,93,52,,102,,Challuger,
Polunsky,7/24/2023,14,1:30 p.m.,96,44,,103,,Challuger,
Polunsky,7/24/2023,15,2:30 p.m.,97,39,,102,,Challuger,
Polunsky,7/24/2023,16,3:30 p.m.,96,39,,100,,Challuger,
Polunsky,7/24/2023,17,4:30 p.m.,98,39,,104,,Challuger,
Polunsky,7/24/2023,18,5:30 p.m.,99,31,,101,,Challuger,
Polunsky,7/24/2023,19,6:30 p.m.,96,32,,97,,Cox,
Polunsky,7/24/2023,20,7:30 p.m.,97,32,,98,,Cox,
Polunsky,7/24/2023,21,8:30 p.m.,92,51,,99,,Cox,
Polunsky,7/24/2023,22,9:30 p.m.,87,63,,94,,Cox,
Polunsky,7/24/2023,23,10:30 p.m.,86,67,,94,,Cox,
Polunsky,7/24/2023,24,11:30 p.m.,85,70,,93,,Cox,
Polunsky,7/25/2023,1,12:30 a.m.,82,70,,89,,Cox,
Polunsky,7/25/2023,2,1:30 a.m.,80,85,,85,,Cox,
Polunsky,7/25/2023,3,2:30 a.m.,79,88,,83,,Cox,
Polunsky,7/25/2023,4,3:30 a.m.,78,90,,80,,Cox,
Polunsky,7/25/2023,5,4:30 a.m.,75,96,,N/A,,Cox,
Polunsky,7/25/2023,6,5:30 a.m.,73,100,,N/A,,Cox,
Polunsky,7/25/2023,7,6:30 a.m.,73,100,,N/A,,Challuger,
Polunsky,7/25/2023,8,7:30 a.m.,72,100,,N/A,,Challuger,
Polunsky,7/25/2023,9,8:30 a.m.,76,100,,75,,Challuger,
