unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Wainwright,7/24/2023,1,12:30 a.m.,81,59,7,83,1,Daniel D,
Wainwright,7/24/2023,2,1:30 a.m.,80,63,3,82,1,Daniel D,
Wainwright,7/24/2023,3,2:30 a.m.,79,67,2,N/A,,Daniel D,
Wainwright,7/24/2023,4,3:30 a.m.,76,73,3,N/A,,Daniel D,
Wainwright,7/24/2023,5,4:30 a.m.,76,72,2,N/A,,Daniel D,
Wainwright,7/24/2023,6,5:30 a.m.,75,70,2,N/A,,Daniel D,
Wainwright,7/24/2023,7,6:30 a.m.,74,80,2,N/A,,John,
Wainwright,7/24/2023,8,7:30 a.m.,78,76,2,80,1,John,
Wainwright,7/24/2023,9,8:30 a.m.,84,70,5,90,2,John,
Wainwright,7/24/2023,10,9:30 a.m.,88,64,2,99,2,John,
Wainwright,7/24/2023,11,10:30 a.m.,98,58,6,103,2,John,temp legibility
Wainwright,7/24/2023,12,11:30 a.m.,95,55,5,109,3,John,
Wainwright,7/24/2023,13,12:30 p.m.,97,49,4,109,3,John,
Wainwright,7/24/2023,14,1:30 p.m.,100,42,5,111,3,John,
Wainwright,7/24/2023,15,2:30 p.m.,101,40,2,112,3,Okedawg,
Wainwright,7/24/2023,16,3:30 p.m.,102,37,4,112,3,Okedawg,
Wainwright,7/24/2023,17,4:30 p.m.,107,37,3,107,3,Okedawg,
Wainwright,7/24/2023,18,5:30 p.m.,105,33,5,110,3,Okedawg,
Wainwright,7/24/2023,19,6:30 p.m.,107,33,5,106,3,Okedawg,
Wainwright,7/24/2023,20,7:30 p.m.,100,33,3,104,3,Okedawg,
Wainwright,7/24/2023,21,8:30 p.m.,93,42,3,96,2,Okedawg,
Wainwright,7/24/2023,22,9:30 p.m.,91,47,4,95,2,Okedawg,
Wainwright,7/24/2023,23,10:30 p.m.,88,61,7,96,2,Daniel D,
Wainwright,7/24/2023,24,11:30 p.m.,85,67,4,92,2,Daniel D,
Wainwright,7/25/2023,1,12:30 a.m.,84,72,3,91,2,Daniel D,
Wainwright,7/25/2023,2,1:30 a.m.,83,77,4,90,2,Daniel D,
Wainwright,7/25/2023,3,2:30 a.m.,81,84,5,87,1,Daniel D,
Wainwright,7/25/2023,4,3:30 a.m.,80,86,4,88,1,Daniel D,
Wainwright,7/25/2023,5,4:30 a.m.,79,88,4,91,,Daniel D,hi_wc corrected
Wainwright,7/25/2023,6,5:30 a.m.,78,91,3,N/A,,Daniel D,
Wainwright,7/25/2023,7,6:30 a.m.,78,92,3,81,,S. Biggs,
Wainwright,7/25/2023,8,7:30 a.m.,80,91,3,86,1,S. Biggs,"temp corrected, hi_wc correced"
Wainwright,7/25/2023,9,8:30 a.m.,84,85,8,96,2,S. Biggs,
Wainwright,7/25/2023,10,9:30 a.m.,88,75,8,103,3,S. Biggs,
Wainwright,7/25/2023,11,10:30 a.m.,90,64,8,103,2,S. Biggs,
Wainwright,7/25/2023,12,11:30 a.m.,94,55,5,106,3,S. Biggs,
Wainwright,7/25/2023,13,12:30 p.m.,95,52,3,108,3,S. Biggs,
Wainwright,7/25/2023,14,1:30 p.m.,98,45,10,109,3,S. Biggs,
Wainwright,7/25/2023,15,2:30 p.m.,100,41,6,110,3,Okedawg,
Wainwright,7/25/2023,16,3:30 p.m.,101,37,10,109,3,Okedawg,
Wainwright,7/25/2023,17,4:30 p.m.,102,35,4,110,3,Okedawg,
Wainwright,7/25/2023,18,5:30 p.m.,101,35,4,108,3,Okedawg,
Wainwright,7/25/2023,19,6:30 p.m.,100,37,6,107,3,Okedawg,
Wainwright,7/25/2023,20,7:30 p.m.,97,41,8,104,3,Okedawg,
Wainwright,7/25/2023,21,8:30 p.m.,98,48,4,108,3,Okedawg,
Wainwright,7/25/2023,22,9:30 p.m.,89,34,4,94,2,Okedawg,
Wainwright,7/25/2023,23,10:30 p.m.,87,61,4,93,2,Daniel D,
Wainwright,7/25/2023,24,11:30 p.m.,85,66,2,91,2,Daniel D,
Wainwright,7/26/2023,1,12:30 a.m.,83,71,3,89,1,Daniel D,
Wainwright,7/26/2023,2,1:30 a.m.,82,76,6,88,1,Daniel D,
Wainwright,7/26/2023,3,2:30 a.m.,81,79,4,86,1,Daniel D,
Wainwright,7/26/2023,4,3:30 a.m.,80,82,4,84,1,Daniel D,
Wainwright,7/26/2023,5,4:30 a.m.,79,85,5,N/A,,Daniel D,
Wainwright,7/26/2023,6,5:30 a.m.,78,87,5,N/A,,Daniel D,
Wainwright,7/26/2023,7,6:30 a.m.,77,89,2,N/A,,S. Biggs,
Wainwright,7/26/2023,8,7:30 a.m.,78,90,3,N/A,,S. Biggs,
Wainwright,7/26/2023,9,8:30 a.m.,84,83,6,94,2,S. Biggs,
Wainwright,7/26/2023,10,9:30 a.m.,90,71,7,105,3,S. Biggs,
Wainwright,7/26/2023,11,10:30 a.m.,91,64,8,103,2,S. Biggs,
Wainwright,7/26/2023,12,11:30 a.m.,93,58,4,105,3,S. Biggs,
Wainwright,7/26/2023,13,12:30 p.m.,96,49,7,108,3,S. Biggs,
Wainwright,7/26/2023,14,1:30 p.m.,98,42,5,105,3,S. Biggs,
Wainwright,7/26/2023,15,2:30 p.m.,98,38,8,104,3,Any,
Wainwright,7/26/2023,16,3:30 p.m.,101,35,6,106,3,Any,
Wainwright,7/26/2023,17,4:30 p.m.,100,35,0,106,3,Any,
Wainwright,7/26/2023,18,5:30 p.m.,102,35,8,110,3,Any,
Wainwright,7/26/2023,19,6:30 p.m.,99,38,6,106,3,Any,hi_wc_n legibility
Wainwright,7/26/2023,20,7:30 p.m.,96,42,9,102,3,Any,
Wainwright,7/26/2023,21,8:30 p.m.,92,48,6,97,2,Any,
Wainwright,7/26/2023,22,9:30 p.m.,90,53,5,96,2,Any,
Wainwright,7/26/2023,23,10:30 p.m.,88,62,6,96,2,Daniel D,
Wainwright,7/26/2023,24,11:30 p.m.,86,70,5,95,2,Daniel D,
Wainwright,7/27/2023,1,12:30 a.m.,84,74,3,92,2,Daniel D,
Wainwright,7/27/2023,2,1:30 a.m.,83,77,4,90,1,Daniel D,
Wainwright,7/27/2023,3,2:30 a.m.,82,82,4,89,1,Daniel D,
Wainwright,7/27/2023,4,3:30 a.m.,80,84,3,85,1,Daniel D,
Wainwright,7/27/2023,5,4:30 a.m.,80,87,2,85,1,Daniel D,hi_wc_n legibility
Wainwright,7/27/2023,6,5:30 a.m.,78,90,2,N/A,,Daniel D,
Wainwright,7/27/2023,7,6:30 a.m.,77,91,,78,,Burns,
Wainwright,7/27/2023,8,7:30 a.m.,79,83,4,83,,Burns,
Wainwright,7/27/2023,9,8:30 a.m.,84,96,7,96,2,Burns,
Wainwright,7/27/2023,10,9:30 a.m.,87,76,6,101,2,Burns,
Wainwright,7/27/2023,11,10:30 a.m.,91,64,5,105,3,Burns,
Wainwright,7/27/2023,12,11:30 a.m.,94,51,6,104,3,Burns,
Wainwright,7/27/2023,13,12:30 p.m.,97,49,2,107,3,Burns,
Wainwright,7/27/2023,14,1:30 p.m.,98,43,9,106,3,Burns,
Wainwright,7/27/2023,15,2:30 p.m.,99,39,6,106,3,Any,
Wainwright,7/27/2023,16,3:30 p.m.,100,36,5,106,3,Any,
Wainwright,7/27/2023,17,4:30 p.m.,99,38,8,106,3,Any,
Wainwright,7/27/2023,18,5:30 p.m.,100,34,4,105,3,Any,
Wainwright,7/27/2023,19,6:30 p.m.,97,37,11,101,3,Any,
Wainwright,7/27/2023,20,7:30 p.m.,96,38,10,100,3,Any,
Wainwright,7/27/2023,21,8:30 p.m.,92,43,5,95,2,Any,
Wainwright,7/27/2023,22,9:30 p.m.,89,54,6,94,2,Any,wind corrected
Wainwright,7/27/2023,23,10:30 p.m.,86,63,2,92,2,Daniel D,
Wainwright,7/27/2023,24,11:30 p.m.,85,94,4,91,2,Daniel D,
Wainwright,7/28/2023,1,12:30 a.m.,83,67,2,88,1,Daniel D,
Wainwright,7/28/2023,2,1:30 a.m.,82,70,3,86,1,Daniel D,
Wainwright,7/28/2023,3,2:30 a.m.,81,71,,85,1,Daniel D,
Wainwright,7/28/2023,4,3:30 a.m.,80,79,2,82,1,Daniel D,
