unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Choice Moore,7/24/2023,1,12:30 a.m.,76,87,,N/A,,Njong,
Choice Moore,7/24/2023,2,1:30 a.m.,74,83,,N/A,,Njong,
Choice Moore,7/24/2023,3,2:30 a.m.,72,87,6,N/A,,Killebrew,
Choice Moore,7/24/2023,4,3:30 a.m.,73,83,Calm,N/A,,Killebrew,
Choice Moore,7/24/2023,5,4:30 a.m.,71,88,6,N/A,,Killebrew,
Choice Moore,7/24/2023,6,5:30 a.m.,71,91,3,N/A,,Killebrew,
Choice Moore,7/24/2023,7,6:30 a.m.,70,92,3,N/A,,Killebrew,
Choice Moore,7/24/2023,8,7:30 a.m.,71,82,,N/A,,Cordeu,
Choice Moore,7/24/2023,9,8:30 a.m.,71,82,,N/A,,Cordeu,
Choice Moore,7/24/2023,10,9:30 a.m.,83,52,8,N/A,,Cordeu,
Choice Moore,7/24/2023,11,10:30 a.m.,88,60,,N/A,,Cordeu,temp corrected
Choice Moore,7/24/2023,12,11:30 a.m.,92,52,,N/A,,Cordeu,
Choice Moore,7/24/2023,13,12:30 p.m.,90,50,,N/A,,Cordeu,
Choice Moore,7/24/2023,14,1:30 p.m.,92,49,,98,,Sicking,
Choice Moore,7/24/2023,15,2:30 p.m.,93,44,,97,,Sicking,
Choice Moore,7/24/2023,16,3:30 p.m.,94,45,,99,,Sicking,
Choice Moore,7/24/2023,17,4:30 p.m.,95,45,,99,,Sicking,
Choice Moore,7/24/2023,18,5:30 p.m.,94,45,,99,,Sicking,
Choice Moore,7/24/2023,19,6:30 p.m.,94,45,,99,,Hunt,
Choice Moore,7/24/2023,20,7:30 p.m.,97,44,,105,,Hunt,temp corrected
Choice Moore,7/24/2023,21,8:30 p.m.,85,57,,88,,Hunt,
Choice Moore,7/24/2023,22,9:30 p.m.,82,78,,86,,Hunt, 
Choice Moore,7/24/2023,23,10:30 p.m.,82,65,,86,,Hunt,
Choice Moore,7/24/2023,24,11:30 p.m.,82,0,,86,,Hunt,hi_wc legibility (had  % instead of °)
Choice Moore,7/25/2023,1,12:30 a.m.,82,,0,86,,Hunt,temp/humid corrected 
Choice Moore,7/25/2023,2,1:30 a.m.,82,0,,86,,Hunt,
Choice Moore,7/25/2023,3,2:30 a.m.,77,72,,NA,,Njong,
Choice Moore,7/25/2023,4,3:30 a.m.,77,72,,NA,,Njong,
Choice Moore,7/25/2023,5,4:30 a.m.,71,36,,NA,,Njong,
Choice Moore,7/25/2023,6,5:30 a.m.,76,40,,NA,,Njong,
Choice Moore,7/25/2023,7,6:30 a.m.,78,NA,,NA,,Caldwell,
Choice Moore,7/25/2023,8,7:30 a.m.,78,NA,,NA,,Caldwell,temp corrected
Choice Moore,7/25/2023,9,8:30 a.m.,78,NA,,NA,,Caldwell,temp corrected
Choice Moore,7/25/2023,10,9:30 a.m.,79,NA,,NA,,Caldwell,
Choice Moore,7/25/2023,11,10:30 a.m.,89,NA,,NA,,Caldwell,temp corrected
Choice Moore,7/25/2023,12,11:30 a.m.,90,NA,,NA,,Caldwell,temp corrected
Choice Moore,7/25/2023,13,12:30 p.m.,95,NA,,NA,,Caldwell,
Choice Moore,7/25/2023,14,1:30 p.m.,97,49,,NA,,Cordeu,
Choice Moore,7/25/2023,15,2:30 p.m.,99,45,,NA,,Cordeu,
Choice Moore,7/25/2023,16,3:30 p.m.,101,44,,NA,,Cordeu,
Choice Moore,7/25/2023,17,4:30 p.m.,102,39,,NA,,Cordeu,
Choice Moore,7/25/2023,18,5:30 p.m.,103,38,,NA,,Cordeu,
Choice Moore,7/25/2023,19,6:30 p.m.,98,41,,103,,Martinez,
Choice Moore,7/25/2023,20,7:30 p.m.,95,45,,101,,Martinez,
Choice Moore,7/25/2023,21,8:30 p.m.,91,49,,96,,Martinez,
Choice Moore,7/25/2023,22,9:30 p.m.,86,62,,91,,Martinez,
Choice Moore,7/25/2023,23,10:30 p.m.,83,67,,90,,Martinez,
Choice Moore,7/25/2023,24,11:30 p.m.,82,69,,86,,Martinez,
Choice Moore,7/26/2023,1,12:30 a.m.,80,71,,83,,Martinez,
Choice Moore,7/26/2023,2,1:30 a.m.,79,72,,NA,,Martinez,
Choice Moore,7/26/2023,3,2:30 a.m.,77,77,,NA,,Martinez,
Choice Moore,7/26/2023,4,3:30 a.m.,77,75,,NA,,Njong,
Choice Moore,7/26/2023,5,4:30 a.m.,76,73,,NA,,Njong,
Choice Moore,7/26/2023,6,5:30 a.m.,75,79,,NA,,Njong,
Choice Moore,7/26/2023,7,6:30 a.m.,74,81,,NA,,Hon,
Choice Moore,7/26/2023,8,7:30 a.m.,74,84,,NA,,Hon,
Choice Moore,7/26/2023,9,8:30 a.m.,79,75,,NA,,Hon,temp legibility
Choice Moore,7/26/2023,10,9:30 a.m.,83,69,,NA,,Hon,
Choice Moore,7/26/2023,11,10:30 a.m.,87,63,,93,,Hon,
Choice Moore,7/26/2023,12,11:30 a.m.,90,55,,97,,Hon,humid legibility
Choice Moore,7/26/2023,13,12:30 p.m.,91,51,,99,,Hon,
Choice Moore,7/26/2023,14,1:30 p.m.,93,48,,100,,Hon,
Choice Moore,7/26/2023,15,2:30 p.m.,94,44,,99,,Hon,
Choice Moore,7/26/2023,16,3:30 p.m.,95,40,,99,,Hon,temp legibility
Choice Moore,7/26/2023,17,4:30 p.m.,96,39,,100,,Hon,
Choice Moore,7/26/2023,18,5:30 p.m.,96,39,,105,,Hon,hi_wc legibility
Choice Moore,7/26/2023,19,6:30 p.m.,96,39,,99,,Njong,
Choice Moore,7/26/2023,20,7:30 p.m.,93,45,,98,,Njong,
Choice Moore,7/26/2023,21,8:30 p.m.,89,49,,93,,Njong,
Choice Moore,7/26/2023,22,9:30 p.m.,85,61,,NA,,Njong,
Choice Moore,7/26/2023,23,10:30 p.m.,83,59,,NA,,Njong,
Choice Moore,7/26/2023,24,11:30 p.m.,82,72,,NA,,Njong,
Choice Moore,7/27/2023,1,12:30 a.m.,81,76,,NA,,Njong,
Choice Moore,7/27/2023,2,1:30 a.m.,80,77,,84,,Apple,
Choice Moore,7/27/2023,3,2:30 a.m.,79,NA,,NA,,Apple,
Choice Moore,7/27/2023,4,3:30 a.m.,78,NA,,NA,,Apple,
Choice Moore,7/27/2023,5,4:30 a.m.,76,NA,,NA,,Apple,
Choice Moore,7/27/2023,6,5:30 a.m.,78,NA,,NA,,Apple,
Choice Moore,7/27/2023,7,6:30 a.m.,78,NA,,NA,,Pritchett,
Choice Moore,7/27/2023,8,7:30 a.m.,77,NA,,NA,,Pritchett,
Choice Moore,7/27/2023,9,8:30 a.m.,79,NA,,NA,,Pritchett,
Choice Moore,7/27/2023,10,9:30 a.m.,82,72,,86,,Pritchett,
Choice Moore,7/27/2023,11,10:30 a.m.,84,64,,89,,Pritchett,
Choice Moore,7/27/2023,12,11:30 a.m.,90,56,,98,,Pritchett,temp corrected
Choice Moore,7/27/2023,13,12:30 p.m.,90,56,,98,,Pritchett,
Choice Moore,7/27/2023,14,1:30 p.m.,93,47,,99,,Pritchett,temp corrected
Choice Moore,7/27/2023,15,2:30 p.m.,96,37,,100,1,Pritchett,
Choice Moore,7/27/2023,16,3:30 p.m.,97,35,,100,1,Pritchett,temp corrected
Choice Moore,7/27/2023,17,4:30 p.m.,98,30,,99,1,Pritchett,
Choice Moore,7/27/2023,18,5:30 p.m.,98,34,,100,1,Pritchett,
Choice Moore,7/27/2023,19,6:30 p.m.,96,35,,98,,Granger,
Choice Moore,7/27/2023,20,7:30 p.m.,94,37,,96,,Granger,
Choice Moore,7/27/2023,21,8:30 p.m.,90,44,,92,,Granger,
Choice Moore,7/27/2023,22,9:30 p.m.,85,59,,90,,Granger,hi_wc corrected
Choice Moore,7/27/2023,23,10:30 p.m.,83,64,,89,,Granger,
Choice Moore,7/27/2023,24,11:30 p.m.,81,67,,82,,Granger,
Choice Moore,7/28/2023,1,12:30 a.m.,80,72,,83,,Granger,hi_wc corrected
Choice Moore,7/28/2023,2,1:30 a.m.,80,70,,83,,Brennan,
Choice Moore,7/28/2023,3,2:30 a.m.,80,69,,83,,Brennan,
Choice Moore,7/28/2023,4,3:30 a.m.,79,NA,,NA,,Brennan,
Choice Moore,7/28/2023,5,4:30 a.m.,76,NA,,NA,,Brennan,
Choice Moore,7/28/2023,6,5:30 a.m.,76,NA,,NA,,Brennan,
Choice Moore,7/28/2023,7,6:30 a.m.,75,NA,,NA,,Pritchett,
Choice Moore,7/28/2023,8,7:30 a.m.,75,NA,,NA,,Pritchett,
Choice Moore,7/28/2023,9,8:30 a.m.,78,NA,,NA,,Pritchett,
Choice Moore,7/28/2023,10,9:30 a.m.,83,70,,86,,Pritchett,
Choice Moore,7/28/2023,11,10:30 a.m.,88,55,,93,,Pritchett,hi_wc corrected
Choice Moore,7/28/2023,12,11:30 a.m.,92,47,,97,1,Pritchett,"humid corrected, hi_wc corrected"
Choice Moore,7/28/2023,13,12:30 p.m.,94,44,,99,1,Pritchett,temp corrected
Choice Moore,7/28/2023,14,1:30 p.m.,95,42,,99,1,Pritchett,
Choice Moore,7/28/2023,15,2:30 p.m.,96,37,,100,1,Pritchett,
Choice Moore,7/28/2023,16,3:30 p.m.,96,37,,100,1,Pritchett,
Choice Moore,7/28/2023,17,4:30 p.m.,97,35,,100,1,Pritchett,
Choice Moore,7/28/2023,18,5:30 p.m.,98,36,,102,1,Pritchett,
Choice Moore,7/28/2023,19,6:30 p.m.,97,36,,100,,Brennan,
Choice Moore,7/28/2023,20,7:30 p.m.,95,38,,98,,Brennan,
Choice Moore,7/28/2023,21,8:30 p.m.,91,50,,96,,Brennan,
Choice Moore,7/28/2023,22,9:30 p.m.,86,58,,89,,Brennan,
Choice Moore,7/28/2023,23,10:30 p.m.,85,58,,89,,Brennan,
Choice Moore,7/28/2023,24,11:30 p.m.,82,65,,85,,Brennan,
Choice Moore,7/29/2023,1,12:30 a.m.,81,71,,83,,Brennan,
Choice Moore,7/29/2023,2,1:30 a.m.,80,75,,82,,Thornton,
Choice Moore,7/29/2023,3,2:30 a.m.,78,NA,,NA,,Thornton,
Choice Moore,7/29/2023,4,3:30 a.m.,78,NA,,NA,,Thornton,
Choice Moore,7/29/2023,5,4:30 a.m.,79,NA,,NA,,Thornton,
Choice Moore,7/29/2023,6,5:30 a.m.,76,NA,,NA,,Thornton,
Choice Moore,7/29/2023,7,6:30 a.m.,75,NA,,NA,,Pritchett,
Choice Moore,7/29/2023,8,7:30 a.m.,75,NA,,NA,,Pritchett,temp corrected
Choice Moore,7/29/2023,9,8:30 a.m.,79,NA,,NA,,Pritchett,
Choice Moore,7/29/2023,10,9:30 a.m.,83,73,,86,,Pritchett,humid legibility
Choice Moore,7/29/2023,11,10:30 a.m.,89,49,,93,,Pritchett,hi_wc corrected
Choice Moore,7/29/2023,12,11:30 a.m.,92,46,,90,,Pritchett,"temp corrected, humid corrected, hi_wc corrected"
Choice Moore,7/29/2023,13,12:30 p.m.,95,41,,100,1,Pritchett,hi_wc_n legibility
Choice Moore,7/29/2023,14,1:30 p.m.,95,40,,100,1,Pritchett,
Choice Moore,7/29/2023,15,2:30 p.m.,97,38,,101,1,Pritchett,
Choice Moore,7/29/2023,16,3:30 p.m.,98,40,,105,2,Pritchett,
Choice Moore,7/29/2023,17,4:30 p.m.,98,37,,103,2,Pritchett,
Choice Moore,7/29/2023,18,5:30 p.m.,100,35,,104,,Pritchett,hi_wc corrected
Choice Moore,7/29/2023,19,6:30 p.m.,98,40,,105,2,Colley,
Choice Moore,7/29/2023,20,7:30 p.m.,95,41,,100,1,Colley,
Choice Moore,7/29/2023,21,8:30 p.m.,91,49,,97,1,Colley,
Choice Moore,7/29/2023,22,9:30 p.m.,85,56,,86,,Colley,
Choice Moore,7/29/2023,23,10:30 p.m.,85,63,,87,,Colley,
Choice Moore,7/29/2023,24,11:30 p.m.,82,66,,85,,Colley,
Choice Moore,7/30/2023,1,12:30 a.m.,81,71,,85,,M. Colley,
Choice Moore,7/30/2023,2,1:30 a.m.,79,74,,84,,Granger,
Choice Moore,7/30/2023,3,2:30 a.m.,78,NA,,NA,,Granger,
Choice Moore,7/30/2023,4,3:30 a.m.,78,NA,,NA,,Granger,
Choice Moore,7/30/2023,5,4:30 a.m.,78,NA,,NA,,Granger,
Choice Moore,7/30/2023,6,5:30 a.m.,75,NA,,NA,,Granger,
Choice Moore,7/30/2023,7,6:30 a.m.,72,NA,,NA,,Pritchett,
Choice Moore,7/30/2023,8,7:30 a.m.,75,NA,,NA,,Pritchett,
Choice Moore,7/30/2023,9,8:30 a.m.,79,NA,,NA,,Pritchett,
Choice Moore,7/30/2023,10,9:30 a.m.,84,62,,88,,Pritchett,
Choice Moore,7/30/2023,11,10:30 a.m.,89,55,,94,,Pritchett,humid corrected
Choice Moore,7/30/2023,12,11:30 a.m.,93,47,,98,,Pritchett,"humid corrected, hi_wc corrected"
Choice Moore,7/30/2023,13,12:30 p.m.,95,40,,100,1,Pritchett,
Choice Moore,7/30/2023,14,1:30 p.m.,97,35,,100,1,Pritchett,
Choice Moore,7/30/2023,15,2:30 p.m.,99,30,,103,1,Pritchett,
Choice Moore,7/30/2023,16,3:30 p.m.,99,30,,103,1,Pritchett,
Choice Moore,7/30/2023,17,4:30 p.m.,99,32,,102,1,Pritchett,
Choice Moore,7/30/2023,18,5:30 p.m.,98,36,,103,2,Pritchett,
Choice Moore,7/30/2023,19,6:30 p.m.,98,36,,101,,Brennan,
Choice Moore,7/30/2023,20,7:30 p.m.,98,36,,101,,Brennan,temp corrected
Choice Moore,7/30/2023,21,8:30 p.m.,93,48,,99,,Brennan,
Choice Moore,7/30/2023,22,9:30 p.m.,84,71,,91,,Brennan,
Choice Moore,7/30/2023,23,10:30 p.m.,82,74,,86,,Brennan,
Choice Moore,7/30/2023,24,11:30 p.m.,82,68,,85,,Brennan,
Choice Moore,7/31/2023,1,12:30 a.m.,80,73,,83,,Brennan,
Choice Moore,7/31/2023,2,1:30 a.m.,78,NA,,NA,,Thornton,
Choice Moore,7/31/2023,3,2:30 a.m.,78,NA,,NA,,Thornton,
Choice Moore,7/31/2023,4,3:30 a.m.,79,NA,,NA,,Thornton,
Choice Moore,7/31/2023,5,4:30 a.m.,78,NA,,NA,,Thornton,
Choice Moore,7/31/2023,6,5:30 a.m.,75,NA,,NA,,Thornton,
Choice Moore,7/31/2023,7,6:30 a.m.,73,NA,,NA,,Ortiz Lopez,
Choice Moore,7/31/2023,8,7:30 a.m.,73,NA,,NA,,Ortiz Lopez,
Choice Moore,7/31/2023,9,8:30 a.m.,79,81,,NA,,Sicking,
Choice Moore,7/31/2023,10,9:30 a.m.,87,62,,90,,Sicking,
Choice Moore,7/31/2023,11,10:30 a.m.,89,60,,97,,Sicking,
Choice Moore,7/31/2023,12,11:30 a.m.,92,57,,101,,Sicking,
Choice Moore,7/31/2023,13,12:30 p.m.,94,51,,105,,Sicking,
Choice Moore,7/31/2023,14,1:30 p.m.,96,47,,106,,Sicking,
Choice Moore,7/31/2023,15,2:30 p.m.,98,45,,108,,Sicking,
Choice Moore,7/31/2023,16,3:30 p.m.,100,37,,106,,Sicking,
Choice Moore,7/31/2023,17,4:30 p.m.,100,37,,107,,Sicking,
Choice Moore,7/31/2023,18,5:30 p.m.,100,35,,106,,Sicking,
Choice Moore,7/31/2023,19,6:30 p.m.,100,32,,106,,Apple,
Choice Moore,7/31/2023,20,7:30 p.m.,98,40,,104,,Apple,humid corrected
Choice Moore,7/31/2023,21,8:30 p.m.,90,60,,100,,Apple,temp corrected
Choice Moore,7/31/2023,22,9:30 p.m.,86,65,,93,,Apple,
Choice Moore,7/31/2023,23,10:30 p.m.,80,67,,82,,Apple,
Choice Moore,7/31/2023,24,11:30 p.m.,79,NA,,NA,,Apple,
