unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Hutchins,7/24/2023,1,12:30 a.m.,84,55,,86,,Henry,
Hutchins,7/24/2023,2,1:30 a.m.,82,56,,84,,Henry,
Hutchins,7/24/2023,3,2:30 a.m.,81,58,,82,,Henry,
Hutchins,7/24/2023,4,3:30 a.m.,81,58,,82,,Henry,
Hutchins,7/24/2023,5,4:30 a.m.,80,60,,82,,Henry,
Hutchins,7/24/2023,6,5:30 a.m.,80,58,,82,,Henry,
Hutchins,7/24/2023,7,6:30 a.m.,77,64,,N/A,,Bailey,
Hutchins,7/24/2023,8,7:30 a.m.,77,64,,N/A,,Bailey,
Hutchins,7/24/2023,9,8:30 a.m.,79,62,,N/A,,Bailey,
Hutchins,7/24/2023,10,9:30 a.m.,83,57,,84,,Bailey,
Hutchins,7/24/2023,11,10:30 a.m.,85,55,,86,,Bailey,
Hutchins,7/24/2023,12,11:30 a.m.,90,45,,93,,Bailey,
Hutchins,7/24/2023,13,12:30 p.m.,94,37,,96,,Bailey,
Hutchins,7/24/2023,14,1:30 p.m.,96,31,,96,,Bailey,
Hutchins,7/24/2023,15,2:30 p.m.,98,31,,98,,Bailey,
Hutchins,7/24/2023,16,3:30 p.m.,100,29,,100,,Bailey,
Hutchins,7/24/2023,17,4:30 p.m.,100,27,,100,,Bailey,
Hutchins,7/24/2023,18,5:30 p.m.,100,26,,100,,Bailey,
Hutchins,7/24/2023,19,6:30 p.m.,100,24,,100,,Bailey,
Hutchins,7/24/2023,20,7:30 p.m.,99,29,,99,,Bailey,
Hutchins,7/24/2023,21,8:30 p.m.,97,28,,97,,Bailey,
Hutchins,7/24/2023,22,9:30 p.m.,95,31,,97,,Andati,"humid corrected, person legibility"
Hutchins,7/24/2023,23,10:30 p.m.,93,34,,94,,Henry,
Hutchins,7/24/2023,24,11:30 p.m.,90,37,,91,,Henry,
Hutchins,7/25/2023,1,12:30 a.m.,89,41,,88,,Henry,
Hutchins,7/25/2023,2,1:30 a.m.,87,45,,89,,Henry,
Hutchins,7/25/2023,3,2:30 a.m.,86,45,,87,,Henry,
Hutchins,7/25/2023,4,3:30 a.m.,85,46,,84,,Henry,
Hutchins,7/25/2023,5,4:30 a.m.,83,51,,83,,Henry,
Hutchins,7/25/2023,6,5:30 a.m.,83,55,,84,,Henry,
Hutchins,7/25/2023,7,6:30 a.m.,82,58,,84,,Bailey,
Hutchins,7/25/2023,8,7:30 a.m.,82,58,,84,,Bailey,
Hutchins,7/25/2023,9,8:30 a.m.,81,62,,82,,Bailey,
Hutchins,7/25/2023,10,9:30 a.m.,91,62,,82,,Bailey,
Hutchins,7/25/2023,11,10:30 a.m.,89,52,,93,,Bailey,
Hutchins,7/25/2023,12,11:30 a.m.,92,49,,98,,Bailey,
Hutchins,7/25/2023,13,12:30 p.m.,96,41,,101,,Bailey,
Hutchins,7/25/2023,14,1:30 p.m.,99,34,,101,,Bailey,humid legibility
Hutchins,7/25/2023,15,2:30 p.m.,101,31,,102,,Bailey,
Hutchins,7/25/2023,16,3:30 p.m.,101,30,,102,,Bailey,
Hutchins,7/25/2023,17,4:30 p.m.,101,29,,102,,Bailey,
Hutchins,7/25/2023,18,5:30 p.m.,101,29,,102,,Bailey,
Hutchins,7/25/2023,19,6:30 p.m.,101,28,,101,,Bailey,
Hutchins,7/25/2023,20,7:30 p.m.,100,30,,100,,Bailey,
Hutchins,7/25/2023,21,8:30 p.m.,98,31,,98,,Bailey,
Hutchins,7/25/2023,22,9:30 p.m.,96,34,,96,,Bailey,
Hutchins,7/25/2023,23,10:30 p.m.,94,38,,97,,Henry,
Hutchins,7/25/2023,24,11:30 p.m.,92,40,,94,,Henry,
Hutchins,7/26/2023,1,12:30 a.m.,90,42,,91,,Henry,
Hutchins,7/26/2023,2,1:30 a.m.,89,43,,89,,Henry,
Hutchins,7/26/2023,3,2:30 a.m.,88,43,,88,,Henry,hi_wc corrected
Hutchins,7/26/2023,4,3:30 a.m.,86,49,,88,,Henry,
Hutchins,7/26/2023,5,4:30 a.m.,86,49,,88,,Henry,
Hutchins,7/26/2023,6,5:30 a.m.,83,61,,84,,Henry,
Hutchins,7/26/2023,7,6:30 a.m.,82,63,,84,,Bailey,
Hutchins,7/26/2023,8,7:30 a.m.,82,65,,85,,Bailey,
Hutchins,7/26/2023,9,8:30 a.m.,84,63,,88,,Bailey,
Hutchins,7/26/2023,10,9:30 a.m.,85,61,,89,,Bailey,
Hutchins,7/26/2023,11,10:30 a.m.,89,52,,92,,Bailey,
Hutchins,7/26/2023,12,11:30 a.m.,93,41,,94,,Bailey,
Hutchins,7/26/2023,13,12:30 p.m.,95,39,,97,,Bailey,
Hutchins,7/26/2023,14,1:30 p.m.,97,36,,99,,Bailey,
Hutchins,7/26/2023,15,2:30 p.m.,98,33,,100,,Bailey,
Hutchins,7/26/2023,16,3:30 p.m.,101,29,,101,,Gutau,
Hutchins,7/26/2023,17,4:30 p.m.,101,25,,100,,Gutau,
Hutchins,7/26/2023,18,5:30 p.m.,101,24,,105,,Gabriel,
Hutchins,7/26/2023,19,6:30 p.m.,100,26,,102,,Gutau,
Hutchins,7/26/2023,20,7:30 p.m.,100,25,,102,,Gutau,
Hutchins,7/26/2023,21,8:30 p.m.,94,32,,97,,Gutau,
Hutchins,7/26/2023,22,9:30 p.m.,94,31,,97,,Gutau,
Hutchins,7/26/2023,23,10:30 p.m.,93,34,,96,,Olugbenro,
Hutchins,7/26/2023,24,11:30 p.m.,92,37,,94,,Olugbenro,
Hutchins,7/27/2023,1,12:30 a.m.,92,37,,94,,Olugbenro,
Hutchins,7/27/2023,2,1:30 a.m.,88,43,,89,,Olugbenro,
Hutchins,7/27/2023,3,2:30 a.m.,86,46,,87,,Olugbenro,
Hutchins,7/27/2023,4,3:30 a.m.,85,50,,86,,Olugbenro,
Hutchins,7/27/2023,5,4:30 a.m.,83,55,,85,,Olugbenro,
Hutchins,7/27/2023,6,5:30 a.m.,83,55,,85,,Olugbenro,
Hutchins,7/27/2023,7,6:30 a.m.,83,59,,85,,Bailey,
Hutchins,7/27/2023,8,7:30 a.m.,83,60,,85,,Bailey,
Hutchins,7/27/2023,9,8:30 a.m.,83,65,,85,,Bailey,humid legibility
Hutchins,7/27/2023,10,9:30 a.m.,85,61,,88,,Bailey,
Hutchins,7/27/2023,11,10:30 a.m.,87,53,,89,,Bailey,
Hutchins,7/27/2023,12,11:30 a.m.,92,46,,96,,Bailey,
Hutchins,7/27/2023,13,12:30 p.m.,95,39,,96,,Bailey,
Hutchins,7/27/2023,14,1:30 p.m.,96,36,,98,,Bailey,
Hutchins,7/27/2023,15,2:30 p.m.,99,31,,98,,Gutau,
Hutchins,7/27/2023,16,3:30 p.m.,98,29,,98,,Gutau,
Hutchins,7/27/2023,17,4:30 p.m.,99,26,,98,,Gutau,
Hutchins,7/27/2023,18,5:30 p.m.,99,27,,98,,Gutau,
Hutchins,7/27/2023,19,6:30 p.m.,98,25,,98,,Gutau,
Hutchins,7/27/2023,20,7:30 p.m.,98,25,,98,,Gutau,
Hutchins,7/27/2023,21,8:30 p.m.,96,24,,95,,Gutau,
Hutchins,7/27/2023,22,9:30 p.m.,94,36,,97,,Gutau,
Hutchins,7/27/2023,23,10:30 p.m.,93,37,,96,,Olugbenro,
Hutchins,7/27/2023,24,11:30 p.m.,91,39,,92,,Olugbenro,
Hutchins,7/28/2023,1,12:30 a.m.,90,39,,90,,Olugbenro,
Hutchins,7/28/2023,2,1:30 a.m.,89,43,,88,,Olugbenro,
Hutchins,7/28/2023,3,2:30 a.m.,86,49,,88,,Olugbenro,
Hutchins,7/28/2023,4,3:30 a.m.,86,49,,88,,Olugbenro,
Hutchins,7/28/2023,5,4:30 a.m.,85,53,,87,,Olugbenro,
Hutchins,7/28/2023,6,5:30 a.m.,83,59,,87,,Olugbenro,
Hutchins,7/28/2023,7,6:30 a.m.,83,59,,87,,Bailey,
Hutchins,7/28/2023,8,7:30 a.m.,83,59,,87,,Bailey,
Hutchins,7/28/2023,9,8:30 a.m.,86,61,,91,,Bailey,
Hutchins,7/28/2023,10,9:30 a.m.,83,61,,84,,Bailey,
Hutchins,7/28/2023,11,10:30 a.m.,90,45,,93,,Bailey,
Hutchins,7/28/2023,12,11:30 a.m.,93,40,,94,,Bailey,
Hutchins,7/28/2023,13,12:30 p.m.,94,38,,96,,Bailey,
Hutchins,7/28/2023,14,1:30 p.m.,96,36,,98,,Bailey,humid legibility
Hutchins,7/28/2023,15,2:30 p.m.,97,33,,101,,Gutau,
Hutchins,7/28/2023,16,3:30 p.m.,98,31,,101,,Gutau,
Hutchins,7/28/2023,17,4:30 p.m.,99,28,,101,,Gutau,humid corrected
Hutchins,7/28/2023,18,5:30 p.m.,99,29,,100,,Gutau,
Hutchins,7/28/2023,19,6:30 p.m.,100,30,,101,,Gutau,
Hutchins,7/28/2023,20,7:30 p.m.,98,31,,99,,Gutau,hi_wc corrected
Hutchins,7/28/2023,21,8:30 p.m.,96,34,,101,,Gutau,
Hutchins,7/28/2023,22,9:30 p.m.,95,36,,101,,Gutau,
Hutchins,7/28/2023,23,10:30 p.m.,95,38,,98,,Olugbenro,
Hutchins,7/28/2023,24,11:30 p.m.,93,40,,96,,Olugbenro,
Hutchins,7/29/2023,1,12:30 a.m.,91,44,,95,,Olugbenro,
Hutchins,7/29/2023,2,1:30 a.m.,88,48,,90,,Olugbenro,
Hutchins,7/29/2023,3,2:30 a.m.,87,51,,89,,Olugbenro,
Hutchins,7/29/2023,4,3:30 a.m.,85,57,,90,,Olugbenro,
Hutchins,7/29/2023,5,4:30 a.m.,85,55,,80,,Olugbenro,humid corrected
Hutchins,7/29/2023,6,5:30 a.m.,84,55,,86,,Olugbenro,
Hutchins,7/29/2023,7,6:30 a.m.,82,54,,84,,Burus,
Hutchins,7/29/2023,8,7:30 a.m.,81,58,,82,,Burus,
Hutchins,7/29/2023,9,8:30 a.m.,82,54,,84,,Burus,
Hutchins,7/29/2023,10,9:30 a.m.,86,49,,87,,Burus,
Hutchins,7/29/2023,11,10:30 a.m.,90,43,,91,,Burus,
Hutchins,7/29/2023,12,11:30 a.m.,93,38,,96,,Burus,
Hutchins,7/29/2023,13,12:30 p.m.,96,36,,98,,Burus,
Hutchins,7/29/2023,14,1:30 p.m.,98,33,,100,,Burus,
Hutchins,7/29/2023,15,2:30 p.m.,99,32,,100,,Caldwell,
Hutchins,7/29/2023,16,3:30 p.m.,100,29,,100,,Caldwell,
Hutchins,7/29/2023,17,4:30 p.m.,100,28,,100,,Caldwell,humid legiblity
Hutchins,7/29/2023,18,5:30 p.m.,100,29,,100,,Caldwell,
Hutchins,7/29/2023,19,6:30 p.m.,100,28,,100,,Caldwell,humid legiblity
Hutchins,7/29/2023,20,7:30 p.m.,99,29,,100,,Caldwell,
Hutchins,7/29/2023,21,8:30 p.m.,97,32,,101,,Caldwell,temp legibility
Hutchins,7/29/2023,22,9:30 p.m.,95,32,,101,,Caldwell,
Hutchins,7/29/2023,23,10:30 p.m.,94,35,,95,,Olugbenro,
