unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Johnston,7/24/2023,1,12:30 a.m.,72,N/A,,N/A,,Forward,
Johnston,7/24/2023,2,1:30 a.m.,72,98,,N/A,,Forward,
Johnston,7/24/2023,3,2:30 a.m.,71,N/A,,N/A,,Forward,
Johnston,7/24/2023,4,3:30 a.m.,69,N/A,,N/A,,Forward,temp corrected
Johnston,7/24/2023,5,4:30 a.m.,68,,3,N/A,,Forward,
Johnston,7/24/2023,6,5:30 a.m.,66,,3,N/A,,Forward,
Johnston,7/24/2023,7,6:30 a.m.,67,N/A,,N/A,,Zimmerman,
Johnston,7/24/2023,8,7:30 a.m.,68,N/A,,N/A,,Zimmerman,
Johnston,7/24/2023,9,8:30 a.m.,73,N/A,,N/A,,Zimmerman,temp corrected
Johnston,7/24/2023,10,9:30 a.m.,77,N/A,,N/A,,Zimmerman,
Johnston,7/24/2023,11,10:30 a.m.,83,63,,87,,Zimmerman,
Johnston,7/24/2023,12,11:30 a.m.,88,54,,92,,Zimmerman,
Johnston,7/24/2023,13,12:30 p.m.,88,56,,94,,Alford,
Johnston,7/24/2023,14,1:30 p.m.,90,47,,94,,Bowers,hi_wc corrected
Johnston,7/24/2023,15,2:30 p.m.,91,45,,95,2,Bowers,hi_wc_n legibility
Johnston,7/24/2023,16,3:30 p.m.,92,44,,96,2,Bowers,hi_wc_n legibility
Johnston,7/24/2023,17,4:30 p.m.,92,43,,96,2,Bowers,"hi_wc corrected, hi_wc_n legibility"
Johnston,7/24/2023,18,5:30 p.m.,93,42,,96,,Bowers,
Johnston,7/24/2023,19,6:30 p.m.,91,46,,96,,Forward,
Johnston,7/24/2023,20,7:30 p.m.,89,54,,95,,Forward,
Johnston,7/24/2023,21,8:30 p.m.,87,61,,93,,Forward,
Johnston,7/24/2023,22,9:30 p.m.,78,95,,N/A,,Forward,
Johnston,7/24/2023,23,10:30 p.m.,77,90,,N/A,,Forward,
Johnston,7/24/2023,24,11:30 p.m.,75,90,,N/A,,Forward,
Johnston,7/25/2023,1,12:30 a.m.,73,93,,NA,,Hayes,
Johnston,7/25/2023,2,1:30 a.m.,72,93,,NA,,Hayes,
Johnston,7/25/2023,3,2:30 a.m.,72,94,,NA,,Hayes,
Johnston,7/25/2023,4,3:30 a.m.,71,95,,NA,,Hayes,
Johnston,7/25/2023,5,4:30 a.m.,71,95,,NA,,Hayes,
Johnston,7/25/2023,6,5:30 a.m.,72,87,,NA,,Hayes,
Johnston,7/25/2023,7,6:30 a.m.,72,86,,NA,,Lovelady,
Johnston,7/25/2023,8,7:30 a.m.,68,,,,,Lovelady,
Johnston,7/25/2023,9,8:30 a.m.,69,,,,,Lovelady,
Johnston,7/25/2023,10,9:30 a.m.,72,,,,,Lovelady,
Johnston,7/25/2023,11,10:30 a.m.,72,,,,,Lovelady,
Johnston,7/25/2023,12,11:30 a.m.,88,82,,NA,,Lovelady,
Johnston,7/25/2023,13,12:30 p.m.,89,83,,NA,2,Lovelady,
Johnston,7/25/2023,14,1:30 p.m.,93,53,,104,2,Bowers,
Johnston,7/25/2023,15,2:30 p.m.,93,51,,103,2,Bowers,
Johnston,7/25/2023,16,3:30 p.m.,95,48,,101,,Bowers,
Johnston,7/25/2023,17,4:30 p.m.,95,44,,102,,Bowers,
Johnston,7/25/2023,18,5:30 p.m.,95,44,,102,,Bowers,
Johnston,7/25/2023,19,6:30 p.m.,93,55,,103,,Palacios,
Johnston,7/25/2023,20,7:30 p.m.,89,68,,102,,Palacios,
Johnston,7/25/2023,21,8:30 p.m.,87,75,,102,,Palacios,
Johnston,7/25/2023,22,9:30 p.m.,84,77,,94,,Palacios,
Johnston,7/25/2023,23,10:30 p.m.,81,90,,89,,Palacios,
Johnston,7/25/2023,24,11:30 p.m.,80,87,,N/A,,Palacios,
Johnston,7/26/2023,1,12:30 a.m.,78,94,,N/A,,Guerrero,
Johnston,7/26/2023,2,1:30 a.m.,77,95,,N/A,,Guerrero,
Johnston,7/26/2023,3,2:30 a.m.,76,96,,N/A,,Guerrero,
Johnston,7/26/2023,4,3:30 a.m.,74,98,,N/A,,Guerrero,
Johnston,7/26/2023,5,4:30 a.m.,73,98,,N/A,,Guerrero,
Johnston,7/26/2023,6,5:30 a.m.,74,94,,N/A,,Guerrero,
Johnston,7/26/2023,7,6:30 a.m.,73,N/A,,N/A,,Bowers,
Johnston,7/26/2023,8,7:30 a.m.,75,N/A,,N/A,,Bowers,
Johnston,7/26/2023,9,8:30 a.m.,78,N/A,,N/A,,Bowers,
Johnston,7/26/2023,10,9:30 a.m.,81,68,,80,,Bowers,
Johnston,7/26/2023,11,10:30 a.m.,86,64,,93,,Bowers,
Johnston,7/26/2023,12,11:30 a.m.,88,60,,95,,Bowers,hi_wc legibility
Johnston,7/26/2023,13,12:30 p.m.,90,54,,97,2,Zimmerman,
