unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Hightower,7/24/2023,1,12:30 a.m.,79,89,,79,,Kelly,
Hightower,7/24/2023,2,1:30 a.m.,78,92,,78,,Kelly,
Hightower,7/24/2023,3,2:30 a.m.,78,94,,78,,Kelly,
Hightower,7/24/2023,4,3:30 a.m.,77,95,,77,,Kelly,temp corrected
Hightower,7/24/2023,5,4:30 a.m.,78,98,,76,,Kelly,temp corrected
Hightower,7/24/2023,6,5:30 a.m.,76,98,,76,,Kelly,
Hightower,7/24/2023,7,6:30 a.m.,76,98,,76,,Kelly,
Hightower,7/24/2023,8,7:30 a.m.,80,98,,80,,Thomas,
Hightower,7/24/2023,9,8:30 a.m.,86,76,,86,,Thomas,
Hightower,7/24/2023,10,9:30 a.m.,88,66,,88,,Thomas,
Hightower,7/24/2023,11,10:30 a.m.,89,65,,89,,Thomas,
Hightower,7/24/2023,12,11:30 a.m.,91,62,,91,,Thomas,
Hightower,7/24/2023,13,12:30 p.m.,92,58,,92,,Thomas,
Hightower,7/24/2023,14,1:30 p.m.,92,54,,92,,Thomas,
Hightower,7/24/2023,15,2:30 p.m.,93,52,,93,,Thomas,
Hightower,7/24/2023,16,3:30 p.m.,93,54,,93,,Thomas,
Hightower,7/24/2023,17,4:30 p.m.,95,54,,95,,Thomas,
Hightower,7/24/2023,18,5:30 p.m.,95,53,,95,,,"temp corrected, hi_wc corrected, no name"
Hightower,7/24/2023,19,6:30 p.m.,92,62,,92,,King,
Hightower,7/24/2023,20,7:30 p.m.,89,65,,89,,King,hi_wc corrected
Hightower,7/24/2023,21,8:30 p.m.,85,72,,85,,King,
Hightower,7/24/2023,22,9:30 p.m.,82,82,,82,,King,humid corrected
Hightower,7/24/2023,23,10:30 p.m.,82,82,,82,,King,
Hightower,7/24/2023,24,11:30 p.m.,80,86,,80,,King,
Hightower,7/25/2023,1,12:30 a.m.,80,88,,80,,King,
Hightower,7/25/2023,2,1:30 a.m.,78,90,,78,,King,
Hightower,7/25/2023,3,2:30 a.m.,77,98,,77,,King,
Hightower,7/25/2023,4,3:30 a.m.,76,98,,76,,King,
Hightower,7/25/2023,5,4:30 a.m.,75,97,,75,,King,
Hightower,7/25/2023,6,5:30 a.m.,75,97,,75,,King,
Hightower,7/25/2023,7,6:30 a.m.,75,97,,75,,King,
Hightower,7/25/2023,8,7:30 a.m.,80,97,,80,,Thomas,
Hightower,7/25/2023,9,8:30 a.m.,83,86,,83,,Thomas,
Hightower,7/25/2023,10,9:30 a.m.,89,72,,89,,Thomas,
Hightower,7/25/2023,11,10:30 a.m.,89,67,,89,,Thomas,
Hightower,7/25/2023,12,11:30 a.m.,89,63,,89,,Thomas,
Hightower,7/25/2023,13,12:30 p.m.,93,51,,93,,Thomas,
Hightower,7/25/2023,14,1:30 p.m.,94,50,,94,,Thomas,
Hightower,7/25/2023,15,2:30 p.m.,94,41,,94,,Thomas,
Hightower,7/25/2023,16,3:30 p.m.,95,38,,95,,Thomas,
Hightower,7/25/2023,17,4:30 p.m.,95,43,,95,,Thomas,
Hightower,7/25/2023,18,5:30 p.m.,94,47,,94,,Thomas,
Hightower,7/25/2023,19,6:30 p.m.,90,55,,90,,Jordan,
Hightower,7/25/2023,20,7:30 p.m.,88,64,,88,,Jordan,
Hightower,7/25/2023,21,8:30 p.m.,85,72,,85,,Jordan,
Hightower,7/25/2023,22,9:30 p.m.,87,63,,87,,Jordan,
Hightower,7/25/2023,23,10:30 p.m.,81,86,,81,,Jordan,
Hightower,7/25/2023,24,11:30 p.m.,79,88,,79,,Jordan,
Hightower,7/26/2023,1,12:30 a.m.,78,90,,78,,Jordan,
