unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Jester 3,7/24/2023,1,12:30 a.m.,78,N/A,,N/A,,Oyeka,
Jester 3,7/24/2023,2,1:30 a.m.,78,N/A,,N/A,,Oyeka,
Jester 3,7/24/2023,3,2:30 a.m.,78,N/A,,N/A,,Oyeka,
Jester 3,7/24/2023,4,3:30 a.m.,78,N/A,,N/A,,Oyeka,
Jester 3,7/24/2023,5,4:30 a.m.,77,N/A,,N/A,,Oyeka,
Jester 3,7/24/2023,6,5:30 a.m.,75,N/A,,N/A,,Oyeka,
Jester 3,7/24/2023,7,6:30 a.m.,76,N/A,,N/A,,Atunnise,
Jester 3,7/24/2023,8,7:30 a.m.,79,N/A,,N/A,,Atunnise,
Jester 3,7/24/2023,9,8:30 a.m.,84,88,,97,,Atunnise,
Jester 3,7/24/2023,10,9:30 a.m.,87,78,,101,,Atunnise,
Jester 3,7/24/2023,11,10:30 a.m.,91,67,,106,,Atunnise,
Jester 3,7/24/2023,12,11:30 a.m.,94,60,,110,,Atunnise,
Jester 3,7/24/2023,13,12:30 p.m.,97,55,,114,,Atunnise,
Jester 3,7/24/2023,14,1:30 p.m.,100,47,,115,,Atunnise,
Jester 3,7/24/2023,15,2:30 p.m.,105,38,,119,,Sonaiya,
Jester 3,7/24/2023,16,3:30 p.m.,97,52,,111,,Sonaiya,
Jester 3,7/24/2023,17,4:30 p.m.,86,71,,95,,Sonaiya,
Jester 3,7/24/2023,18,5:30 p.m.,87,70,,97,,Sonaiya,
Jester 3,7/24/2023,19,6:30 p.m.,92,68,,110,,Sonaiya,
Jester 3,7/24/2023,20,7:30 p.m.,91,67,,106,,Sonaiya,
Jester 3,7/24/2023,21,8:30 p.m.,88,71,,100,,Sonaiya,hi_wc legibility
Jester 3,7/24/2023,22,9:30 p.m.,85,79,,96,,Sonaiya,
Jester 3,7/24/2023,23,10:30 p.m.,82,84,,89,,Oyeka,
Jester 3,7/24/2023,24,11:30 p.m.,81,88,,88,,Oyeka,
Jester 3,7/25/2023,1,12:30 a.m.,80,92,,85,,Oyeka,
Jester 3,7/25/2023,2,1:30 a.m.,80,93,,86,,Oyeka,
Jester 3,7/25/2023,3,2:30 a.m.,79,N/A,,N/A,,Oyeka,
Jester 3,7/25/2023,4,3:30 a.m.,78,N/A,,N/A,,Oyeka,
Jester 3,7/25/2023,5,4:30 a.m.,78,N/A,,N/A,,Oyeka,
Jester 3,7/25/2023,6,5:30 a.m.,77,N/A,,N/A,,Oyeka,
Jester 3,7/25/2023,7,6:30 a.m.,77,N/A,,N/A,,Atunnise,
Jester 3,7/25/2023,8,7:30 a.m.,79,N/A,,N/A,,Atunnise,
Jester 3,7/25/2023,9,8:30 a.m.,82,92,,98,,Atunnise,
Jester 3,7/25/2023,10,9:30 a.m.,86,82,,100,,Atunnise,
Jester 3,7/25/2023,11,10:30 a.m.,89,69,,102,,Atunnise,
Jester 3,7/25/2023,12,11:30 a.m.,92,60,,104,,Atunnise,
Jester 3,7/25/2023,13,12:30 p.m.,94,54,,105,,Atunnise,
Jester 3,7/25/2023,14,1:30 p.m.,97,49,,111,,Atunnise,
Jester 3,7/25/2023,15,2:30 p.m.,97,46,,107,,Sonaiya,
Jester 3,7/25/2023,16,3:30 p.m.,96,53,,110,,Sonaiya,
Jester 3,7/25/2023,17,4:30 p.m.,94,54,,105,,Sonaiya,
Jester 3,7/25/2023,18,5:30 p.m.,95,52,,106,,Sonaiya,
Jester 3,7/25/2023,19,6:30 p.m.,95,55,,108,,Sonaiya,
Jester 3,7/25/2023,20,7:30 p.m.,93,58,,105,,Sonaiya,
Jester 3,7/25/2023,21,8:30 p.m.,88,69,,99,,Sonaiya,
Jester 3,7/25/2023,22,9:30 p.m.,86,75,,97,,Sonaiya,
Jester 3,7/25/2023,23,10:30 p.m.,83,80,,91,,Oyeka,
Jester 3,7/25/2023,24,11:30 p.m.,81,86,,87,,Oyeka,
Jester 3,7/26/2023,1,12:30 a.m.,80,90,,85,,Oyeka,
Jester 3,7/26/2023,2,1:30 a.m.,80,92,,85,,Oyeka,
Jester 3,7/26/2023,3,2:30 a.m.,78,N/A,,N/A,,Oyeka,
Jester 3,7/26/2023,4,3:30 a.m.,78,N/A,,N/A,,Oyeka,
Jester 3,7/26/2023,5,4:30 a.m.,78,N/A,,N/A,,Oyeka,
Jester 3,7/26/2023,6,5:30 a.m.,78,N/A,,N/A,,Oyeka,
Jester 3,7/26/2023,7,6:30 a.m.,78,N/A,,N/A,,Oyeka,
Jester 3,7/26/2023,8,7:30 a.m.,79,N/A,,N/A,,Oyeka,
Jester 3,7/26/2023,9,8:30 a.m.,83,26,,93,,Umeh,
Jester 3,7/26/2023,10,9:30 a.m.,86,29,,100,,Umeh,
Jester 3,7/26/2023,11,10:30 a.m.,89,44,,101,,Umeh,
Jester 3,7/26/2023,12,11:30 a.m.,93,37,,106,,Umeh,
Jester 3,7/26/2023,13,12:30 p.m.,96,30,,107,,Umeh,
Jester 3,7/26/2023,14,1:30 p.m.,97,29,,107,,Umeh,
Jester 3,7/26/2023,15,2:30 p.m.,97,46,,107,,Adindu,
Jester 3,7/26/2023,16,3:30 p.m.,103,39,,115,,Adindu,
Jester 3,7/26/2023,17,4:30 p.m.,95,54,,108,,Adindu,
Jester 3,7/26/2023,18,5:30 p.m.,95,52,,106,,Adindu,hi_wc legibility
Jester 3,7/26/2023,19,6:30 p.m.,95,54,,108,,Adindu,
Jester 3,7/26/2023,20,7:30 p.m.,91,59,,101,,Adindu,
Jester 3,7/26/2023,21,8:30 p.m.,88,71,,100,,Adindu,
Jester 3,7/26/2023,22,9:30 p.m.,85,77,,95,,Adindu,
Jester 3,7/26/2023,23,10:30 p.m.,83,85,,92,,Okutubo,
Jester 3,7/26/2023,24,11:30 p.m.,82,87,,9,,Okutubo,hi_wc single digit?
Jester 3,7/27/2023,1,12:30 a.m.,81,91,,88,,Okutubo,
Jester 3,7/27/2023,2,1:30 a.m.,81,91,,88,,Okutubo,
Jester 3,7/27/2023,3,2:30 a.m.,80,93,,86,,Okutubo,hi_wc corrected
Jester 3,7/27/2023,4,3:30 a.m.,79,N/A,,N/A,,Okutubo,
Jester 3,7/27/2023,5,4:30 a.m.,79,N/A,,N/A,,Okutubo,
Jester 3,7/27/2023,6,5:30 a.m.,79,N/A,,N/A,,Okutubo,
Jester 3,7/27/2023,7,6:30 a.m.,78,N/A,,N/A,,Onanuga,
Jester 3,7/27/2023,8,7:30 a.m.,79,N/A,,N/A,,Onanuga,
Jester 3,7/27/2023,9,8:30 a.m.,83,88,,90,1,Onanuga,
Jester 3,7/27/2023,10,9:30 a.m.,88,71,,93,1,Onanuga,
Jester 3,7/27/2023,11,10:30 a.m.,91,59,,97,2,Onanuga,hi_wc_corrected
Jester 3,7/27/2023,12,11:30 a.m.,98,57,,103,2,Onanuga,temp corrected
Jester 3,7/27/2023,13,12:30 p.m.,98,48,,109,3,Onanuga,
