unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Kegans,7/24/2023,1,12:30 a.m.,80,76,,84,,Eason,
Kegans,7/24/2023,2,1:30 a.m.,81,72,,83,,Eason,
Kegans,7/24/2023,3,2:30 a.m.,80,74,,84,,Eason,
Kegans,7/24/2023,4,3:30 a.m.,79,82,,N/A,,Eason,
Kegans,7/24/2023,5,4:30 a.m.,80,74,,84,,Eason,
Kegans,7/24/2023,6,5:30 a.m.,80,74,,84,,Eason,
Kegans,7/24/2023,7,6:30 a.m.,79,77,,80,,Ferguson,"hi_wc legibility, person legibility"
Kegans,7/24/2023,8,7:30 a.m.,83,76,,92,,Ferguson,"hi_wc corrected, person legibility"
Kegans,7/24/2023,9,8:30 a.m.,83,77,,100,,Ferguson,hi_wc corrected
Kegans,7/24/2023,10,9:30 a.m.,85,80,,100,,Ferguson,
Kegans,7/24/2023,11,10:30 a.m.,88,63,,95,,Barley,humid corrected
Kegans,7/24/2023,12,11:30 a.m.,90,59,,100,,Barley,
Kegans,7/24/2023,13,12:30 p.m.,94,49,,103,,Barley,
Kegans,7/24/2023,14,1:30 p.m.,94,49,,103,,Barley,
Kegans,7/24/2023,15,2:30 p.m.,91,59,,105,3,Cameron,
Kegans,7/24/2023,16,3:30 p.m.,93,54,,106,3,Cameron,
Kegans,7/24/2023,17,4:30 p.m.,95,46,,104,3,Cameron,
Kegans,7/24/2023,18,5:30 p.m.,95,49,,108,3,Cameron,
Kegans,7/24/2023,19,6:30 p.m.,94,52,,104,2,Cameron,humid corrected
Kegans,7/24/2023,20,7:30 p.m.,91,57,,101,2,Cameron,
Kegans,7/24/2023,21,8:30 p.m.,89,63,,103,2,Cameron,
Kegans,7/24/2023,22,9:30 p.m.,89,70,,105,3,Cameron,
Kegans,7/24/2023,23,10:30 p.m.,86,75,,97,,Courtney,
Kegans,7/24/2023,24,11:30 p.m.,84,80,,94,,Courtney,
Kegans,7/25/2023,1,12:30 a.m.,83,82,,92,,Courtney,
Kegans,7/25/2023,2,1:30 a.m.,82,85,,90,,Courtney,
Kegans,7/25/2023,3,2:30 a.m.,82,85,,90,,Courtney,
Kegans,7/25/2023,4,3:30 a.m.,81,88,,89,,Courtney,
