unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
LeBlanc,7/24/2023,1,12:30 a.m.,82,88,,82,,Turner,
LeBlanc,7/24/2023,2,1:30 a.m.,82,88,,82,,Turner,
LeBlanc,7/24/2023,3,2:30 a.m.,81,74,,81,,Turner,
LeBlanc,7/24/2023,4,3:30 a.m.,81,74,,81,,Turner,
LeBlanc,7/24/2023,5,4:30 a.m.,80,79,,80,,Turner,
LeBlanc,7/24/2023,6,5:30 a.m.,79,80,,90,,Turner,hi_wc corrected
LeBlanc,7/24/2023,7,6:30 a.m.,81,78,,87,,Johnson,
LeBlanc,7/24/2023,8,7:30 a.m.,83,74,,90,,Johnson,
LeBlanc,7/24/2023,9,8:30 a.m.,83,74,,90,,Johnson,
LeBlanc,7/24/2023,10,9:30 a.m.,89,58,,97,,Johnson,
LeBlanc,7/24/2023,11,10:30 a.m.,91,50,,98,,Johnson,
LeBlanc,7/24/2023,12,11:30 a.m.,93,54,,104,,Johnson,
LeBlanc,7/24/2023,13,12:30 p.m.,93,57,,106,,Johnson,
LeBlanc,7/24/2023,14,1:30 p.m.,95,54,,108,,Johnson,
LeBlanc,7/24/2023,15,2:30 p.m.,96,50,,108,,Miller,
LeBlanc,7/24/2023,16,3:30 p.m.,94,52,,104,,Miller,
LeBlanc,7/24/2023,17,4:30 p.m.,94,57,,109,,Miller,
LeBlanc,7/24/2023,18,5:30 p.m.,93,61,,108,,Miller,
LeBlanc,7/24/2023,19,6:30 p.m.,89,68,,102,,Miller,
LeBlanc,7/24/2023,20,7:30 p.m.,89,70,,89,,Turner,
LeBlanc,7/24/2023,21,8:30 p.m.,89,70,,89,,Turner,
LeBlanc,7/24/2023,22,9:30 p.m.,87,82,,87,,Turner,
LeBlanc,7/24/2023,23,10:30 p.m.,82,84,,82,,Turner,
LeBlanc,7/24/2023,24,11:30 p.m.,82,84,,82,,Turner,
LeBlanc,7/25/2023,1,12:30 a.m.,80,86,,80,,Turner,
LeBlanc,7/25/2023,2,1:30 a.m.,80,87,,80,,Turner,
LeBlanc,7/25/2023,3,2:30 a.m.,80,87,,80,,Turner,
LeBlanc,7/25/2023,4,3:30 a.m.,81,87,,81,,Turner,
LeBlanc,7/25/2023,5,4:30 a.m.,79,88,,79,,Turner,
LeBlanc,7/25/2023,6,5:30 a.m.,80,87,,80,,Turner,
LeBlanc,7/25/2023,7,6:30 a.m.,80,88,,85,,Johnson,
LeBlanc,7/25/2023,8,7:30 a.m.,83,83,,93,,Johnson,
LeBlanc,7/25/2023,9,8:30 a.m.,85,80,,97,,Johnson,
LeBlanc,7/25/2023,10,9:30 a.m.,87,75,,101,,Johnson,
LeBlanc,7/25/2023,11,10:30 a.m.,89,69,,101,,Johnson,
LeBlanc,7/25/2023,12,11:30 a.m.,92,58,,108,,Johnson,
LeBlanc,7/25/2023,13,12:30 p.m.,90,63,,103,,Johnson,
LeBlanc,7/25/2023,14,1:30 p.m.,93,59,,106,,Johnson,
LeBlanc,7/25/2023,15,2:30 p.m.,93,57,,106,,Miller,
LeBlanc,7/25/2023,16,3:30 p.m.,94,53,,106,,Miller,
LeBlanc,7/25/2023,17,4:30 p.m.,93,57,,107,,Miller,
LeBlanc,7/25/2023,18,5:30 p.m.,92,62,,106,,Miller,
LeBlanc,7/25/2023,19,6:30 p.m.,89,65,,100,,Miller,
LeBlanc,7/25/2023,20,7:30 p.m.,86,75,,97,,Miller,
LeBlanc,7/25/2023,21,8:30 p.m.,82,81,,90,,Miller,
LeBlanc,7/25/2023,22,9:30 p.m.,82,81,,90,,Miller,
LeBlanc,7/25/2023,23,10:30 p.m.,82,82,,89,,Miller,
LeBlanc,7/25/2023,24,11:30 p.m.,81,83,,81,,Turner,
LeBlanc,7/26/2023,1,12:30 a.m.,78,86,,78,,Turner,
LeBlanc,7/26/2023,2,1:30 a.m.,80,87,,80,,Turner,
LeBlanc,7/26/2023,3,2:30 a.m.,79,87,,79,,Turner,
LeBlanc,7/26/2023,4,3:30 a.m.,79,89,,79,,Turner,
LeBlanc,7/26/2023,5,4:30 a.m.,79,89,,79,,Turner,
LeBlanc,7/26/2023,6,5:30 a.m.,79,85,,79,,Turner,
LeBlanc,7/26/2023,7,6:30 a.m.,77,88,,77,,Johnson,
LeBlanc,7/26/2023,8,7:30 a.m.,83,82,,93,,Johnson,
LeBlanc,7/26/2023,9,8:30 a.m.,88,74,,103,,Johnson,
LeBlanc,7/26/2023,10,9:30 a.m.,90,61,,102,,Johnson,
LeBlanc,7/26/2023,11,10:30 a.m.,90,59,,102,,Johnson,
LeBlanc,7/26/2023,12,11:30 a.m.,95,54,,105,,Johnson,
LeBlanc,7/26/2023,13,12:30 p.m.,93,55,,104,,Johnson,
LeBlanc,7/26/2023,14,1:30 p.m.,93,55,,106,,Johnson,
LeBlanc,7/26/2023,15,2:30 p.m.,95,54,,108,,Miller,
LeBlanc,7/26/2023,16,3:30 p.m.,93,55,,103,,Miller,
LeBlanc,7/26/2023,17,4:30 p.m.,94,56,,108,,Miller,
LeBlanc,7/26/2023,18,5:30 p.m.,93,57,,106,,Miller,
LeBlanc,7/26/2023,19,6:30 p.m.,91,60,,103,,Miller,
LeBlanc,7/26/2023,20,7:30 p.m.,88,67,,99,,Miller,
LeBlanc,7/26/2023,21,8:30 p.m.,85,73,,94,,Miller,
LeBlanc,7/26/2023,22,9:30 p.m.,82,81,,89,,Miller,
LeBlanc,7/26/2023,23,10:30 p.m.,80,83,,85,,Shelton,temp corrected
LeBlanc,7/26/2023,24,11:30 p.m.,80,83,,85,,Shelton,
LeBlanc,7/27/2023,1,12:30 a.m.,78,82,,79,,Shelton,
LeBlanc,7/27/2023,2,1:30 a.m.,79,82,,79,,Shelton,
LeBlanc,7/27/2023,3,2:30 a.m.,77,85,,77,,Shelton,
LeBlanc,7/27/2023,4,3:30 a.m.,77,85,,77,,Shelton,
LeBlanc,7/27/2023,5,4:30 a.m.,79,84,,79,,Shelton,
LeBlanc,7/27/2023,6,5:30 a.m.,79,84,,79,,Shelton,
LeBlanc,7/27/2023,7,6:30 a.m.,79,83,,79,,Peacock,
LeBlanc,7/27/2023,8,7:30 a.m.,81,83,,87,,Peacock,
LeBlanc,7/27/2023,9,8:30 a.m.,84,77,,94,,Peacock,
LeBlanc,7/27/2023,10,9:30 a.m.,88,70,,100,,Peacock,
LeBlanc,7/27/2023,11,10:30 a.m.,88,66,,99,,Peacock,
LeBlanc,7/27/2023,12,11:30 a.m.,92,59,,104,,Peacock,
LeBlanc,7/27/2023,13,12:30 p.m.,95,44,,102,,Peacock,
LeBlanc,7/27/2023,14,1:30 p.m.,94,47,,101,,Peacock,
LeBlanc,7/27/2023,15,2:30 p.m.,96,47,,101,,Cheatwood,
LeBlanc,7/27/2023,16,3:30 p.m.,99,47,,101,,Cheatwood,
LeBlanc,7/27/2023,17,4:30 p.m.,99,46,,103,,Cheatwood,humid corrected
LeBlanc,7/27/2023,18,5:30 p.m.,98,53,,101,,Cheatwood,
LeBlanc,7/27/2023,19,6:30 p.m.,96,54,,102,,Cheatwood,
LeBlanc,7/27/2023,20,7:30 p.m.,93,54,,102,,Cheatwood,
LeBlanc,7/27/2023,21,8:30 p.m.,88,54,,96,,Cheatwood,
LeBlanc,7/27/2023,22,9:30 p.m.,84,58,,96,,Cheatwood,
LeBlanc,7/27/2023,23,10:30 p.m.,82,76,,87,,Durousseau,
LeBlanc,7/27/2023,24,11:30 p.m.,81,78,,87,,Durousseau,
LeBlanc,7/28/2023,1,12:30 a.m.,80,81,,84,,Durousseau,
LeBlanc,7/28/2023,2,1:30 a.m.,78,82,,78,,Durousseau,
LeBlanc,7/28/2023,3,2:30 a.m.,78,82,,78,,Durousseau,
LeBlanc,7/28/2023,4,3:30 a.m.,78,82,,78,,Durousseau,
LeBlanc,7/28/2023,5,4:30 a.m.,79,80,,79,,Durousseau,
LeBlanc,7/28/2023,6,5:30 a.m.,77,83,,77,,Durousseau,
LeBlanc,7/28/2023,7,6:30 a.m.,78,74,,78,,Johnson,
LeBlanc,7/28/2023,8,7:30 a.m.,81,80,,80,,Johnson,
LeBlanc,7/28/2023,9,8:30 a.m.,84,76,,93,,Johnson,
LeBlanc,7/28/2023,10,9:30 a.m.,90,63,,102,,Johnson,
LeBlanc,7/28/2023,11,10:30 a.m.,90,64,,101,,Johnson,
LeBlanc,7/28/2023,12,11:30 a.m.,91,59,,102,,Johnson,
LeBlanc,7/28/2023,13,12:30 p.m.,94,51,,103,,Johnson,
LeBlanc,7/28/2023,14,1:30 p.m.,94,48,,102,,Johnson,
LeBlanc,7/28/2023,15,2:30 p.m.,94,52,,106,,Miller,
LeBlanc,7/28/2023,16,3:30 p.m.,91,57,,101,,Miller,
LeBlanc,7/28/2023,17,4:30 p.m.,93,53,,102,,Miller,
LeBlanc,7/28/2023,18,5:30 p.m.,99,51,,99,,Miller,
LeBlanc,7/28/2023,19,6:30 p.m.,87,65,,96,,Miller,
LeBlanc,7/28/2023,20,7:30 p.m.,84,71,,92,,Miller,
LeBlanc,7/28/2023,21,8:30 p.m.,83,74,,91,,Miller,
LeBlanc,7/28/2023,22,9:30 p.m.,81,79,,88,,Miller,
LeBlanc,7/28/2023,23,10:30 p.m.,80,80,,80,,Miller,
LeBlanc,7/28/2023,24,11:30 p.m.,80,80,,80,,Turner,
LeBlanc,7/29/2023,1,12:30 a.m.,79,82,,79,,Turner,
LeBlanc,7/29/2023,2,1:30 a.m.,78,82,,78,,Turner,
LeBlanc,7/29/2023,3,2:30 a.m.,78,83,,78,,Turner,humid corrected
LeBlanc,7/29/2023,4,3:30 a.m.,78,80,,78,,Turner,
LeBlanc,7/29/2023,5,4:30 a.m.,79,82,,79,,Turner,
LeBlanc,7/29/2023,6,5:30 a.m.,77,86,,77,,Turner,
LeBlanc,7/29/2023,7,6:30 a.m.,77,86,,77,,Peacock,
LeBlanc,7/29/2023,8,7:30 a.m.,80,82,,85,,Peacock,
LeBlanc,7/29/2023,9,8:30 a.m.,86,73,,97,,Peacock,
LeBlanc,7/29/2023,10,9:30 a.m.,89,69,,101,,Peacock,
LeBlanc,7/29/2023,11,10:30 a.m.,91,56,,101,,Peacock,
LeBlanc,7/29/2023,12,11:30 a.m.,91,56,,101,,Peacock,
LeBlanc,7/29/2023,13,12:30 p.m.,92,56,,102,,Peacock,
LeBlanc,7/29/2023,14,1:30 p.m.,92,57,,102,,Peacock,
LeBlanc,7/29/2023,15,2:30 p.m.,92,57,,102,,Peacock,
LeBlanc,7/29/2023,16,3:30 p.m.,93,57,,102,,Peacock,
LeBlanc,7/29/2023,17,4:30 p.m.,93,58,,103,,Peacock,
LeBlanc,7/29/2023,18,5:30 p.m.,95,58,,103,,Peacock,
LeBlanc,7/29/2023,19,6:30 p.m.,95,63,,103,,Peacock,
LeBlanc,7/29/2023,20,7:30 p.m.,92,72,,93,,Gonzales,
LeBlanc,7/29/2023,21,8:30 p.m.,92,72,,93,,Gonzales,
LeBlanc,7/29/2023,22,9:30 p.m.,91,71,,92,,Gonzales,
LeBlanc,7/29/2023,23,10:30 p.m.,81,82,,89,,Gonzales,
LeBlanc,7/29/2023,24,11:30 p.m.,81,82,,89,,Gonzales,
LeBlanc,7/30/2023,1,12:30 a.m.,80,83,,85,,Gonzales,
LeBlanc,7/30/2023,2,1:30 a.m.,79,84,,79,,Gonzales,
LeBlanc,7/30/2023,3,2:30 a.m.,79,85,,79,,Gonzales,
LeBlanc,7/30/2023,4,3:30 a.m.,79,85,,79,,Gonzales,
LeBlanc,7/30/2023,5,4:30 a.m.,77,88,,77,,Gonzales,
LeBlanc,7/30/2023,6,5:30 a.m.,77,88,,77,,Gonzales,
LeBlanc,7/30/2023,7,6:30 a.m.,82,90,,79,,Johnson,
LeBlanc,7/30/2023,8,7:30 a.m.,87,86,,92,,Johnson,
LeBlanc,7/30/2023,9,8:30 a.m.,90,78,,102,,Johnson,
LeBlanc,7/30/2023,10,9:30 a.m.,92,72,,107,,Johnson,
LeBlanc,7/30/2023,11,10:30 a.m.,93,68,,110,,Johnson,
LeBlanc,7/30/2023,12,11:30 a.m.,93,66,,111,,Johnson,
LeBlanc,7/30/2023,13,12:30 p.m.,96,58,,109,,Johnson,
LeBlanc,7/30/2023,14,1:30 p.m.,96,58,,111,,Johnson,
LeBlanc,7/30/2023,15,2:30 p.m.,94,58,,112,,Johnson,humid legibility
LeBlanc,7/30/2023,16,3:30 p.m.,94,61,,111,,Miller,
LeBlanc,7/30/2023,17,4:30 p.m.,93,61,,109,,Miller,
LeBlanc,7/30/2023,18,5:30 p.m.,91,63,,106,,Miller,
LeBlanc,7/30/2023,19,6:30 p.m.,89,69,,103,,Miller,
LeBlanc,7/30/2023,20,7:30 p.m.,87,76,,100,,Miller,
LeBlanc,7/30/2023,21,8:30 p.m.,83,83,,94,,Miller,
LeBlanc,7/30/2023,22,9:30 p.m.,82,86,,91,,Miller,
LeBlanc,7/30/2023,23,10:30 p.m.,83,82,,88,,January,humid corrected
LeBlanc,7/30/2023,24,11:30 p.m.,83,82,,89,,January,humid corrected
LeBlanc,7/31/2023,1,12:30 a.m.,82,84,,89,,January,
LeBlanc,7/31/2023,2,1:30 a.m.,81,84,,89,,January,
LeBlanc,7/31/2023,3,2:30 a.m.,80,87,,87,,January,hi_wc corrected
LeBlanc,7/31/2023,4,3:30 a.m.,80,87,,86,,January,
LeBlanc,7/31/2023,5,4:30 a.m.,80,87,,86,,January,
LeBlanc,7/31/2023,6,5:30 a.m.,80,88,,86,,January,
LeBlanc,7/31/2023,7,6:30 a.m.,81,85,,89,,January,
LeBlanc,7/31/2023,8,7:30 a.m.,80,89,,86,,Gonzales,
LeBlanc,7/31/2023,9,8:30 a.m.,85,78,,97,,Gonzales,
LeBlanc,7/31/2023,10,9:30 a.m.,91,67,,106,,Gonzales,
LeBlanc,7/31/2023,11,10:30 a.m.,91,60,,104,,Johnson,
LeBlanc,7/31/2023,12,11:30 a.m.,96,55,,111,,Johnson,
LeBlanc,7/31/2023,13,12:30 p.m.,97,48,,109,,Johnson,
LeBlanc,7/31/2023,14,1:30 p.m.,97,49,,109,,Johnson,
LeBlanc,7/31/2023,15,2:30 p.m.,94,52,,106,,Miller,
LeBlanc,7/31/2023,16,3:30 p.m.,91,57,,101,,Miller,
LeBlanc,7/31/2023,17,4:30 p.m.,93,53,,102,,Miller,
LeBlanc,7/31/2023,18,5:30 p.m.,99,51,,99,,Miller,
LeBlanc,7/31/2023,19,6:30 p.m.,87,65,,96,,Miller,humid corrected
LeBlanc,7/31/2023,20,7:30 p.m.,84,71,,92,,Miller,
LeBlanc,7/31/2023,21,8:30 p.m.,83,74,,91,,Miller,
LeBlanc,7/31/2023,22,9:30 p.m.,81,79,,88,,January,
LeBlanc,7/31/2023,23,10:30 p.m.,80,78,,85,,January,
LeBlanc,7/31/2023,24,11:30 p.m.,81,78,,86,,January,
