unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Stiles,7/24/2023,1,12:30 a.m.,81,91,,81,,Jones,
Stiles,7/24/2023,2,1:30 a.m.,81,94,,81,,Jones,
Stiles,7/24/2023,3,2:30 a.m.,81,94,,81,,Jones,
Stiles,7/24/2023,4,3:30 a.m.,77,82,,77,,Jones,
Stiles,7/24/2023,5,4:30 a.m.,78,79,,78,,Jones,
Stiles,7/24/2023,6,5:30 a.m.,76,87,,76,,Jones,
Stiles,7/24/2023,7,6:30 a.m.,78,85,,78,,S. Benitt,
Stiles,7/24/2023,8,7:30 a.m.,79,76,,79,,S. Benitt,
Stiles,7/24/2023,9,8:30 a.m.,83,64,,83,,S. Benitt,
Stiles,7/24/2023,10,9:30 a.m.,83,64,,83,,S. Benitt,
Stiles,7/24/2023,11,10:30 a.m.,86,49,,86,,S. Benitt,
Stiles,7/24/2023,12,11:30 a.m.,89,39,,89,,S. Benitt,
Stiles,7/24/2023,13,12:30 p.m.,91,30,,93,,S. Benitt,
Stiles,7/24/2023,14,1:30 p.m.,93,41,,103,,S. Benitt,
Stiles,7/24/2023,15,2:30 p.m.,94,41,,106,,S. Benitt,
Stiles,7/24/2023,16,3:30 p.m.,94,41,,106,,S. Benitt,
Stiles,7/24/2023,17,4:30 p.m.,94,41,,106,,S. Benitt,
Stiles,7/24/2023,18,5:30 p.m.,94,41,,106,,S. Benitt,
Stiles,7/24/2023,19,6:30 p.m.,93,53,,103,,Jones,
Stiles,7/24/2023,20,7:30 p.m.,90,59,,90,,Jones,
Stiles,7/24/2023,21,8:30 p.m.,87,67,,87,,Jones,
Stiles,7/24/2023,22,9:30 p.m.,84,76,,84,,Jones,
Stiles,7/24/2023,23,10:30 p.m.,82,81,,82,,Jones,
Stiles,7/24/2023,24,11:30 p.m.,82,84,,82,,Jones,
Stiles,7/25/2023,1,12:30 a.m.,81,88,,81,,Jones,
Stiles,7/25/2023,2,1:30 a.m.,80,87,,80,,Jones,
Stiles,7/25/2023,3,2:30 a.m.,78,93,,78,,Jones,
Stiles,7/25/2023,4,3:30 a.m.,78,96,,78,,Jones,
Stiles,7/25/2023,5,4:30 a.m.,78,93,,78,,Jones,
Stiles,7/25/2023,6,5:30 a.m.,75,100,,75,,Jones,
Stiles,7/25/2023,7,6:30 a.m.,76,97,,76,,Jones,
Stiles,7/25/2023,8,7:30 a.m.,76,97,,76,,Rawlins,
Stiles,7/25/2023,9,8:30 a.m.,80,96,,80,,Rawlins,
Stiles,7/25/2023,10,9:30 a.m.,86,77,,86,,Rawlins,
Stiles,7/25/2023,11,10:30 a.m.,89,65,,100,,Rawlins,
Stiles,7/25/2023,12,11:30 a.m.,92,57,,103,,Rawlins,
Stiles,7/25/2023,13,12:30 p.m.,94,52,,104,,Rawlins,
Stiles,7/25/2023,14,1:30 p.m.,96,47,,105,,Rawlins,
Stiles,7/25/2023,15,2:30 p.m.,94,48,,102,,Rawlins,
Stiles,7/25/2023,16,3:30 p.m.,97,41,,103,,Rawlins,
Stiles,7/25/2023,17,4:30 p.m.,96,42,,102,,Rawlins,
Stiles,7/25/2023,18,5:30 p.m.,94,48,,102,,Rawlins,
Stiles,7/25/2023,19,6:30 p.m.,92,58,,100,,Rawlins,
Stiles,7/25/2023,20,7:30 p.m.,90,57,,90,,Jones,
Stiles,7/25/2023,21,8:30 p.m.,86,67,,86,,Jones,
Stiles,7/25/2023,22,9:30 p.m.,81,79,,81,,Jones,
Stiles,7/25/2023,23,10:30 p.m.,80,81,,80,,Jones,
Stiles,7/25/2023,24,11:30 p.m.,80,84,,80,,Jones,
Stiles,7/26/2023,1,12:30 a.m.,79,87,,79,,Jones,
Stiles,7/26/2023,2,1:30 a.m.,78,90,,78,,Jones,
Stiles,7/26/2023,3,2:30 a.m.,78,93,,78,,Jones,
Stiles,7/26/2023,4,3:30 a.m.,77,96,,77,,Jones,
Stiles,7/26/2023,5,4:30 a.m.,77,96,,77,,Jones,
Stiles,7/26/2023,6,5:30 a.m.,74,100,,74,,Jones,
Stiles,7/26/2023,7,6:30 a.m.,76,97,,76,,Jones,
Stiles,7/26/2023,8,7:30 a.m.,75,96,,75,,Rawlins,
Stiles,7/26/2023,9,8:30 a.m.,80,90,,80,,Rawlins,
Stiles,7/26/2023,10,9:30 a.m.,86,69,,86,,Rawlins,
Stiles,7/26/2023,11,10:30 a.m.,89,60,,89,,Rawlins,
Stiles,7/26/2023,12,11:30 a.m.,90,55,,90,,Rawlins,
Stiles,7/26/2023,13,12:30 p.m.,93,48,,93,,Rawlins,
Stiles,7/26/2023,14,1:30 p.m.,94,47,,101,,Rawlins,
Stiles,7/26/2023,15,2:30 p.m.,96,38,,96,,Rawlins,
Stiles,7/26/2023,16,3:30 p.m.,97,41,,103,,Rawlins,
Stiles,7/26/2023,17,4:30 p.m.,95,48,,104,,Rawlins,
Stiles,7/26/2023,18,5:30 p.m.,95,47,,103,,Rawlins,
Stiles,7/26/2023,19,6:30 p.m.,94,47,,101,,Rawlins,
Stiles,7/26/2023,20,7:30 p.m.,91,53,,91,,Jones,
Stiles,7/26/2023,21,8:30 p.m.,86,65,,86,,Jones,
Stiles,7/26/2023,22,9:30 p.m.,82,74,,82,,Jones,
Stiles,7/26/2023,23,10:30 p.m.,80,81,,80,,Jones,
Stiles,7/26/2023,24,11:30 p.m.,79,84,,79,,Jones,
Stiles,7/27/2023,1,12:30 a.m.,79,87,,79,,Jones,
