unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Lynaugh,7/24/2023,1,12:30 a.m.,82,42,11,81,,Zamona . A,
Lynaugh,7/24/2023,2,1:30 a.m.,80,45,9,80,,Zamona . A,
Lynaugh,7/24/2023,3,2:30 a.m.,80,50,10,80,,Zamona . A,
Lynaugh,7/24/2023,4,3:30 a.m.,81,52,12,81,,Zamona . A,
Lynaugh,7/24/2023,5,4:30 a.m.,79,55,8,80,,Zamona . A,
Lynaugh,7/24/2023,6,5:30 a.m.,77,59,9,78,,Zamona . A,
Lynaugh,7/24/2023,7,6:30 a.m.,75,60,9,76,,Rodriguez M,
Lynaugh,7/24/2023,8,7:30 a.m.,75,62,7,77,,Rodriguez M,
Lynaugh,7/24/2023,9,8:30 a.m.,82,55,6,81,,Rodriguez M,
Lynaugh,7/24/2023,10,9:30 a.m.,85,47,7,85,,Rodriguez M,
Lynaugh,7/24/2023,11,10:30 a.m.,91,36,3,91,,Rodriguez M,
Lynaugh,7/24/2023,12,11:30 a.m.,97,28,11,95,,Rodriguez M,
Lynaugh,7/24/2023,13,12:30 p.m.,99,23,4,98,,Rodriguez M,wind legibility
Lynaugh,7/24/2023,14,1:30 p.m.,101,20,14,99,,Rodriguez M,
Lynaugh,7/24/2023,15,2:30 p.m.,100,19,9,99,,Rodriguez M,
Lynaugh,7/24/2023,16,3:30 p.m.,103,19,12,100,,Rodriguez M,humid legibility
Lynaugh,7/24/2023,17,4:30 p.m.,103,17,9,101,,Rodriguez M,humid legibility
Lynaugh,7/24/2023,18,5:30 p.m.,104,19,7,101,,Rodriguez M,
Lynaugh,7/24/2023,19,6:30 p.m.,98,22,11,95,,Brunetti,"person legibility, person corrected"
Lynaugh,7/24/2023,20,7:30 p.m.,97,23,9,93,,Brunetti,person corrected
Lynaugh,7/24/2023,21,8:30 p.m.,94,25,8,90,,Brunetti,person corrected
Lynaugh,7/24/2023,22,9:30 p.m.,89,29,10,86,,Brunetti,person corrected
Lynaugh,7/24/2023,23,10:30 p.m.,87,31,8,84,,Brunetti,person corrected
Lynaugh,7/24/2023,24,11:30 p.m.,86,33,9,82,,Brunetti,temp legibility
Lynaugh,7/25/2023,1,12:30 a.m.,82,37,10,80,,Brunetti,person corrected
Lynaugh,7/25/2023,2,1:30 a.m.,80,38,9,79,,Brunetti,person corrected
Lynaugh,7/25/2023,3,2:30 a.m.,78,40,9,78,,Brunetti,person corrected
Lynaugh,7/25/2023,4,3:30 a.m.,76,43,11,77,,Brunetti,person corrected
