unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Stevenson,7/24/2023,1,12:30 a.m.,79,82,,N/A,,Pavlicek,"wind legibility, person corrected"
Stevenson,7/24/2023,2,1:30 a.m.,78,86,,N/A,,Pavlicek,"wind legibility, person corrected"
Stevenson,7/24/2023,3,2:30 a.m.,76,91,4,N/A,,Mansfield,person corrected
Stevenson,7/24/2023,4,3:30 a.m.,75,93,,N/A,,Mansfield,"wind legibility, person corrected"
Stevenson,7/24/2023,5,4:30 a.m.,75,95,2,N/A,,Mansfield,person corrected
Stevenson,7/24/2023,6,5:30 a.m.,73,96,2,N/A,,Mansfield,person corrected
Stevenson,7/24/2023,7,6:30 a.m.,74,97,,N/A,,Lott - I/B,"wind legibility, person legibility"
Stevenson,7/24/2023,8,7:30 a.m.,75,94,2,N/A,,Lott - I/B,temp corrected
Stevenson,7/24/2023,9,8:30 a.m.,82,85,,89,,Lott - I/B,"temp corrected, wind legibility"
Stevenson,7/24/2023,10,9:30 a.m.,87,73,6,99,,Lott - I/B,temp corrected
Stevenson,7/24/2023,11,10:30 a.m.,89,64,5,99,,Lott - I/B,temp corrected
Stevenson,7/24/2023,12,11:30 a.m.,94,54,4,104,,Lott - I/B,temp corrected
Stevenson,7/24/2023,13,12:30 p.m.,95,50,2,104,,Lott - I/B,temp corrected
Stevenson,7/24/2023,14,1:30 p.m.,97,46,4,107,,Lott - I/B,
Stevenson,7/24/2023,15,2:30 p.m.,99,41,6,107,,Lott - I/B,temp corrected
Stevenson,7/24/2023,16,3:30 p.m.,99,40,5,107,,Lott - I/B,temp corrected
Stevenson,7/24/2023,17,4:30 p.m.,94,49,13,104,,Lott - I/B,temp corrected
Stevenson,7/24/2023,18,5:30 p.m.,93,53,13,102,,Lott - I/B,
Stevenson,7/24/2023,19,6:30 p.m.,93,56,12,104,,Pavlicek,
Stevenson,7/24/2023,20,7:30 p.m.,91,57,14,100,,Pavlicek,
Stevenson,7/24/2023,21,8:30 p.m.,88,62,10,96,,Pavlicek,
Stevenson,7/24/2023,22,9:30 p.m.,86,71,7,95,,Pavlicek,
Stevenson,7/24/2023,23,10:30 p.m.,84,76,6,92,,Meurin,
Stevenson,7/24/2023,24,11:30 p.m.,83,80,3,91,,Meurin,
Stevenson,7/25/2023,1,12:30 a.m.,80,86,,85,,Meurin,wind legibility
Stevenson,7/25/2023,2,1:30 a.m.,78,91,2,N/A,,Meurin,
Stevenson,7/25/2023,3,2:30 a.m.,78,95,2,N/A,,Mansfield,person corrected
Stevenson,7/25/2023,4,3:30 a.m.,76,95,,N/A,,Mansfield,"temp corrected, wind legibility, person corrected"
Stevenson,7/25/2023,5,4:30 a.m.,76,99,,N/A,,Mansfield,"temp legibility, wind legibility, person corrected"
Stevenson,7/25/2023,6,5:30 a.m.,75,97,,N/A,,Mansfield,"wind legibility, person corrected"
Stevenson,7/25/2023,7,6:30 a.m.,75,99,2,N/A,,D. Garza,
Stevenson,7/25/2023,8,7:30 a.m.,78,99,,N/A,,D. Garza,temp legibility
Stevenson,7/25/2023,9,8:30 a.m.,83,86,6,93,,D. Garza,hi_wc corrected
Stevenson,7/25/2023,10,9:30 a.m.,86,75,7,97,,D. Garza,
Stevenson,7/25/2023,11,10:30 a.m.,89,63,7,100,,D. Garza,
Stevenson,7/25/2023,12,11:30 a.m.,93,50,9,100,,D. Garza,
Stevenson,7/25/2023,13,12:30 p.m.,98,50,9,100,,D. Garza,
Stevenson,7/25/2023,14,1:30 p.m.,97,42,5,104,,D. Garza,
Stevenson,7/25/2023,15,2:30 p.m.,99,39,4,106,,D. Garza,temp legibility
Stevenson,7/25/2023,16,3:30 p.m.,99,40,10,107,,D. Garza,
Stevenson,7/25/2023,17,4:30 p.m.,99,38,9,105,,D. Garza,
Stevenson,7/25/2023,18,5:30 p.m.,97,40,16,102,,D. Garza,
Stevenson,7/25/2023,19,6:30 p.m.,95,48,14,102,,Nickle,"temp corrected, wind legibility, person corrected"
Stevenson,7/25/2023,20,7:30 p.m.,93,47,12,98,,Nickle,"temp corrected, person corrected"
Stevenson,7/25/2023,21,8:30 p.m.,88,64,8,97,,Nickle,person corrected
Stevenson,7/25/2023,22,9:30 p.m.,86,68,7,94,,Nickle,"temp corrected, person corrected"
Stevenson,7/25/2023,23,10:30 p.m.,85,70,6,91,,Garcia,
Stevenson,7/25/2023,24,11:30 p.m.,83,72,5,89,,Garcia,
Stevenson,7/26/2023,1,12:30 a.m.,82,83,5,89,,Garcia,"temp corrected, wind legibility, person corrected"
Stevenson,7/26/2023,2,1:30 a.m.,80,88,4,85,,Garcia,"temp corrected, person corrected"
Stevenson,7/26/2023,3,2:30 a.m.,79,91,5,N/A,,Meurin,
Stevenson,7/26/2023,4,3:30 a.m.,79,92,5,N/A,,Meurin,
Stevenson,7/26/2023,5,4:30 a.m.,78,94,4,N/A,,Meurin,
Stevenson,7/26/2023,6,5:30 a.m.,77,97,2,N/A,,Meurin,
Stevenson,7/26/2023,7,6:30 a.m.,77,98,2,N/A,,Dominguez,
Stevenson,7/26/2023,8,7:30 a.m.,79,96,2,N/A,,Dominguez,
Stevenson,7/26/2023,9,8:30 a.m.,85,81,5,97,,Dominguez,
Stevenson,7/26/2023,10,9:30 a.m.,87,74,11,99,,Dominguez,humid legibility
Stevenson,7/26/2023,11,10:30 a.m.,91,59,9,101,,Dominguez,
Stevenson,7/26/2023,12,11:30 a.m.,93,51,7,101,,Dominguez,
Stevenson,7/26/2023,13,12:30 p.m.,96,45,6,104,,Dominguez,
Stevenson,7/26/2023,14,1:30 p.m.,98,41,16,105,,Dominguez,
Stevenson,7/26/2023,15,2:30 p.m.,99,37,2,104,,Dominguez,
Stevenson,7/26/2023,16,3:30 p.m.,98,39,9,104,,Dominguez,
Stevenson,7/26/2023,17,4:30 p.m.,99,37,11,104,,Dominguez,
Stevenson,7/26/2023,18,5:30 p.m.,86,68,7,94,,Dominguez,
Stevenson,7/26/2023,19,6:30 p.m.,87,65,10,95,,Camacho,person legibility
Stevenson,7/26/2023,20,7:30 p.m.,89,63,7,98,,Camacho,
Stevenson,7/26/2023,21,8:30 p.m.,86,68,10,94,,Camacho,
Stevenson,7/26/2023,22,9:30 p.m.,85,77,10,95,,Camacho,
Stevenson,7/26/2023,23,10:30 p.m.,84,78,9,94,,Nickle,person corrected
Stevenson,7/26/2023,24,11:30 p.m.,83,79,7,93,,Nickle,person corrected
Stevenson,7/27/2023,1,12:30 a.m.,81,85,7,87,,Nickle,person corrected
Stevenson,7/27/2023,2,1:30 a.m.,81,85,6,87,,Nickle,"temp corrected, person corrected"
Stevenson,7/27/2023,3,2:30 a.m.,80,89,3,85,,Garcia,"temp corrected, person corrected"
Stevenson,7/27/2023,4,3:30 a.m.,78,94,2,N/A,,Garcia,person corrected
Stevenson,7/27/2023,5,4:30 a.m.,77,97,3,N/A,,Garcia,person corrected
Stevenson,7/27/2023,6,5:30 a.m.,77,98,1,N/A,,Garcia,"temp corrected, wind legibility, person corrected"
Stevenson,7/27/2023,7,6:30 a.m.,76,98,2,N/A,,Lott,temp corrected
Stevenson,7/27/2023,8,7:30 a.m.,76,98,,N/A,,Lott,"temp corrected, wind legibility"
Stevenson,7/27/2023,9,8:30 a.m.,82,86,4,90,,Lott,
Stevenson,7/27/2023,10,9:30 a.m.,85,75,9,97,,Lott,temp corrected
Stevenson,7/27/2023,11,10:30 a.m.,90,56,11,96,,Lott,temp corrected
Stevenson,7/27/2023,12,11:30 a.m.,91,54,9,98,,Lott,temp corrected
Stevenson,7/27/2023,13,12:30 p.m.,96,42,9,102,,Lott,
Stevenson,7/27/2023,14,1:30 p.m.,97,40,11,102,,Lott,temp corrected
Stevenson,7/27/2023,15,2:30 p.m.,98,36,7,102,,Lott,temp corrected
Stevenson,7/27/2023,16,3:30 p.m.,99,30,3,100,,Lott,temp corrected
Stevenson,7/27/2023,17,4:30 p.m.,97,37,8,101,,Lott,temp corrected
Stevenson,7/27/2023,18,5:30 p.m.,98,35,11,101,,Lott,temp corrected
Stevenson,7/27/2023,19,6:30 p.m.,96,37,12,99,,Mansfield,"temp corrected, person corrected"
Stevenson,7/27/2023,20,7:30 p.m.,95,36,11,96,,Mansfield,"temp corrected, person corrected"
