unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Mechler,7/24/2023,1,12:30 a.m.,71,67,,59,,Martinez,
Mechler,7/24/2023,2,1:30 a.m.,73,58,,57,,Martinez,
Mechler,7/24/2023,3,2:30 a.m.,70,65,,57,,Martinez,
Mechler,7/24/2023,4,3:30 a.m.,70,60,,55,,Martinez,
Mechler,7/24/2023,5,4:30 a.m.,70,58,,55,,Martinez,
Mechler,7/24/2023,6,5:30 a.m.,67,67,,55,,Martinez,
Mechler,7/24/2023,7,6:30 a.m.,69,58,,69,,Lucido,
Mechler,7/24/2023,8,7:30 a.m.,70,54,,70,,Lucido,
Mechler,7/24/2023,9,8:30 a.m.,79,38,,79,,Lucido,
Mechler,7/24/2023,10,9:30 a.m.,84,33,,84,,Lucido,
Mechler,7/24/2023,11,10:30 a.m.,90,30,,90,,Lucido,
Mechler,7/24/2023,12,11:30 a.m.,95,25,,95,,Lucido,
Mechler,7/24/2023,13,12:30 p.m.,100,17,,100,,Lucido,
Mechler,7/24/2023,14,1:30 p.m.,103,14,,103,,Lucido,
Mechler,7/24/2023,15,2:30 p.m.,105,11,,105,,Lucido,
Mechler,7/24/2023,16,3:30 p.m.,103,12,,103,,Lucido,
Mechler,7/24/2023,17,4:30 p.m.,104,11,,104,,Lucido,
Mechler,7/24/2023,18,5:30 p.m.,101,11,,101,,Lucido,
Mechler,7/24/2023,19,6:30 p.m.,98,13,,98,,Hicks,
Mechler,7/24/2023,20,7:30 p.m.,96,15,,96,,Hicks,
Mechler,7/24/2023,21,8:30 p.m.,91,27,,91,,Hicks,
Mechler,7/24/2023,22,9:30 p.m.,84,32,,84,,Hicks,
Mechler,7/24/2023,23,10:30 p.m.,82,33,,82,,Hicks,
Mechler,7/24/2023,24,11:30 p.m.,79,36,,79,,Hicks,
Mechler,7/25/2023,1,12:30 a.m.,77,44,,77,,Hicks,
Mechler,7/25/2023,2,1:30 a.m.,76,43,,76,,Hicks,
Mechler,7/25/2023,3,2:30 a.m.,73,49,,73,,Hicks,
Mechler,7/25/2023,4,3:30 a.m.,69,57,,69,,Hicks,
Mechler,7/25/2023,5,4:30 a.m.,68,59,,68,,Hicks,
Mechler,7/25/2023,6,5:30 a.m.,68,59,,68,,Hicks,
Mechler,7/25/2023,7,6:30 a.m.,69,59,,69,,Lucido,
Mechler,7/25/2023,8,7:30 a.m.,70,58,,70,,Lucido,
Mechler,7/25/2023,9,8:30 a.m.,76,39,,76,,Lucido,
Mechler,7/25/2023,10,9:30 a.m.,85,28,,88,,Lucido,
Mechler,7/25/2023,11,10:30 a.m.,90,23,,90,,Lucido,
Mechler,7/25/2023,12,11:30 a.m.,95,20,,95,,Lucido,
Mechler,7/25/2023,13,12:30 p.m.,100,14,,100,,Lucido,
Mechler,7/25/2023,14,1:30 p.m.,101,6,,101,,Lucido,
Mechler,7/25/2023,15,2:30 p.m.,101,7,,101,,K Martinez,temp corrected
Mechler,7/25/2023,16,3:30 p.m.,102,8,,102,,K Martinez,
Mechler,7/25/2023,17,4:30 p.m.,102,9,,102,,K Martinez,
Mechler,7/25/2023,18,5:30 p.m.,102,8,,102,,C Guzman,
Mechler,7/25/2023,19,6:30 p.m.,100,8,,100,,Hicks,
Mechler,7/25/2023,20,7:30 p.m.,97,9,,97,,Hicks,
Mechler,7/25/2023,21,8:30 p.m.,87,26,,87,,Hicks,
Mechler,7/25/2023,22,9:30 p.m.,83,31,,83,,Hicks,
Mechler,7/25/2023,23,10:30 p.m.,82,30,,82,,Hicks,
Mechler,7/25/2023,24,11:30 p.m.,81,32,,81,,Hicks,
Mechler,7/26/2023,1,12:30 a.m.,79,33,,79,,Hicks,
Mechler,7/26/2023,2,1:30 a.m.,75,40,,75,,Hicks,
Mechler,7/26/2023,3,2:30 a.m.,72,49,,72,,Hicks,
Mechler,7/26/2023,4,3:30 a.m.,70,55,,53,,Hicks,
Mechler,7/26/2023,5,4:30 a.m.,69,58,,69,,Hicks,
Mechler,7/26/2023,6,5:30 a.m.,68,60,,68,,Hicks,
Mechler,7/26/2023,7,6:30 a.m.,69,56,,69,,Lucido,
Mechler,7/26/2023,8,7:30 a.m.,75,40,,75,,Lucido,
Mechler,7/26/2023,9,8:30 a.m.,80,37,,80,,Lucido,
Mechler,7/26/2023,10,9:30 a.m.,83,34,,83,,Lucido,
Mechler,7/26/2023,11,10:30 a.m.,90,30,,90,,Lucido,
Mechler,7/26/2023,12,11:30 a.m.,94,23,,94,,Lucido,
