unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Halbert,7/24/2023,1,12:30 a.m.,82,52,4,83,,Hering,
Halbert,7/24/2023,2,1:30 a.m.,81,63,2,83,,Hering,
Halbert,7/24/2023,3,2:30 a.m.,79,67,2,81,,Hering,
Halbert,7/24/2023,4,3:30 a.m.,78,70,2,80,,Hering,
Halbert,7/24/2023,5,4:30 a.m.,77,72,2,78,,Hering,
Halbert,7/24/2023,6,5:30 a.m.,77,75,2,78,,Redincton,person legibility
Halbert,7/24/2023,7,6:30 a.m.,76,75,,77,,Redincton,wind legibility
Halbert,7/24/2023,8,7:30 a.m.,80,62,,83,,Redincton,"humid legibility, wind legibility"
Halbert,7/24/2023,9,8:30 a.m.,86,60,2,91,2,Redincton,
Halbert,7/24/2023,10,9:30 a.m.,91,53,3,98,2,Redincton,temp legibility
Halbert,7/24/2023,11,10:30 a.m.,92,51,7,99,2,Redincton,humid legibility
Halbert,7/24/2023,12,11:30 a.m.,101,39,4,110,3,Redincton,
Halbert,7/24/2023,13,12:30 p.m.,103,31,5,108,3,Redincton,
Halbert,7/24/2023,14,1:30 p.m.,103,28,9,106,3,Redincton,
Halbert,7/24/2023,15,2:30 p.m.,105,27,2,109,3,Redincton,wind legibility
Halbert,7/24/2023,16,3:30 p.m.,106,25,11,109,3,Redincton,
Halbert,7/24/2023,17,4:30 p.m.,105,24,10,106,,Redincton,
Halbert,7/24/2023,18,5:30 p.m.,106,24,6,108,,Hallam,person legibility
Halbert,7/24/2023,19,6:30 p.m.,106,24,6,108,,Reyes,
Halbert,7/24/2023,20,7:30 p.m.,99,29,8,100,,Hallam,
Halbert,7/24/2023,21,8:30 p.m.,92,36,4,92,,Hallam,
Halbert,7/24/2023,22,9:30 p.m.,90,39,5,90,,Hallam,
Halbert,7/24/2023,23,10:30 p.m.,88,44,9,89,,Chadwick,
Halbert,7/24/2023,24,11:30 p.m.,88,44,9,89,,Chadwick,
Halbert,7/25/2023,1,12:30 a.m.,84,66,7,89,,Chadwick,
Halbert,7/25/2023,2,1:30 a.m.,82,71,7,86,,Chadwick,
Halbert,7/25/2023,3,2:30 a.m.,80,75,4,83,,Chadwick,
Halbert,7/25/2023,4,3:30 a.m.,78,79,2,80,,Chadwick,
Halbert,7/25/2023,5,4:30 a.m.,77,83,2,78,,Chadwick,
Halbert,7/25/2023,6,5:30 a.m.,77,84,2,78,,Redincton,
Halbert,7/25/2023,7,6:30 a.m.,78,83,3,79,,Redincton,
Halbert,7/25/2023,8,7:30 a.m.,78,81,5,80,,Redincton,
Halbert,7/25/2023,9,8:30 a.m.,83,74,7,89,1,Redincton,
Halbert,7/25/2023,10,9:30 a.m.,85,70,9,92,1,Redincton,
Halbert,7/25/2023,11,10:30 a.m.,90,61,11,100,2,Redincton,
Halbert,7/25/2023,12,11:30 a.m.,94,47,9,101,2,Redincton,
Halbert,7/25/2023,13,12:30 p.m.,97,41,6,103,3,Redincton,
Halbert,7/25/2023,14,1:30 p.m.,99,37,9,103,3,Redincton,
Halbert,7/25/2023,15,2:30 p.m.,101,31,11,104,3,Redincton,
Halbert,7/25/2023,16,3:30 p.m.,102,31,7,106,3,Redincton,
Halbert,7/25/2023,17,4:30 p.m.,100,31,7,102,3,Redincton,
Halbert,7/25/2023,18,5:30 p.m.,100,29,7,101,3,"Druaran, A",person legibility
Halbert,7/25/2023,19,6:30 p.m.,100,30,9,102,3,"Druaran, A",
Halbert,7/25/2023,20,7:30 p.m.,97,33,8,98,3,"Druaran, A",
Halbert,7/25/2023,21,8:30 p.m.,92,38,7,92,2,"Druaran, A",
Halbert,7/25/2023,22,9:30 p.m.,89,42,2,89,2,"Druaran, A",
Halbert,7/25/2023,23,10:30 p.m.,87,43,2,87,,"Druaran, A",
Halbert,7/25/2023,24,11:30 p.m.,87,52,7,90,,"Druaran, A",
Halbert,7/26/2023,1,12:30 a.m.,85,58,8,88,,A Druaran,
Halbert,7/26/2023,2,1:30 a.m.,83,64,7,86,,A Druaran,
Halbert,7/26/2023,3,2:30 a.m.,82,70,7,86,,A Druaran,
Halbert,7/26/2023,4,3:30 a.m.,80,74,9,83,,A Druaran,
Halbert,7/26/2023,5,4:30 a.m.,79,79,8,82,,A Druaran,
Halbert,7/26/2023,6,5:30 a.m.,77,85,6,78,,Redincton,
Halbert,7/26/2023,7,6:30 a.m.,77,86,7,78,,Redincton,
Halbert,7/26/2023,8,7:30 a.m.,77,86,6,78,,Redincton,
Halbert,7/26/2023,9,8:30 a.m.,81,81,8,86,1,Redincton,
Halbert,7/26/2023,10,9:30 a.m.,87,63,11,94,2,Redincton,
Halbert,7/26/2023,11,10:30 a.m.,90,57,10,98,2,Redincton,
Halbert,7/26/2023,12,11:30 a.m.,93,49,11,100,2,Redincton,
Halbert,7/26/2023,13,12:30 p.m.,94,48,14,101,2,Redincton,
Halbert,7/26/2023,14,1:30 p.m.,99,40,2,108,3,Redincton,
Halbert,7/26/2023,15,2:30 p.m.,102,36,9,110,3,Redincton,
Halbert,7/26/2023,16,3:30 p.m.,100,36,6,106,3,Redincton,
Halbert,7/26/2023,17,4:30 p.m.,103,32,2,109,3,Redincton,hi_wc corrected
Halbert,7/26/2023,18,5:30 p.m.,102,33,10,108,3,A Druaran,
Halbert,7/26/2023,19,6:30 p.m.,98,36,6,102,3,A Druaran,
Halbert,7/26/2023,20,7:30 p.m.,97,37,9,101,3,A Druaran,
Halbert,7/26/2023,21,8:30 p.m.,95,39,11,98,,A Druaran,
Halbert,7/26/2023,22,9:30 p.m.,91,43,7,98,,A Druaran,hi_wc legibility
Halbert,7/26/2023,23,10:30 p.m.,89,46,5,91,,A Druaran,
Halbert,7/26/2023,24,11:30 p.m.,85,61,9,89,,A Druaran,
Halbert,7/27/2023,1,12:30 a.m.,84,62,11,88,,A Druaran,
Halbert,7/27/2023,2,1:30 a.m.,82,63,6,84,,A Druaran,
Halbert,7/27/2023,3,2:30 a.m.,80,64,6,82,,A Druaran,
Halbert,7/27/2023,4,3:30 a.m.,79,68,7,81,,A Druaran,
Halbert,7/27/2023,5,4:30 a.m.,77,77,4,78,,A Druaran,
Halbert,7/27/2023,6,5:30 a.m.,75,83,4,75,,N. Parker,person legibility
Halbert,7/27/2023,7,6:30 a.m.,75,87,4,74,,N. Parker,
Halbert,7/27/2023,8,7:30 a.m.,75,87,4,74,,N. Parker,
Halbert,7/27/2023,9,8:30 a.m.,80,76,6,83,,N. Parker,
Halbert,7/27/2023,10,9:30 a.m.,87,61,7,93,,N. Parker,
Halbert,7/27/2023,11,10:30 a.m.,92,45,4,95,,N. Parker,
Halbert,7/27/2023,12,11:30 a.m.,94,45,6,99,,N. Parker,
Halbert,7/27/2023,13,12:30 p.m.,99,38,14,105,,N. Parker,
Halbert,7/27/2023,14,1:30 p.m.,99,38,14,105,,N. Parker,
Halbert,7/27/2023,15,2:30 p.m.,102,32,9,107,,J. Garza,
Halbert,7/27/2023,16,3:30 p.m.,102,31,12,106,,"Garza, J",
Halbert,7/27/2023,17,4:30 p.m.,107,31,11,105,,"Garza, J",
Halbert,7/27/2023,18,5:30 p.m.,101,31,16,104,,"Garza, J",wind legibility
Halbert,7/27/2023,19,6:30 p.m.,97,34,12,99,,Hallam,
Halbert,7/27/2023,20,7:30 p.m.,98,35,6,96,,"Garza, J",
Halbert,7/27/2023,21,8:30 p.m.,87,40,4,91,,"Garza, J",
Halbert,7/27/2023,22,9:30 p.m.,88,43,5,88,,"Garza, J",wind corrected
Halbert,7/27/2023,23,10:30 p.m.,86,45,5,86,,Chadwick,
Halbert,7/27/2023,24,11:30 p.m.,86,50,11,86,,Chadwick,
Halbert,7/28/2023,1,12:30 a.m.,83,58,10,85,,Chadwick,
