unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Hamilton,7/24/2023,1,12:30 a.m.,82,69,,86,,McGaha,person legibility
Hamilton,7/24/2023,2,1:30 a.m.,81,72,,84,,McGaha,
Hamilton,7/24/2023,3,2:30 a.m.,79,N/A,,N/A,,McGaha,
Hamilton,7/24/2023,4,3:30 a.m.,78,N/A,,N/A,,McGaha,
Hamilton,7/24/2023,5,4:30 a.m.,77,N/A,,N/A,,McGaha,
Hamilton,7/24/2023,6,5:30 a.m.,76,N/A,,N/A,,McGaha,
Hamilton,7/24/2023,7,6:30 a.m.,75,N/A,,N/A,,Lewis,hi_wc corrected
Hamilton,7/24/2023,8,7:30 a.m.,78,N/A,,N/A,,Gibbs,
Hamilton,7/24/2023,9,8:30 a.m.,85,74,,94,,Gibbs,
Hamilton,7/24/2023,10,9:30 a.m.,86,73,,96,,Gibbs,
Hamilton,7/24/2023,11,10:30 a.m.,92,57,,102,,Gibbs,
Hamilton,7/24/2023,12,11:30 a.m.,93,59,,106,,Gibbs,
Hamilton,7/24/2023,13,12:30 p.m.,96,51,,107,,Gibbs,hi_wc corrected
Hamilton,7/24/2023,14,1:30 p.m.,104,36,,114,,Gibbs,
Hamilton,7/24/2023,15,2:30 p.m.,106,31,,114,,Lewis,
Hamilton,7/24/2023,16,3:30 p.m.,105,31,,114,,Lewis,
Hamilton,7/24/2023,17,4:30 p.m.,105,30,,111,,Gibbs,
Hamilton,7/24/2023,18,5:30 p.m.,105,29,,110,,McGaha,
Hamilton,7/24/2023,19,6:30 p.m.,102,32,,107,,McGaha,
Hamilton,7/24/2023,20,7:30 p.m.,100,33,,104,,McGaha,
Hamilton,7/24/2023,21,8:30 p.m.,91,57,,100,,McGaha,
Hamilton,7/24/2023,22,9:30 p.m.,90,58,,98,,McGaha,
Hamilton,7/24/2023,23,10:30 p.m.,88,60,,95,,McGaha,
Hamilton,7/24/2023,24,11:30 p.m.,86,64,,92,,McGaha,
Hamilton,7/25/2023,1,12:30 a.m.,84,69,,90,,Moore,
Hamilton,7/25/2023,2,1:30 a.m.,83,75,,89,,Moore,
Hamilton,7/25/2023,3,2:30 a.m.,82,77,,88,,Moore,
Hamilton,7/25/2023,4,3:30 a.m.,89,84,,82,,Moore,temp corrected
Hamilton,7/25/2023,5,4:30 a.m.,78,N/A,,N/A,,Moore,
Hamilton,7/25/2023,6,5:30 a.m.,77,N/A,,N/A,,Moore,
Hamilton,7/25/2023,7,6:30 a.m.,78,N/A,,N/A,,Aparicio,
Hamilton,7/25/2023,8,7:30 a.m.,80,84,,82,,Aparicio,
Hamilton,7/25/2023,9,8:30 a.m.,83,75,,89,,Aparicio,
Hamilton,7/25/2023,10,9:30 a.m.,86,74,,96,,Aparicio,
Hamilton,7/25/2023,11,10:30 a.m.,89,62,,98,,Aparicio,
Hamilton,7/25/2023,12,11:30 a.m.,91,59,,103,,Aparicio,
Hamilton,7/25/2023,13,12:30 p.m.,94,,,105,,P Taylor,humid corrected
Hamilton,7/25/2023,14,1:30 p.m.,98,58,,107,,P Taylor,
Hamilton,7/25/2023,15,2:30 p.m.,112,8,,112,,P Taylor,humid corrected
Hamilton,7/25/2023,16,3:30 p.m.,102,8,,109,,P Taylor,humid corrected
Hamilton,7/25/2023,17,4:30 p.m.,108,8,,108,,P Taylor,temp legibility
Hamilton,7/25/2023,18,5:30 p.m.,102,32,,107,,P Taylor,
Hamilton,7/25/2023,19,6:30 p.m.,98,37,,102,,McGaha,
Hamilton,7/25/2023,20,7:30 p.m.,92,51,,99,,McGaha,
Hamilton,7/25/2023,21,8:30 p.m.,91,51,,97,,McGaha,
Hamilton,7/25/2023,22,9:30 p.m.,89,53,,94,,McGaha,
Hamilton,7/25/2023,23,10:30 p.m.,87,58,,92,,McGaha,
Hamilton,7/25/2023,24,11:30 p.m.,85,64,,90,,McGaha,temp legibility
Hamilton,7/26/2023,1,12:30 a.m.,83,69,,88,,McGaha,
Hamilton,7/26/2023,2,1:30 a.m.,82,70,,85,,McGaha,
Hamilton,7/26/2023,3,2:30 a.m.,80,78,,83,,McGaha,
Hamilton,7/26/2023,4,3:30 a.m.,79,N/A,,N/A,,McGaha,
Hamilton,7/26/2023,5,4:30 a.m.,79,N/A,,N/A,,McGaha,
Hamilton,7/26/2023,6,5:30 a.m.,78,N/A,,N/A,,McGaha,
Hamilton,7/26/2023,7,6:30 a.m.,77,N/A,,N/A,,Martell,
Hamilton,7/26/2023,8,7:30 a.m.,77,N/A,,N/A,,Martell,
Hamilton,7/26/2023,9,8:30 a.m.,82,84,,89,,Fillmore,person legibility
Hamilton,7/26/2023,10,9:30 a.m.,86,73,,96,,Fillmore,
Hamilton,7/26/2023,11,10:30 a.m.,89,66,,100,,Fillmore,
Hamilton,7/26/2023,12,11:30 a.m.,93,54,,103,,Fillmore,
Hamilton,7/26/2023,13,12:30 p.m.,99,47,,107,,,"temp corrected, humid legibility, hi_wc corrected, person corrected"
Hamilton,7/26/2023,14,1:30 p.m.,99,40,,107,,Fillmore,
Hamilton,7/26/2023,15,2:30 p.m.,100,37,,107,,Fillmore,
Hamilton,7/26/2023,16,3:30 p.m.,104,33,,112,,Fillmore,
Hamilton,7/26/2023,17,4:30 p.m.,103,32,,109,,Fillmore,
Hamilton,7/26/2023,18,5:30 p.m.,103,31,,108,,Fillmore,
Hamilton,7/26/2023,19,6:30 p.m.,101,31,,106,,Moore,
Hamilton,7/26/2023,20,7:30 p.m.,97,36,,100,,S Hill,
Hamilton,7/26/2023,21,8:30 p.m.,94,40,,97,,Hill,temp corrected
Hamilton,7/26/2023,22,9:30 p.m.,90,45,,92,,Hill,
Hamilton,7/26/2023,23,10:30 p.m.,88,59,,94,,Hill,
Hamilton,7/26/2023,24,11:30 p.m.,87,64,,94,,Hill,
Hamilton,7/27/2023,1,12:30 a.m.,84,70,,90,,S Moore,
Hamilton,7/27/2023,2,1:30 a.m.,83,71,,88,,Moore,
Hamilton,7/27/2023,3,2:30 a.m.,81,79,,86,,Moore,
Hamilton,7/27/2023,4,3:30 a.m.,80,82,,84,,Moore,
Hamilton,7/27/2023,5,4:30 a.m.,80,84,,84,,Moore,
Hamilton,7/27/2023,6,5:30 a.m.,79,N/A,,N/A,,Moore,
Hamilton,7/27/2023,7,6:30 a.m.,78,89,,80,,J Taylor,
Hamilton,7/27/2023,8,7:30 a.m.,78,89,,80,,Monsivais,
Hamilton,7/27/2023,9,8:30 a.m.,82,84,,89,,Monsivais,
Hamilton,7/27/2023,10,9:30 a.m.,84,77,,92,,Monsivais,
Hamilton,7/27/2023,11,10:30 a.m.,87,68,,96,,Monsivais,
Hamilton,7/27/2023,12,11:30 a.m.,92,57,,102,,Monsivais,
Hamilton,7/27/2023,13,12:30 p.m.,98,45,,108,,Fillmore,
Hamilton,7/27/2023,14,1:30 p.m.,98,44,,107,,Fillmore,
Hamilton,7/27/2023,15,2:30 p.m.,101,37,,109,,Monsivais,
Hamilton,7/27/2023,16,3:30 p.m.,101,34,,108,,Monsivais,
Hamilton,7/27/2023,17,4:30 p.m.,102,29,,105,,Monsivais,
Hamilton,7/27/2023,18,5:30 p.m.,102,29,,105,,Monsivais,
Hamilton,7/27/2023,19,6:30 p.m.,101,29,,103,,A Hill,
Hamilton,7/27/2023,20,7:30 p.m.,97,32,,98,,A Hill,
Hamilton,7/27/2023,21,8:30 p.m.,90,54,,96,,A Hill,
Hamilton,7/27/2023,22,9:30 p.m.,88,56,,93,,A Hill,
Hamilton,7/27/2023,23,10:30 p.m.,86,59,,90,,A Hill,
Hamilton,7/27/2023,24,11:30 p.m.,84,64,,88,,A Hill,
Hamilton,7/28/2023,1,12:30 a.m.,82,67,,87,,Naranjo,
Hamilton,7/28/2023,2,1:30 a.m.,80,68,,80,,Naranjo,
