unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Hobby,7/24/2023,1,12:30 a.m.,81,59,1,80,,Suggs,
Hobby,7/24/2023,2,1:30 a.m.,78,66,,79,,Suggs,
Hobby,7/24/2023,3,2:30 a.m.,77,65,,78,,Suggs,"temp corrected, humid corrected"
Hobby,7/24/2023,4,3:30 a.m.,74,71,,75,,Suggs,
Hobby,7/24/2023,5,4:30 a.m.,73,78,,73,,Suggs,
Hobby,7/24/2023,6,5:30 a.m.,71,81,,71,,Suggs,
Hobby,7/24/2023,7,6:30 a.m.,71,84,,70,,Stewart,
Hobby,7/24/2023,8,7:30 a.m.,73,82,2,73,,Stewart,
Hobby,7/24/2023,9,8:30 a.m.,81,71,2,84,1,Stewart,
Hobby,7/24/2023,10,9:30 a.m.,87,64,5,92,1,Stewart,
Hobby,7/24/2023,11,10:30 a.m.,92,57,6,102,2,Stewart,
Hobby,7/24/2023,12,11:30 a.m.,95,52,7,106,2,Stewart,
Hobby,7/24/2023,13,12:30 p.m.,98,47,11,110,3,Stewart,
Hobby,7/24/2023,14,1:30 p.m.,100,41,7,110,3,Stewart,
Hobby,7/24/2023,15,2:30 p.m.,103,37,6,113,3,Stewart,
Hobby,7/24/2023,16,3:30 p.m.,100,39,5,108,3,Stewart,
Hobby,7/24/2023,17,4:30 p.m.,102,34,7,108,3,Stewart,
Hobby,7/24/2023,18,5:30 p.m.,103,34,7,110,3,Stewart,
Hobby,7/24/2023,19,6:30 p.m.,101,36,7,108,3,Stewart,
Hobby,7/24/2023,20,7:30 p.m.,98,38,5,103,3,Deroon,
Hobby,7/24/2023,21,8:30 p.m.,94,43,4,98,2,Deroon,
Hobby,7/24/2023,22,9:30 p.m.,90,49,2,94,2,Deroon,
Hobby,7/24/2023,23,10:30 p.m.,86,58,2,90,1,Deroon,
Hobby,7/24/2023,24,11:30 p.m.,85,65,7,90,1,Deroon,
Hobby,7/25/2023,1,12:30 a.m.,83,71,5,88,1,Deroon,
Hobby,7/25/2023,2,1:30 a.m.,82,74,6,87,1,Deroon,
Hobby,7/25/2023,3,2:30 a.m.,82,76,6,87,1,Deroon,
Hobby,7/25/2023,4,3:30 a.m.,82,77,4,88,1,Deroon,
Hobby,7/25/2023,5,4:30 a.m.,79,81,N/A,82,N/A,Deroon,
Hobby,7/25/2023,6,5:30 a.m.,77,84,3,78,N/A,Deroon,
Hobby,7/25/2023,7,6:30 a.m.,76,87,,76,N/A,Deroon,
Hobby,7/25/2023,8,7:30 a.m.,77,87,4,78,N/A,P. Stewart,
Hobby,7/25/2023,9,8:30 a.m.,82,82,9,89,1,P. Stewart,hi_wc_n corrected
Hobby,7/25/2023,10,9:30 a.m.,86,77,10,98,1,P. Stewart,
Hobby,7/25/2023,11,10:30 a.m.,89,65,14,100,1,P. Stewart,
Hobby,7/25/2023,12,11:30 a.m.,93,55,9,101,2,P. Stewart,humid corrected
Hobby,7/25/2023,13,12:30 p.m.,96,48,15,106,2,P. Stewart,
Hobby,7/25/2023,14,1:30 p.m.,98,42,7,106,3,P. Stewart,hi_wc_n corrected
Hobby,7/25/2023,15,2:30 p.m.,99,39,4,106,3,P. Stewart,hi_wc_n corrected
Hobby,7/25/2023,16,3:30 p.m.,100,40,7,109,3,P. Stewart,hi_wc_n corrected
Hobby,7/25/2023,17,4:30 p.m.,100,40,9,109,3,P. Stewart,hi_wc_n corrected
Hobby,7/25/2023,18,5:30 p.m.,100,39,7,108,3,P. Stewart,
Hobby,7/25/2023,19,6:30 p.m.,99,39,11,106,3,P. Stewart,
Hobby,7/25/2023,20,7:30 p.m.,96,38,5,99,2,P. Stewart,
Hobby,7/25/2023,21,8:30 p.m.,93,42,5,96,2,P. Stewart,
Hobby,7/25/2023,22,9:30 p.m.,88,51,9,91,1,P. Stewart,
Hobby,7/25/2023,23,10:30 p.m.,87,57,5,91,,T. Suggs,
Hobby,7/25/2023,24,11:30 p.m.,85,64,5,90,,T. Suggs,humid legibility
Hobby,7/26/2023,1,12:30 a.m.,82,70,4,86,,Suggs,humid legibility
Hobby,7/26/2023,2,1:30 a.m.,81,73,5,85,,Suggs,wind legibility
Hobby,7/26/2023,3,2:30 a.m.,80,73,4,84,,Suggs,
Hobby,7/26/2023,4,3:30 a.m.,79,78,4,82,,Suggs,
Hobby,7/26/2023,5,4:30 a.m.,78,81,4,80,,Suggs,
Hobby,7/26/2023,6,5:30 a.m.,77,83,6,78,,Suggs,
Hobby,7/26/2023,7,6:30 a.m.,77,57,6,78,,Jordan,
Hobby,7/26/2023,8,7:30 a.m.,78,53,6,80,,Jordan,
Hobby,7/26/2023,9,8:30 a.m.,83,53,10,92,,Jordan,
Hobby,7/26/2023,10,9:30 a.m.,87,53,16,100,,Jordan,temp legibility
Hobby,7/26/2023,11,10:30 a.m.,89,44,5,101,,Jordan,wind legibility
Hobby,7/26/2023,12,11:30 a.m.,93,43,11,105,,Jordan,
Hobby,7/26/2023,13,12:30 p.m.,96,41,7,106,,Jordan,
Hobby,7/26/2023,14,1:30 p.m.,98,37,11,107,,Jordan,hi_wc corrected
Hobby,7/26/2023,15,2:30 p.m.,100,36,6,106,3,Jordan,
Hobby,7/26/2023,16,3:30 p.m.,100,35,7,108,3,Jordan,
