unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
San Saba,07/24/2023,1,12:30 a.m.,79,,0,58,,C Heming,
San Saba,07/24/2023,2,1:30 a.m.,78,,0,59,,C Heming,
San Saba,07/24/2023,3,2:30 a.m.,74,N/A,,N/A,,PS,
San Saba,07/24/2023,4,3:30 a.m.,74,N/A,,N/A,,PS,
San Saba,07/24/2023,5,4:30 a.m.,72,N/A,,N/A,,PS,
San Saba,07/24/2023,6,5:30 a.m.,72,N/A,,N/A,,PS,
San Saba,07/24/2023,7,6:30 a.m.,69,N/A,,N/A,,Ramirez,
San Saba,07/24/2023,8,7:30 a.m.,78,N/A,,N/A,,Ramirez,
San Saba,07/24/2023,9,8:30 a.m.,84,51,,85,,Ramirez,
San Saba,07/24/2023,10,9:30 a.m.,90,49,,95,,Ramirez,
San Saba,07/24/2023,11,10:30 a.m.,95,44,,102,,Ramirez,
San Saba,07/24/2023,12,11:30 a.m.,98,38,,104,,Ramirez,
San Saba,07/24/2023,13,12:30 p.m.,104,31,,111,,Ramirez,
San Saba,07/24/2023,14,1:30 p.m.,105,26,,108,,Ramirez,
San Saba,07/24/2023,15,2:30 p.m.,106,24,,109,,Ramirez,
San Saba,07/24/2023,16,3:30 p.m.,106,22,,108,,Simental,hi_wc corrected
San Saba,07/24/2023,17,4:30 p.m.,108,21,,109,,Simental,
San Saba,07/24/2023,18,5:30 p.m.,107,21,,109,,Simental,
San Saba,07/24/2023,19,6:30 p.m.,106,20,,106,,Ramirez,
San Saba,07/24/2023,20,7:30 p.m.,104,20,,104,,Ramirez,
San Saba,07/24/2023,21,8:30 p.m.,97,26,,96,,Ramirez,
San Saba,07/24/2023,22,9:30 p.m.,92,29,,91,,Ramirez,
San Saba,07/24/2023,23,10:30 p.m.,91,32,,90,,Alexander,
San Saba,07/24/2023,24,11:30 p.m.,98,35,,88,,Alexander,
San Saba,07/25/2023,1,12:30 a.m.,85,51,,87,,Alexander,
San Saba,07/25/2023,2,1:30 a.m.,85,58,,88,,Alexander,
San Saba,07/25/2023,3,2:30 a.m.,84,65,,88,,Alexander,
San Saba,07/25/2023,4,3:30 a.m.,83,67,,88,,Alexander,
San Saba,07/25/2023,5,4:30 a.m.,78,N/A,,N/A,,Alexander,
San Saba,07/25/2023,6,5:30 a.m.,76,N/A,,N/A,,Alexander,
San Saba,07/25/2023,7,6:30 a.m.,73,N/A,,N/A,,Ramirez,
San Saba,07/25/2023,8,7:30 a.m.,84,57,,90,,Ramirez,
San Saba,07/25/2023,9,8:30 a.m.,87,62,,94,,Ramirez,
San Saba,07/25/2023,10,9:30 a.m.,92,53,,101,,Ramirez,
San Saba,07/25/2023,11,10:30 a.m.,95,46,,103,,Ramirez,
San Saba,07/25/2023,12,11:30 a.m.,97,37,,102,,Ramirez,
San Saba,07/25/2023,13,12:30 p.m.,99,33,,103,,Ramirez,
San Saba,07/25/2023,14,1:30 p.m.,101,30,,106,,Ramirez,
San Saba,07/25/2023,15,2:30 p.m.,104,26,,107,,Ramirez,
San Saba,07/25/2023,16,3:30 p.m.,104,25,,107,,Ramirez,
San Saba,07/25/2023,17,4:30 p.m.,105,24,,107,,Ramirez,
San Saba,07/25/2023,18,5:30 p.m.,104,22,,105,,Ramirez,
San Saba,07/25/2023,19,6:30 p.m.,105,22,,106,,Smith,
San Saba,07/25/2023,20,7:30 p.m.,105,22,,106,,Smith,
San Saba,07/25/2023,21,8:30 p.m.,105,22,,106,,Smith,
San Saba,07/25/2023,22,9:30 p.m.,105,22,,106,,Smith,
San Saba,07/25/2023,23,10:30 p.m.,105,22,,106,,Smith,
San Saba,07/25/2023,24,11:30 p.m.,86,85,,102,,Smith,
San Saba,07/26/2023,1,12:30 a.m.,89,60,,96,,Grant,
San Saba,07/26/2023,2,1:30 a.m.,88,65,,98,,Grant,
San Saba,07/26/2023,3,2:30 a.m.,87,70,,97,,Grant,
San Saba,07/26/2023,4,3:30 a.m.,84,77,,94,,Grant,
San Saba,07/26/2023,5,4:30 a.m.,84,79,,93,,Grant,
San Saba,07/26/2023,6,5:30 a.m.,83,80,,91,,Grant,
San Saba,07/26/2023,7,6:30 a.m.,82,83,,89,,Grant,
San Saba,07/26/2023,8,7:30 a.m.,83,80,,92,,Gonzalez,
San Saba,07/26/2023,9,8:30 a.m.,87,97,,97,,Gonzalez,
San Saba,07/26/2023,10,9:30 a.m.,93,53,,103,,Gonzalez,
San Saba,07/26/2023,11,10:30 a.m.,96,48,,107,,Gonzalez,
San Saba,07/26/2023,12,11:30 a.m.,98,40,,105,,Gonzalez,
San Saba,07/26/2023,13,12:30 p.m.,101,39,,111,,Sanchez,
San Saba,07/26/2023,14,1:30 p.m.,106,33,,116,,Sanchez,
San Saba,07/26/2023,15,2:30 p.m.,107,33,,107,,Sanchez,
San Saba,07/26/2023,16,3:30 p.m.,107,32,,107,,Sanchez,
San Saba,07/26/2023,17,4:30 p.m.,108,32,,108,,Sanchez,
San Saba,07/26/2023,18,5:30 p.m.,107,27,,107,,Sanchez,
San Saba,07/26/2023,19,6:30 p.m.,103,27,,112,,Hartman,humid corrected
San Saba,07/26/2023,20,7:30 p.m.,104,29,,110,,Hartman,
San Saba,07/26/2023,21,8:30 p.m.,98,34,,102,,Hartman,
San Saba,07/26/2023,22,9:30 p.m.,95,39,,99,,Hartman,
San Saba,07/26/2023,23,10:30 p.m.,94,,5,97,,C Heming,"temp corrected, wind corrected"
San Saba,07/26/2023,24,11:30 p.m.,92,41,,94,,Hartman,
San Saba,07/27/2023,1,12:30 a.m.,89,45,4,91,,Corun,
San Saba,07/27/2023,2,1:30 a.m.,86,50,3,89,,Corun,
San Saba,07/27/2023,3,2:30 a.m.,85,53,2,87,,Corun,
San Saba,07/27/2023,4,3:30 a.m.,82,58,2,85,,Corun,
San Saba,07/27/2023,5,4:30 a.m.,79,,1,N/A,,Corun,
San Saba,07/27/2023,6,5:30 a.m.,77,,1,N/A,,Corun,
San Saba,07/27/2023,7,6:30 a.m.,74,N/A,,N/A,,Ramirez,temp corrected
San Saba,07/27/2023,8,7:30 a.m.,79,N/A,,N/A,,Ramirez,
San Saba,07/27/2023,9,8:30 a.m.,84,56,,88,,Ramirez,
San Saba,07/27/2023,10,9:30 a.m.,91,45,,95,,Ramirez,
San Saba,07/27/2023,11,10:30 a.m.,95,36,,97,,Ramirez,
San Saba,07/27/2023,12,11:30 a.m.,98,33,,103,,Ramirez,
San Saba,07/27/2023,13,12:30 p.m.,100,32,,103,,Ramirez,
San Saba,07/27/2023,14,1:30 p.m.,100,31,,103,,Ramirez,
San Saba,07/27/2023,15,2:30 p.m.,102,30,,105,,Ramirez,
San Saba,07/27/2023,16,3:30 p.m.,100,28,,101,,Ramirez,
San Saba,07/27/2023,17,4:30 p.m.,104,26,,107,,Ramirez,
San Saba,07/27/2023,18,5:30 p.m.,104,25,,106,,Ramirez,
San Saba,07/27/2023,19,6:30 p.m.,100,25,,100,,Ramirez,
San Saba,07/27/2023,20,7:30 p.m.,99,30,,99,,Ramirez,
San Saba,07/27/2023,21,8:30 p.m.,95,30,,96,,Ramirez,
San Saba,07/27/2023,22,9:30 p.m.,93,34,,93,,Emelson,
San Saba,07/27/2023,23,10:30 p.m.,91,35,,91,,Emelson,
San Saba,07/27/2023,24,11:30 p.m.,85,41,,88,,Emelson,
San Saba,07/28/2023,1,12:30 a.m.,85,45,,86,,Emelson,
San Saba,07/28/2023,2,1:30 a.m.,85,42,,86,,Emelson,
San Saba,07/28/2023,3,2:30 a.m.,83,50,,85,,Emelson,
San Saba,07/28/2023,4,3:30 a.m.,82,55,,84,,Emelson,
San Saba,07/28/2023,5,4:30 a.m.,72,N/A,,N/A,,Donat,
San Saba,07/28/2023,6,5:30 a.m.,75,N/A,,N/A,,Donat,
San Saba,07/28/2023,7,6:30 a.m.,74,N/A,,N/A,,Ramirez,
San Saba,07/28/2023,8,7:30 a.m.,76,N/A,,N/A,,Ramirez,
San Saba,07/28/2023,9,8:30 a.m.,84,56,,85,,Ramirez,
San Saba,07/28/2023,10,9:30 a.m.,88,44,,90,,Ramirez,
San Saba,07/28/2023,11,10:30 a.m.,94,36,,95,,Ramirez,
San Saba,07/28/2023,12,11:30 a.m.,96,34,,98,,Ramirez,
San Saba,07/28/2023,13,12:30 p.m.,93,29,,94,,Vanderbus,
San Saba,07/28/2023,14,1:30 p.m.,96,27,,94,,Ramirez,
