unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Ferguson,7/24/2023,1,12:30 a.m.,79,56,0,N/A,,Ballard,
Ferguson,7/24/2023,2,1:30 a.m.,77,63,0,N/A,,Ballard,
Ferguson,7/24/2023,3,2:30 a.m.,76,68,2,N/A,,Ballard,
Ferguson,7/24/2023,4,3:30 a.m.,74,73,0,N/A,,Ballard,
Ferguson,7/24/2023,5,4:30 a.m.,72,79,0,N/A,,Ballard,
Ferguson,7/24/2023,6,5:30 a.m.,70,82,0,N/A,,Ballard,
Ferguson,7/24/2023,7,6:30 a.m.,72,85,0,N/A,,Molett,
Ferguson,7/24/2023,8,7:30 a.m.,77,72,1,N/A,,Molett,
Ferguson,7/24/2023,9,8:30 a.m.,87,60,0,93,2,Molett,hi_wc corrected
Ferguson,7/24/2023,10,9:30 a.m.,93,52,2,99,2,Molett,hi_wc corrected
Ferguson,7/24/2023,11,10:30 a.m.,96,45,5,104,3,Molett,hi_wc corrected
Ferguson,7/24/2023,12,11:30 a.m.,101,42,2,113,3,Molett,hi_wc corrected
Ferguson,7/24/2023,13,12:30 p.m.,97,41,0,103,2,Molett,hi_wc corrected
Ferguson,7/24/2023,14,1:30 p.m.,97,41,5,103,2,Molett,hi_wc corrected
Ferguson,7/24/2023,15,2:30 p.m.,100,36,3,106,3,Molett,hi_wc corrected
Ferguson,7/24/2023,16,3:30 p.m.,103,31,0,109,3,Molett,
Ferguson,7/24/2023,17,4:30 p.m.,99,33,2,102,2,Molett,
Ferguson,7/24/2023,18,5:30 p.m.,104,28,1,108,3,Molett,
Ferguson,7/24/2023,19,6:30 p.m.,105,27,0,109,3,Ernest,
Ferguson,7/24/2023,20,7:30 p.m.,98,36,2,102,2,Ernest,
Ferguson,7/24/2023,21,8:30 p.m.,93,42,0,96,2,Ernest,
Ferguson,7/24/2023,22,9:30 p.m.,89,46,5,91,2,Ernest,
Ferguson,7/24/2023,23,10:30 p.m.,86,57,3,90,1,Ernest,
Ferguson,7/24/2023,24,11:30 p.m.,84,63,0,88,1,Ernest,
Ferguson,7/25/2023,1,12:30 a.m.,82,69,0,86,1,Ernest,
Ferguson,7/25/2023,2,1:30 a.m.,81,74,0,85,1,Ernest,
Ferguson,7/25/2023,3,2:30 a.m.,79,79,0,N/A,,Ernest,
Ferguson,7/25/2023,4,3:30 a.m.,78,84,0,N/A,,Ernest,
Ferguson,7/25/2023,5,4:30 a.m.,77,88,0,N/A,,Ernest,
Ferguson,7/25/2023,6,5:30 a.m.,76,89,0,N/A,,Ernest,
Ferguson,7/25/2023,7,6:30 a.m.,75,89,0,N/A,,Molett,person legibility
Ferguson,7/25/2023,8,7:30 a.m.,77,89,0,N/A,,Molett,person legibility
Ferguson,7/25/2023,9,8:30 a.m.,83,79,4,91,2,Molett,person legibility
Ferguson,7/25/2023,10,9:30 a.m.,88,68,7,99,2,Molett,person legibility
Ferguson,7/25/2023,11,10:30 a.m.,91,57,5,100,2,Molett,person legibility
Ferguson,7/25/2023,12,11:30 a.m.,94,51,7,103,2,Molett,person legibility
Ferguson,7/25/2023,13,12:30 p.m.,95,47,8,103,2,Molett,person legibility
Ferguson,7/25/2023,14,1:30 p.m.,97,41,9,103,2,Molett,person legibility
Ferguson,7/25/2023,15,2:30 p.m.,98,39,6,102,2,Molett,person legibility
Ferguson,7/25/2023,16,3:30 p.m.,100,30,6,105,3,Molett,person legibility
Ferguson,7/25/2023,17,4:30 p.m.,101,29,8,105,3,Molett,person legibility
Ferguson,7/25/2023,18,5:30 p.m.,104,27,8,107,3,Molett,person legibility
Ferguson,7/25/2023,19,6:30 p.m.,107,28,4,103,2,Aggreh,
Ferguson,7/25/2023,20,7:30 p.m.,102,29,3,105,3,Aggreh,
Ferguson,7/25/2023,21,8:30 p.m.,93,44,2,97,2,Aggreh,
Ferguson,7/25/2023,22,9:30 p.m.,89,51,0,92,2,Aggreh,
Ferguson,7/25/2023,23,10:30 p.m.,86,57,0,90,1,Aggreh,
Ferguson,7/25/2023,24,11:30 p.m.,84,61,0,86,1,Aggreh,
Ferguson,7/26/2023,1,12:30 a.m.,81,66,0,84,1,Aggreh,
Ferguson,7/26/2023,2,1:30 a.m.,80,71,0,83,1,Aggreh,
Ferguson,7/26/2023,3,2:30 a.m.,79,74,0,N/A,,Aggreh,
Ferguson,7/26/2023,4,3:30 a.m.,78,79,0,N/A,,Aggreh,
Ferguson,7/26/2023,5,4:30 a.m.,77,84,0,N/A,,Aggreh,
Ferguson,7/26/2023,6,5:30 a.m.,75,89,0,N/A,,Aggreh,
Ferguson,7/26/2023,7,6:30 a.m.,74,89,0,N/A,,Garner,
Ferguson,7/26/2023,8,7:30 a.m.,77,87,0,N/A,,Garner,
Ferguson,7/26/2023,9,8:30 a.m.,84,76,4,92,2,Garner,
Ferguson,7/26/2023,10,9:30 a.m.,87,69,9,97,2,Garner,
Ferguson,7/26/2023,11,10:30 a.m.,91,58,6,101,2,Garner,
Ferguson,7/26/2023,12,11:30 a.m.,94,46,4,100,2,Garner,
Ferguson,7/26/2023,13,12:30 p.m.,95,43,5,101,2,Garner,
Ferguson,7/26/2023,14,1:30 p.m.,97,37,7,101,2,Garner,
Ferguson,7/26/2023,15,2:30 p.m.,98,33,4,101,2,Garner,
Ferguson,7/26/2023,16,3:30 p.m.,101,27,6,102,2,Garner,
Ferguson,7/26/2023,17,4:30 p.m.,102,26,6,103,2,Garner,
Ferguson,7/26/2023,18,5:30 p.m.,106,22,5,107,2,Garner,
Ferguson,7/26/2023,19,6:30 p.m.,101,31,8,105,,Bessong,
Ferguson,7/26/2023,20,7:30 p.m.,95,39,5,98,,Bessong,
Ferguson,7/26/2023,21,8:30 p.m.,93,41,,97,,Bessong,
Ferguson,7/26/2023,22,9:30 p.m.,90,48,,95,,Bessong,
