unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Goodman,7/24/2023,1,12:30 a.m.,75,,0,77,,G Hadnot,
Goodman,7/24/2023,2,1:30 a.m.,73,,0,75,,G Hadnot,
Goodman,7/24/2023,3,2:30 a.m.,71,,0,73,,LJ Nelson,
Goodman,7/24/2023,4,3:30 a.m.,71,,0,62,,LJ Nelson,
Goodman,7/24/2023,5,4:30 a.m.,69,,0,78,,LJ Nelson,
Goodman,7/24/2023,6,5:30 a.m.,69,,0,78,,LJ Nelson,
Goodman,7/24/2023,7,6:30 a.m.,69,,0,78,,LJ Nelson,
Goodman,7/24/2023,8,7:30 a.m.,69,,0,78,,LJ Nelson,
Goodman,7/24/2023,9,8:30 a.m.,88,,0,65,,LJ Nelson,hi_wc corrected
Goodman,7/24/2023,10,9:30 a.m.,86,,0,65,,LJ Nelson,
Goodman,7/24/2023,11,10:30 a.m.,91,,0,94,,LJ Nelson,
Goodman,7/24/2023,12,11:30 a.m.,94,,0,96,,LJ Nelson,
Goodman,7/24/2023,13,12:30 p.m.,94,,,99,,LJ Nelson,
Goodman,7/24/2023,14,1:30 p.m.,96,,,99,,LJ Nelson,
Goodman,7/24/2023,15,2:30 p.m.,97,,2,101,,G Hadnot,
Goodman,7/24/2023,16,3:30 p.m.,97,,4,99,,G Hadnot,
Goodman,7/24/2023,17,4:30 p.m.,99,,2,101,,G Hadnot,
Goodman,7/24/2023,18,5:30 p.m.,98,,2,98,,G Hadnot,
Goodman,7/24/2023,19,6:30 p.m.,97,,5,96,,G Hadnot,
Goodman,7/24/2023,20,7:30 p.m.,96,,4,98,,G Hadnot,
Goodman,7/24/2023,21,8:30 p.m.,88,,4,90,,G Hadnot,
Goodman,7/24/2023,22,9:30 p.m.,86,,5,89,,G Hadnot,
Goodman,7/24/2023,23,10:30 p.m.,82,,2,84,,R Samuel,
Goodman,7/24/2023,24,11:30 p.m.,81,,2,84,,R Samuel,
Goodman,7/25/2023,1,12:30 a.m.,80,,0,82,,Samuel R,
Goodman,7/25/2023,2,1:30 a.m.,77,,0,78,,Samuel RS,
Goodman,7/25/2023,3,2:30 a.m.,76,,0,76,,Evans,
Goodman,7/25/2023,4,3:30 a.m.,75,,2,74,,Evans,
Goodman,7/25/2023,5,4:30 a.m.,73,,0,71,,Evans,
Goodman,7/25/2023,6,5:30 a.m.,72,,0,69,,Evans,
Goodman,7/25/2023,7,6:30 a.m.,72,,3,69,,Samuel,
Goodman,7/25/2023,8,7:30 a.m.,73,,3,72,,Samuel,
Goodman,7/25/2023,9,8:30 a.m.,88,,2,97,,Samuel,
Goodman,7/25/2023,10,9:30 a.m.,88,,2,94,,Samuel,
Goodman,7/25/2023,11,10:30 a.m.,89,,2,98,,Samuel,
Goodman,7/25/2023,12,11:30 a.m.,89,,7,95,,Samuel,
Goodman,7/25/2023,13,12:30 p.m.,96,,4,104,,Samuel,
Goodman,7/25/2023,14,1:30 p.m.,96,,2,102,,Samuel,
Goodman,7/25/2023,15,2:30 p.m.,100,,3,106,,Samuel,
Goodman,7/25/2023,16,3:30 p.m.,100,,9,104,,Samuel,
Goodman,7/25/2023,17,4:30 p.m.,97,,6,101,,Samuel,
Goodman,7/25/2023,18,5:30 p.m.,94,,9,98,,Samuel,
Goodman,7/25/2023,19,6:30 p.m.,90,,7,94,,Samuel,
Goodman,7/25/2023,20,7:30 p.m.,92,,4,90,,Samuel,
Goodman,7/25/2023,21,8:30 p.m.,88,,9,94,,Samuel,
Goodman,7/25/2023,22,9:30 p.m.,86,,5,91,,Samuel,
Goodman,7/25/2023,23,10:30 p.m.,82,,2,85,,G Kadnot,
Goodman,7/25/2023,24,11:30 p.m.,81,,3,84,,G Kadnot,
Goodman,7/26/2023,1,12:30 a.m.,79,,2,81,,G Kadnot,
Goodman,7/26/2023,2,1:30 a.m.,79,,2,78,,B Samuel,
Goodman,7/26/2023,3,2:30 a.m.,79,,2,78,,B Samuel,
Goodman,7/26/2023,4,3:30 a.m.,74,,0,73,,B Samuel,
Goodman,7/26/2023,5,4:30 a.m.,73,,2,71,,B Samuel,
Goodman,7/26/2023,6,5:30 a.m.,73,,0,70,,B Samuel,
Goodman,7/26/2023,7,6:30 a.m.,72,,0,69,,Samuel,
Goodman,7/26/2023,8,7:30 a.m.,81,,1,85,,Samuel,
Goodman,7/26/2023,9,8:30 a.m.,82,,0,87,,Samuel,
Goodman,7/26/2023,10,9:30 a.m.,87,,4,93,,LJ Nelson,
Goodman,7/26/2023,11,10:30 a.m.,92,,5,99,,LJ Nelson,
Goodman,7/26/2023,12,11:30 a.m.,95,,5,100,,LJ Nelson,
Goodman,7/26/2023,13,12:30 p.m.,95,,5,100,,LJ Nelson,
Goodman,7/26/2023,14,1:30 p.m.,97,,5,105,,LJ Nelson,
Goodman,7/26/2023,15,2:30 p.m.,98,,7,101,,R Samuel,
Goodman,7/26/2023,16,3:30 p.m.,99,,9,102,,R Samuel,
Goodman,7/26/2023,17,4:30 p.m.,98,,8,100,,R Samuel,
Goodman,7/26/2023,18,5:30 p.m.,97,,11,98,,R Samuel,
Goodman,7/26/2023,19,6:30 p.m.,97,,7,98,,R Samuel,
Goodman,7/26/2023,20,7:30 p.m.,89,,5,90,,R Samuel,
Goodman,7/26/2023,21,8:30 p.m.,87,,5,89,,R Samuel,
Goodman,7/26/2023,22,9:30 p.m.,85,,3,87,,R Samuel,
Goodman,7/26/2023,23,10:30 p.m.,83,,4,85,,R Samuel,
Goodman,7/26/2023,24,11:30 p.m.,81,,2,83,,R Samuel,
Goodman,7/27/2023,1,12:30 a.m.,77,,0,78,,R Samuel,
Goodman,7/27/2023,2,1:30 a.m.,78,,2,78,,R Samuel,
Goodman,7/27/2023,3,2:30 a.m.,77,,0,78,,B Samuel,
Goodman,7/27/2023,4,3:30 a.m.,75,,0,75,,B Samuel,
Goodman,7/27/2023,5,4:30 a.m.,73,,0,72,,B Samuel,
Goodman,7/27/2023,6,5:30 a.m.,72,,0,69,,B Samuel,
Goodman,7/27/2023,7,6:30 a.m.,73,,0,71,,B Samuel,
Goodman,7/27/2023,8,7:30 a.m.,81,,6,84,,B Samuel,
Goodman,7/27/2023,9,8:30 a.m.,88,,2,96,,B Samuel,
Goodman,7/27/2023,10,9:30 a.m.,88,,2,97,,B Samuel,
Goodman,7/27/2023,11,10:30 a.m.,93,,4,98,,B Samuel,
Goodman,7/27/2023,12,11:30 a.m.,93,,4,98,,B Samuel,
Goodman,7/27/2023,13,12:30 p.m.,98,,11,102,,B Samuel,
Goodman,7/27/2023,14,1:30 p.m.,98,,11,102,,B Samuel,
Goodman,7/27/2023,15,2:30 p.m.,98,,5,102,,Courtney,
Goodman,7/27/2023,16,3:30 p.m.,100,,11,104,,Courtney,
Goodman,7/27/2023,17,4:30 p.m.,100,,6,102,,Courtney,
Goodman,7/27/2023,18,5:30 p.m.,99,,4,102,,Courtney,
Goodman,7/27/2023,19,6:30 p.m.,97,,4,100,,Courtney,
Goodman,7/27/2023,20,7:30 p.m.,94,,6,95,,Courtney,
Goodman,7/27/2023,21,8:30 p.m.,91,,5,93,,Courtney,
Goodman,7/27/2023,22,9:30 p.m.,86,,4,88,,Courtney,
Goodman,7/27/2023,23,10:30 p.m.,83,,2,85,,Courtney,
Goodman,7/27/2023,24,11:30 p.m.,81,,0,83,,Courtney,
Goodman,7/28/2023,1,12:30 a.m.,78,,0,79,,Courtney,
Goodman,7/28/2023,2,1:30 a.m.,76,,2,77,,Courtney,
Goodman,7/28/2023,3,2:30 a.m.,73,,0,73,,Samuel,
Goodman,7/28/2023,4,3:30 a.m.,73,,0,73,,Samuel,
Goodman,7/28/2023,5,4:30 a.m.,72,,2,71,,Samuel,
Goodman,7/28/2023,6,5:30 a.m.,72,,2,88,,Samuel,
Goodman,7/28/2023,7,6:30 a.m.,72,,2,88,,Samuel,
Goodman,7/28/2023,8,7:30 a.m.,84,,2,88,,Samuel,
Goodman,7/28/2023,9,8:30 a.m.,84,,2,88,,Samuel,
Goodman,7/28/2023,10,9:30 a.m.,84,,2,100,,Samuel,
Goodman,7/28/2023,11,10:30 a.m.,94,,6,103,,Samuel,
Goodman,7/28/2023,12,11:30 a.m.,96,,7,96,,Samuel,
Goodman,7/28/2023,13,12:30 p.m.,98,,8,104,,Samuel,
Goodman,7/28/2023,14,1:30 p.m.,98,,8,102,,Samuel,
Goodman,7/28/2023,15,2:30 p.m.,97,,5,103,,Courtney,
Goodman,7/28/2023,16,3:30 p.m.,96,,7,98,,Courtney,
Goodman,7/28/2023,17,4:30 p.m.,97,,10,101,,Courtney,
Goodman,7/28/2023,18,5:30 p.m.,98,,8,101,,Courtney,
Goodman,7/28/2023,19,6:30 p.m.,96,,7,97,,Courtney,
Goodman,7/28/2023,20,7:30 p.m.,96,,7,97,,Courtney,
Goodman,7/28/2023,21,8:30 p.m.,89,,4,92,,Courtney,
Goodman,7/28/2023,22,9:30 p.m.,86,,4,90,,Courtney,
Goodman,7/28/2023,23,10:30 p.m.,83,,3,86,,Courtney,
Goodman,7/28/2023,24,11:30 p.m.,80,,2,82,,Courtney,
Goodman,7/29/2023,1,12:30 a.m.,79,,4,81,,Courtney,
Goodman,7/29/2023,2,1:30 a.m.,77,,3,78,,Courtney,
Goodman,7/29/2023,3,2:30 a.m.,75,,0,76,,Courtney,
Goodman,7/29/2023,4,3:30 a.m.,72,,0,71,,Alford,
Goodman,7/29/2023,5,4:30 a.m.,71,,0,69,,Alford,
Goodman,7/29/2023,6,5:30 a.m.,71,,0,69,,Alford,
Goodman,7/29/2023,7,6:30 a.m.,71,,0,69,,Evans,
Goodman,7/29/2023,8,7:30 a.m.,80,,0,80,,Evans,hi_wc legibility
Goodman,7/29/2023,9,8:30 a.m.,88,,5,95,,Evans,
Goodman,7/29/2023,10,9:30 a.m.,88,,5,95,,Evans,
Goodman,7/29/2023,11,10:30 a.m.,90,,2,95,,Evans,
Goodman,7/29/2023,12,11:30 a.m.,95,,5,101,,Evans,
Goodman,7/29/2023,13,12:30 p.m.,97,,4,101,,Evans,
Goodman,7/29/2023,14,1:30 p.m.,97,,4,101,,Evans,
Goodman,7/29/2023,15,2:30 p.m.,99,,4,104,,P Guzman,
Goodman,7/29/2023,16,3:30 p.m.,102,,4,108,,P Guzman,
Goodman,7/29/2023,17,4:30 p.m.,99,,2,102,,P Guzman,
Goodman,7/29/2023,18,5:30 p.m.,102,,6,106,,P Guzman,"temp corrected, hi_wc corrected"
Goodman,7/29/2023,19,6:30 p.m.,100,,2,104,,P Guzman,
Goodman,7/29/2023,20,7:30 p.m.,97,,2,99,,P Guzman,
Goodman,7/29/2023,21,8:30 p.m.,89,,6,95,,P Guzman,
Goodman,7/29/2023,22,9:30 p.m.,87,,4,93,,P Guzman,
Goodman,7/29/2023,23,10:30 p.m.,85,,2,89,,P Guzman,
Goodman,7/29/2023,24,11:30 p.m.,83,,2,87,,P Guzman,
Goodman,7/30/2023,1,12:30 a.m.,81,,3,84,,Guzman,
Goodman,7/30/2023,2,1:30 a.m.,79,,2,81,,Guzman,
Goodman,7/30/2023,3,2:30 a.m.,79,,2,81,,Guzman,
Goodman,7/30/2023,4,3:30 a.m.,83,,0,75,,Alford,
Goodman,7/30/2023,5,4:30 a.m.,84,,0,73,,Alford,
Goodman,7/30/2023,6,5:30 a.m.,80,,0,72,,Alford,
Goodman,7/30/2023,7,6:30 a.m.,73,,0,71,,Evans,
Goodman,7/30/2023,8,7:30 a.m.,75,,0,74,,Evans,
Goodman,7/30/2023,9,8:30 a.m.,83,,2,88,,Evans,
Goodman,7/30/2023,10,9:30 a.m.,91,,5,97,,Evans,
Goodman,7/30/2023,11,10:30 a.m.,93,,7,100,,Evans,
Goodman,7/30/2023,12,11:30 a.m.,91,,4,105,,Evans,
Goodman,7/30/2023,13,12:30 p.m.,100,,3,109,,Evans,
Goodman,7/30/2023,14,1:30 p.m.,101,,2,108,,Evans,
Goodman,7/30/2023,15,2:30 p.m.,102,,9,108,,Marhsall,
Goodman,7/30/2023,16,3:30 p.m.,104,,4,110,,Marhsall,
Goodman,7/30/2023,17,4:30 p.m.,107,,6,114,,Marhsall,
Goodman,7/30/2023,18,5:30 p.m.,104,,2,109,,Marhsall,
Goodman,7/30/2023,19,6:30 p.m.,103,,2,109,,Marhsall,
Goodman,7/30/2023,20,7:30 p.m.,99,,2,104,,Marhsall,
Goodman,7/30/2023,21,8:30 p.m.,93,,2,101,,Marhsall,
Goodman,7/30/2023,22,9:30 p.m.,90,,5,97,,Marhsall,
Goodman,7/30/2023,23,10:30 p.m.,87,,5,93,,Guzman,
Goodman,7/30/2023,24,11:30 p.m.,84,,4,88,,Guzman,
Goodman,7/31/2023,1,12:30 a.m.,80,,2,83,,P Guzman,
Goodman,7/31/2023,2,1:30 a.m.,82,,2,85,,P Guzman,
Goodman,7/31/2023,3,2:30 a.m.,79,,0,81,,E Jones,
Goodman,7/31/2023,4,3:30 a.m.,79,,0,81,,E Jones,
Goodman,7/31/2023,5,4:30 a.m.,78,,3,80,,E Jones,
Goodman,7/31/2023,6,5:30 a.m.,77,,0,78,,E Jones,
Goodman,7/31/2023,7,6:30 a.m.,76,,2,76,,Samuel,
Goodman,7/31/2023,8,7:30 a.m.,78,,1,80,,Samuel,
Goodman,7/31/2023,9,8:30 a.m.,78,,1,80,,Samuel,
Goodman,7/31/2023,10,9:30 a.m.,93,,5,99,,Samuel,
Goodman,7/31/2023,11,10:30 a.m.,93,,5,99,,Samuel,
Goodman,7/31/2023,12,11:30 a.m.,96,,5,104,,Samuel,
Goodman,7/31/2023,13,12:30 p.m.,98,,5,108,,Samuel,
Goodman,7/31/2023,14,1:30 p.m.,104,,5,115,,Marshall,
Goodman,7/31/2023,15,2:30 p.m.,102,,7,113,,Marshall,
Goodman,7/31/2023,16,3:30 p.m.,106,,6,117,,Marshall,
Goodman,7/31/2023,17,4:30 p.m.,104,,3,112,,Marshall,
Goodman,7/31/2023,18,5:30 p.m.,104,,2,111,,Marshall,
Goodman,7/31/2023,19,6:30 p.m.,89,,12,94,,Marshall,
Goodman,7/31/2023,20,7:30 p.m.,77,,2,78,,Marshall,
Goodman,7/31/2023,21,8:30 p.m.,77,,2,78,,Marshall,
Goodman,7/31/2023,22,9:30 p.m.,77,,2,78,,Courtney,
Goodman,7/31/2023,23,10:30 p.m.,77,,0,78,,Courtney,
Goodman,7/31/2023,24,11:30 p.m.,77,,2,78,,Courtney,
