unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Goree,7/24/2023,1,12:30 a.m.,85,57,,87,1,Chantlos,
Goree,7/24/2023,2,1:30 a.m.,82,67,,85,1,Chantlos,
Goree,7/24/2023,3,2:30 a.m.,81,67,,83,1,Chantlos,
Goree,7/24/2023,4,3:30 a.m.,79,74,,N/A,,Chantlos,
Goree,7/24/2023,5,4:30 a.m.,77,75,,N/A,,Chantlos,
Goree,7/24/2023,6,5:30 a.m.,77,75,,N/A,,Chantlos,
Goree,7/24/2023,7,6:30 a.m.,77,74,,N/A,,Guartamber,temp corrected
Goree,7/24/2023,8,7:30 a.m.,82,75,,88,1,C Guartamber,
Goree,7/24/2023,9,8:30 a.m.,88,74,,86,1,C Guartamber,
Goree,7/24/2023,10,9:30 a.m.,86,72,,95,2,C Guartamber,
Goree,7/24/2023,11,10:30 a.m.,89,67,,98,2,C Guartamber,
Goree,7/24/2023,12,11:30 a.m.,90,62,,100,2,C Guartamber,
Goree,7/24/2023,13,12:30 p.m.,94,56,,106,3,C Guartamber,
Goree,7/24/2023,14,1:30 p.m.,97,44,,101,2,C Guartamber,
Goree,7/24/2023,15,2:30 p.m.,99,40,,106,3,King,
Goree,7/24/2023,16,3:30 p.m.,100,36,,N/A,3,King,
Goree,7/24/2023,17,4:30 p.m.,101,34,,N/A,3,King,
Goree,7/24/2023,18,5:30 p.m.,99,35,,N/A,3,King,
Goree,7/24/2023,19,6:30 p.m.,101,33,,N/A,3,King,
Goree,7/24/2023,20,7:30 p.m.,99,33,,N/A,3,King,
Goree,7/24/2023,21,8:30 p.m.,94,40,,97,2,King,
Goree,7/24/2023,22,9:30 p.m.,92,45,,96,2,King,
Goree,7/24/2023,23,10:30 p.m.,88,58,,94,2,Chantlos,
Goree,7/24/2023,24,11:30 p.m.,86,63,,92,2,Chantlos,
Goree,7/25/2023,1,12:30 a.m.,85,65,,91,2,Chantlos,
Goree,7/25/2023,2,1:30 a.m.,84,68,,89,1,Chantlos,
Goree,7/25/2023,3,2:30 a.m.,82,74,,87,1,Chantlos,
Goree,7/25/2023,4,3:30 a.m.,82,77,,88,1,Chantlos,
Goree,7/25/2023,5,4:30 a.m.,82,77,,88,1,Chantlos,
Goree,7/25/2023,6,5:30 a.m.,82,77,,88,1,Chantlos,
Goree,7/25/2023,7,6:30 a.m.,81,79,,85,1,Holley,
Goree,7/25/2023,8,7:30 a.m.,82,80,,89,1,Holley,
Goree,7/25/2023,9,8:30 a.m.,84,78,,94,2,Holley,
Goree,7/25/2023,10,9:30 a.m.,86,73,,97,2,Holley,
Goree,7/25/2023,11,10:30 a.m.,89,66,,99,2,Holley,
Goree,7/25/2023,12,11:30 a.m.,92,59,,105,3,Holley,
Goree,7/25/2023,13,12:30 p.m.,94,55,,106,3,Holley,
Goree,7/25/2023,14,1:30 p.m.,96,50,,108,3,Holley,
Goree,7/25/2023,15,2:30 p.m.,99,44,,108,3,King,
Goree,7/25/2023,16,3:30 p.m.,100,40,,109,3,King,
Goree,7/25/2023,17,4:30 p.m.,102,40,,114,3,King,hi_wc legibility
Goree,7/25/2023,18,5:30 p.m.,102,40,,114,3,King,
Goree,7/25/2023,19,6:30 p.m.,101,40,,112,3,King,
Goree,7/25/2023,20,7:30 p.m.,98,40,,105,3,King,
Goree,7/25/2023,21,8:30 p.m.,94,43,,98,2,King,
Goree,7/25/2023,22,9:30 p.m.,92,45,,96,2,King,
Goree,7/25/2023,23,10:30 p.m.,89,53,,94,2,Chantlos,
