unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Huntsville,7/24/2023,1,12:30 a.m.,83,67,3,73,,Rodriguez,
Huntsville,7/24/2023,2,1:30 a.m.,82,65,2,73,,Rodriguez,
Huntsville,7/24/2023,3,2:30 a.m.,81,65,0,71,,Rodriguez,
Huntsville,7/24/2023,4,3:30 a.m.,81,67,2,72,,Rodriguez,
Huntsville,7/24/2023,5,4:30 a.m.,80,68,0,71,,Rodriguez,
Huntsville,7/24/2023,6,5:30 a.m.,79,76,1,71,,Rodriguez,
Huntsville,7/24/2023,7,6:30 a.m.,82,74,0,87,1,Murphy,
Huntsville,7/24/2023,8,7:30 a.m.,83,75,2,90,1,Murphy,
Huntsville,7/24/2023,9,8:30 a.m.,83,72,7,90,1,Gumbrell,
Huntsville,7/24/2023,10,9:30 a.m.,86,69,3,95,2,Gumbrell,
Huntsville,7/24/2023,11,10:30 a.m.,90,61,0,100,2,Gumbrell,
Huntsville,7/24/2023,12,11:30 a.m.,91,57,3,100,2,Gumbrell,
Huntsville,7/24/2023,13,12:30 p.m.,92,53,3,100,2,Gumbrell,
Huntsville,7/24/2023,14,1:30 p.m.,96,44,3,103,2,Gumbrell,
Huntsville,7/24/2023,15,2:30 p.m.,100,36,5,106,3,Gumbrell,
Huntsville,7/24/2023,16,3:30 p.m.,101,32,3,106,3,Gumbrell,
Huntsville,7/24/2023,17,4:30 p.m.,102,32,3,106,3,O. Okeremgbo,
Huntsville,7/24/2023,18,5:30 p.m.,102,33,4,105,3,O. Okeremgbo,
Huntsville,7/24/2023,19,6:30 p.m.,101,31,6,105,3,O. Okeremgbo,
Huntsville,7/24/2023,20,7:30 p.m.,99,41,3,100,2,O. Okeremgbo,
Huntsville,7/24/2023,21,8:30 p.m.,90,55,2,97,2,O. Okeremgbo,
Huntsville,7/24/2023,22,9:30 p.m.,90,53,3,95,2,O. Okeremgbo,
Huntsville,7/24/2023,23,10:30 p.m.,88,64,3,97,2,O. Okeremgbo,
Huntsville,7/24/2023,24,11:30 p.m.,88,63,4,94,2,O. Okeremgbo,
Huntsville,7/25/2023,1,12:30 a.m.,86,71,3,95,2,O. Okeremgbo,
Huntsville,7/25/2023,2,1:30 a.m.,84,75,2,92,2,O. Okeremgbo,
Huntsville,7/25/2023,3,2:30 a.m.,84,77,1,99,2,O. Okeremgbo,
