unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Beto,7/24/2023,1,12:30 a.m.,79,60, ,NA, ,Magouirk, 
Beto,7/24/2023,2,1:30 a.m.,79,61, ,NA, ,Magouirk, 
Beto,7/24/2023,3,2:30 a.m.,76,69, ,NA, ,Magouirk, 
Beto,7/24/2023,4,3:30 a.m.,75,70, ,NA, ,Magouirk, 
Beto,7/24/2023,5,4:30 a.m.,74,71, ,NA, ,Magouirk, 
Beto,7/24/2023,6,5:30 a.m.,74,69, ,NA, ,Magouirk, 
Beto,7/24/2023,7,6:30 a.m.,72,73, ,NA, ,Lempka, 
Beto,7/24/2023,8,7:30 a.m.,73,75, ,NA, ,Lempka, 
Beto,7/24/2023,9,8:30 a.m.,79,69, ,NA, ,Lempka, 
Beto,7/24/2023,10,9:30 a.m.,84,65, ,88,1,Lempka, 
Beto,7/24/2023,11,10:30 a.m.,88,60, ,95,2,Lempka, 
Beto,7/24/2023,12,11:30 a.m.,91,57, ,100,2,Lempka, 
Beto,7/24/2023,13,12:30 p.m.,94,47, ,101,2,Lempka, 
Beto,7/24/2023,14,1:30 p.m.,98,42, ,106,3,Lempka, 
Beto,7/24/2023,15,2:30 p.m.,100,38, ,108,3,Lempka, 
Beto,7/24/2023,16,3:30 p.m.,101,33, ,106,3,Lempka, 
Beto,7/24/2023,17,4:30 p.m.,101,32, ,106,3,Lempka, 
Beto,7/24/2023,18,5:30 p.m.,103,31, ,109,3,Lempka, 
Beto,7/24/2023,19,6:30 p.m.,101,32, ,106,3,Magouirk, 
Beto,7/24/2023,20,7:30 p.m.,100,32, ,103,3,Magouirk, 
Beto,7/24/2023,21,8:30 p.m.,93,40, ,95,2,Magouirk, 
Beto,7/24/2023,22,9:30 p.m.,89,44, ,91,2,Magouirk, 
Beto,7/24/2023,23,10:30 p.m.,87,48, ,89,1,Magouirk, 
Beto,7/24/2023,24,11:30 p.m.,83,53, ,85,1,Magouirk, 
Beto,7/25/2023,1,12:30 a.m.,83,54, ,85,1,Magouirk, 
Beto,7/25/2023,2,1:30 a.m.,82,61, ,85,1,Magouirk, 
Beto,7/25/2023,3,2:30 a.m.,82,61, ,85,1,Magouirk, 
Beto,7/25/2023,4,3:30 a.m.,80,72, ,84,1,Magouirk, 
Beto,7/25/2023,5,4:30 a.m.,78,77, ,NA, ,Magouirk, 
Beto,7/25/2023,6,5:30 a.m.,78,81, ,NA, ,Magouirk, 
Beto,7/25/2023,7,6:30 a.m.,77,86, ,NA, ,Lempka, 
Beto,7/25/2023,8,7:30 a.m.,79,86, ,NA, ,Lempka,humid legibility
Beto,7/25/2023,9,8:30 a.m.,81,83, ,86,1,Lempka, 
Beto,7/25/2023,10,9:30 a.m.,84,78, ,91,2,Lempka, 
Beto,7/25/2023,11,10:30 a.m.,88,66,7,97,2,Lempka, 
Beto,7/25/2023,12,11:30 a.m.,91,50,10,99,2,Lempka, 
Beto,7/25/2023,13,12:30 p.m.,94,52,5,104,3,Lempka,wind legibility
Beto,7/25/2023,14,1:30 p.m.,96,46,11,105,3,Lempka, 
Beto,7/25/2023,15,2:30 p.m.,96,44,7,104,3,Lempka, 
Beto,7/25/2023,16,3:30 p.m.,98,39,4,104,3,Lempka, 
Beto,7/25/2023,17,4:30 p.m.,100,38,4,107,3,Lempka,"temp corrected, hi_wc corrected"
Beto,7/25/2023,18,5:30 p.m.,100,37,2,107,3,Lempka, 
Beto,7/25/2023,19,6:30 p.m.,99,38,4,106,3,Goodson, 
Beto,7/25/2023,20,7:30 p.m.,96,41,3,101,3,Goodson, 
