unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Hodge,7/24/2023,1,12:30 a.m.,79,NA,,NA,,Babovec,
Hodge,7/24/2023,2,1:30 a.m.,78,NA,,NA,,Babovec,
Hodge,7/24/2023,3,2:30 a.m.,78,NA,,NA,,Babovec,
Hodge,7/24/2023,4,3:30 a.m.,77,NA,,NA,,Babovec,
Hodge,7/24/2023,5,4:30 a.m.,77,NA,,NA,,Babovec,
Hodge,7/24/2023,6,5:30 a.m.,76,NA,,NA,,Babovec,
Hodge,7/24/2023,7,6:30 a.m.,70,N/A,,N/A,,S. Ray,
Hodge,7/24/2023,8,7:30 a.m.,70,N/A,,N/A,,S. Ray,
Hodge,7/24/2023,9,8:30 a.m.,78,N/A,,N/A,,S. Ray,
Hodge,7/24/2023,10,9:30 a.m.,80,70,,83,,S. Ray,
Hodge,7/24/2023,11,10:30 a.m.,84,65,,89,,S. Ray,
Hodge,7/24/2023,12,11:30 a.m.,87,60,,93,,S. Ray,
Hodge,7/24/2023,13,12:30 p.m.,90,45,,93,,S. Ray,humid corrected
Hodge,7/24/2023,14,1:30 p.m.,93,35,,96,,S. Ray,
Hodge,7/24/2023,15,2:30 p.m.,93,35,,96,,S. Ray,
Hodge,7/24/2023,16,3:30 p.m.,93,35,,96,,S. Ray,
Hodge,7/24/2023,17,4:30 p.m.,97,46,,102,,S. Ray,humid corrected
Hodge,7/24/2023,18,5:30 p.m.,97,40,,102,,S. Ray,
Hodge,7/24/2023,19,6:30 p.m.,101,30,,104,,K Babovec,person included initial here
Hodge,7/24/2023,20,7:30 p.m.,100,30,,104,,K Babovec,person included initial here
Hodge,7/24/2023,21,8:30 p.m.,88,40,,88,,K Babovec,person included initial here
Hodge,7/24/2023,22,9:30 p.m.,85,41,,85,,K Babovec,person included initial here
Hodge,7/24/2023,23,10:30 p.m.,85,42,,85,,Babovec,
Hodge,7/24/2023,24,11:30 p.m.,85,42,,85,,Babovec,
Hodge,7/25/2023,1,12:30 a.m.,81,57, ,83,,Babovec,
Hodge,7/25/2023,2,1:30 a.m.,79,NA, ,NA,,Babovec,
Hodge,7/25/2023,3,2:30 a.m.,78,NA, ,NA,,Babovec,
Hodge,7/25/2023,4,3:30 a.m.,77,NA, ,NA,,Babovec,
Hodge,7/25/2023,5,4:30 a.m.,77,NA,,NA,,Babovec,
Hodge,7/25/2023,6,5:30 a.m.,76,NA,,NA,,Babovec,
Hodge,7/25/2023,7,6:30 a.m.,75,N/A,,N/A,,S. Ray,
Hodge,7/25/2023,8,7:30 a.m.,75,N/A,,N/A,,S. Ray,
Hodge,7/25/2023,9,8:30 a.m.,78,N/A,,N/A,,S. Ray,
Hodge,7/25/2023,10,9:30 a.m.,81,75,,85,,S. Ray,
Hodge,7/25/2023,11,10:30 a.m.,87,60,,93,,S. Ray,
Hodge,7/25/2023,12,11:30 a.m.,90,50,,95,,S. Ray,
Hodge,7/25/2023,13,12:30 p.m.,93,40,,95,,S. Ray,
Hodge,7/25/2023,14,1:30 p.m.,94,40,,97,,S. Ray,
Hodge,7/25/2023,15,2:30 p.m.,94,40,,97,,S. Ray,
Hodge,7/25/2023,16,3:30 p.m.,95,40,,100,,S. Ray,
Hodge,7/25/2023,17,4:30 p.m.,97,35,,103,,S. Ray,
Hodge,7/25/2023,18,5:30 p.m.,97,35,,103,,S. Ray,
Hodge,7/25/2023,19,6:30 p.m.,102,31,,107,,Babovec,
Hodge,7/25/2023,20,7:30 p.m.,100,35,,106,,Babovec,
Hodge,7/25/2023,21,8:30 p.m.,93,44,,97,,Babovec,
Hodge,7/25/2023,22,9:30 p.m.,89,46,,91,,Babovec,
Hodge,7/25/2023,23,10:30 p.m.,87,50,,90,,Babovec,
Hodge,7/25/2023,24,11:30 p.m.,86,53,,88,,Babovec,
Hodge,7/26/2023,1,12:30 a.m.,82,62,,85,,Ba,person shortened to Ba here
Hodge,7/26/2023,2,1:30 a.m.,80,68,,81,,Babovec,
Hodge,7/26/2023,3,2:30 a.m.,79,NA,,NA,,Babovec,
Hodge,7/26/2023,4,3:30 a.m.,77,NA,,NA,,Babovec,
Hodge,7/26/2023,5,4:30 a.m.,77,NA,,NA,,Babovec,
Hodge,7/26/2023,6,5:30 a.m.,76,NA,,NA,,Babovec,
Hodge,7/26/2023,7,6:30 a.m.,75,N/A,,N/A,,S. Ray,
Hodge,7/26/2023,8,7:30 a.m.,76,N/A,,N/A,,S. Ray,
Hodge,7/26/2023,9,8:30 a.m.,77,N/A,,N/A,,S. Ray,
Hodge,7/26/2023,10,9:30 a.m.,79,N/A,,N/A,,S. Ray,
Hodge,7/26/2023,11,10:30 a.m.,83,76,,90,,S. Ray,
Hodge,7/26/2023,12,11:30 a.m.,87,60,,93,,S. Ray,
Hodge,7/26/2023,13,12:30 p.m.,90,50,,95,,S. Ray,
Hodge,7/26/2023,14,1:30 p.m.,90,50,,95,,S. Ray,
Hodge,7/26/2023,15,2:30 p.m.,94,40,,97,,S. Ray,
Hodge,7/26/2023,16,3:30 p.m.,96,35,,103,,S. Ray,
Hodge,7/26/2023,17,4:30 p.m.,97,35,,103,,S. Ray,
Hodge,7/26/2023,18,5:30 p.m.,97,34,,103,,S. Ray,
Hodge,7/26/2023,19,6:30 p.m.,101,32,,106,,K Babovec,
Hodge,7/26/2023,20,7:30 p.m.,98,26,,101,,K Babovec,
Hodge,7/26/2023,21,8:30 p.m.,88,46,,90,,K Babovec,
Hodge,7/26/2023,22,9:30 p.m.,88,47,,90,,K Babovec,
Hodge,7/26/2023,23,10:30 p.m.,87,48,,88,,K Babovec,
Hodge,7/26/2023,24,11:30 p.m.,84,53,,86,,K Babovec,
Hodge,7/27/2023,1,12:30 a.m.,80,65,,83,,Babovec,
Hodge,7/27/2023,2,1:30 a.m.,80,70,,83,,Babovec,
Hodge,7/27/2023,3,2:30 a.m.,79,NA,,NA,,Babovec,
Hodge,7/27/2023,4,3:30 a.m.,78,NA,,NA,,Babovec,
Hodge,7/27/2023,5,4:30 a.m.,77,NA,,NA,,Babovec,
Hodge,7/27/2023,6,5:30 a.m.,76,NA,,NA,,Babovec,
Hodge,7/27/2023,7,6:30 a.m.,75,N/A,,N/A,,McDonald,
Hodge,7/27/2023,8,7:30 a.m.,79,N/A,,N/A,,McDonald,
Hodge,7/27/2023,9,8:30 a.m.,81,84,,87,,McDonald,
Hodge,7/27/2023,10,9:30 a.m.,83,76,,89,,McDonald,
Hodge,7/27/2023,11,10:30 a.m.,86,64,,92,,McDonald,
Hodge,7/27/2023,12,11:30 a.m.,90,50,,95,,McDonald,
Hodge,7/27/2023,13,12:30 p.m.,93,43,,98,,McDonald,hi_wc corrected
Hodge,7/27/2023,14,1:30 p.m.,94,44,,99,,McDonald,temp legibility
Hodge,7/27/2023,15,2:30 p.m.,97,38,,102,,McDonald,
Hodge,7/27/2023,16,3:30 p.m.,98,35,,102,,McDonald,
Hodge,7/27/2023,17,4:30 p.m.,98,33,,101,,McDonald,
Hodge,7/27/2023,18,5:30 p.m.,97,33,,100,,McDonald,
Hodge,7/27/2023,19,6:30 p.m.,100,33,,104,,Rios,
Hodge,7/27/2023,20,7:30 p.m.,98,36,,103,,Rios,
Hodge,7/27/2023,21,8:30 p.m.,91,44,,95,,Rios,
Hodge,7/27/2023,22,9:30 p.m.,89,43,,91,,Rios,
