unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Plane,7/24/2023,1,12:30 a.m.,79,88,,84,,C. Gray,
Plane,7/24/2023,2,1:30 a.m.,78,90,,82,,C. Gray,
Plane,7/24/2023,3,2:30 a.m.,77,92,,77,,C. Gray,
Plane,7/24/2023,4,3:30 a.m.,77,93,,77,,C. Gray,
Plane,7/24/2023,5,4:30 a.m.,76,92,,76,,C. Gray,
Plane,7/24/2023,6,5:30 a.m.,77,94,,77,,C. Gray,
Plane,7/24/2023,7,6:30 a.m.,77,97,,72,,Noel,
Plane,7/24/2023,8,7:30 a.m.,84.2,,1.8,95.9,,Noel,
Plane,7/24/2023,9,8:30 a.m.,84,,1.8,95.9,,Noel,
Plane,7/24/2023,10,9:30 a.m.,95,,4,115,,Noel,wind legibility
Plane,7/24/2023,11,10:30 a.m.,95,31,,109.7,,Noel,
Plane,7/24/2023,12,11:30 a.m.,97,,1.8,109,,Noel,
Plane,7/24/2023,13,12:30 p.m.,96,40,,111,,Noel,
Plane,7/24/2023,14,1:30 p.m.,100,22,,109,,Noel,
Plane,7/24/2023,15,2:30 p.m.,99.2,111,,112.1,,Noel,humid don't know what they were recording
Plane,7/24/2023,16,3:30 p.m.,104,,8.1,116,,Noel,
Plane,7/24/2023,17,4:30 p.m.,95,,6.5,107,,Noel,
Plane,7/24/2023,18,5:30 p.m.,98,,11,114,,Noel,
Plane,7/24/2023,19,6:30 p.m.,91,61,,105,,C. Gray,humid legibility
Plane,7/24/2023,20,7:30 p.m.,89,,10.3,102.6,,M. King,
Plane,7/24/2023,21,8:30 p.m.,85.1,,7.8,95.1,,M. King,
Plane,7/24/2023,22,9:30 p.m.,84.3,,8.3,93.6,,M. King,
Plane,7/24/2023,23,10:30 p.m.,82.4,,8.1,93.2,,M. King,
Plane,7/24/2023,24,11:30 p.m.,80.2,,7.9,90.3,,M. King,
Plane,7/25/2023,1,12:30 a.m.,80.6,,0.9,86.3,,M. King,hi_wc corrected
Plane,7/25/2023,2,1:30 a.m.,75.4,,0,80.2,,M. King,
Plane,7/25/2023,3,2:30 a.m.,73.8,,0,75.9,,M. King,
Plane,7/25/2023,4,3:30 a.m.,71.9,,0,76.1,,M. King,
Plane,7/25/2023,5,4:30 a.m.,71.2,,1.8,75.7,,M. King,
Plane,7/25/2023,6,5:30 a.m.,96,,8.5,104,,Noel,
Plane,7/25/2023,7,6:30 a.m.,96.9,,8.5,106.2,,Noel,
Plane,7/25/2023,8,7:30 a.m.,96.6,,7.6,105,,Noel,
Plane,7/25/2023,9,8:30 a.m.,96.6,,7.8,104.6,,Noel,
Plane,7/25/2023,10,9:30 a.m.,97.7,,9.8,105,,Noel,
Plane,7/25/2023,11,10:30 a.m.,97.8,,8.9,106,,Noel,
Plane,7/25/2023,12,11:30 a.m.,98,,5.6,113,,Noel,
Plane,7/25/2023,13,12:30 p.m.,98,,6.3,112,,Noel,person corrected
Plane,7/25/2023,14,1:30 p.m.,96,,4.9,106,,Noel,
Plane,7/25/2023,15,2:30 p.m.,98.7,,8.7,107,,Noel,
Plane,7/25/2023,16,3:30 p.m.,97,,12,105,,Noel,
Plane,7/25/2023,17,4:30 p.m.,95.1,,10.3,103.3,,Noel,
Plane,7/25/2023,18,5:30 p.m.,94.6,,8.7,102.5,,Noel,
Plane,7/25/2023,19,6:30 p.m.,90,55,,90,,K. Castro,
Plane,7/25/2023,20,7:30 p.m.,88,64,,88,,K. Castro,
Plane,7/25/2023,21,8:30 p.m.,85,72,,85,,K. Castro,
Plane,7/25/2023,22,9:30 p.m.,87,63,,87,,K. Castro,
Plane,7/25/2023,23,10:30 p.m.,81,81,,81,,K. Castro,
Plane,7/25/2023,24,11:30 p.m.,79,88,,79,,K. Castro,
Plane,7/26/2023,1,12:30 a.m.,80,,1.8,103,,Jones,
Plane,7/26/2023,2,1:30 a.m.,82,,2.2,98,,Jones,
Plane,7/26/2023,3,2:30 a.m.,82,,2,95,,Jones,wind legibility
Plane,7/26/2023,4,3:30 a.m.,84,,3.6,93,,Jones,wind legibility
Plane,7/26/2023,5,4:30 a.m.,86,,4.7,96,,Jones,
Plane,7/26/2023,6,5:30 a.m.,87,,19,98,,Jones,"wind corrected, wind legibility"
Plane,7/26/2023,7,6:30 a.m.,89,,18,103,,Noel,wind legibility (could be 1.8?)
Plane,7/26/2023,8,7:30 a.m.,91,,2.2,106,,Noel,
Plane,7/26/2023,9,8:30 a.m.,91,,2,104,,Jones,
Plane,7/26/2023,10,9:30 a.m.,91,,1.8,102.2,,Noel,
Plane,7/26/2023,11,10:30 a.m.,91,,1.8,103,,Noel,
Plane,7/26/2023,12,11:30 a.m.,99,,5.6,111,,Noel,
Plane,7/26/2023,13,12:30 p.m.,101,,5.6,114,,Noel,
Plane,7/26/2023,14,1:30 p.m.,103,,5.8,115,,Noel,
Plane,7/26/2023,15,2:30 p.m.,104,54,,110,,Thomas,
Plane,7/26/2023,16,3:30 p.m.,110,52,,100,,Thomas,temp corrected
Plane,7/26/2023,17,4:30 p.m.,99,51,,105,,Thomas,
Plane,7/26/2023,18,5:30 p.m.,96,50,,104,,Thomas,
Plane,7/26/2023,19,6:30 p.m.,94,49,,103,,CD,
Plane,7/26/2023,20,7:30 p.m.,88,64,,98,,CD,
Plane,7/26/2023,21,8:30 p.m.,86,70,,95,,CD,
Plane,7/26/2023,22,9:30 p.m.,84,75,,92,,CD,
Plane,7/26/2023,23,10:30 p.m.,81,83,,87,,CD,
