unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Ramsey,7/24/2023,1,12:30 a.m.,75,94,,N/A,,Dimkpa,
Ramsey,7/24/2023,2,1:30 a.m.,75,94,,N/A,,Dimkpa,
Ramsey,7/24/2023,3,2:30 a.m.,75,94,,N/A,,Dimkpa,
Ramsey,7/24/2023,4,3:30 a.m.,75,94,,N/A,,Dimkpa,
Ramsey,7/24/2023,5,4:30 a.m.,74,97,,N/A,,Dimkpa,
Ramsey,7/24/2023,6,5:30 a.m.,74,97,,N/A,,Dimkpa,
Ramsey,7/24/2023,7,6:30 a.m.,75,94,,N/A,,Dimkpa,
Ramsey,7/24/2023,8,7:30 a.m.,75,94,,N/A,,Oladejo,
Ramsey,7/24/2023,9,8:30 a.m.,79,90,,N/A,,Oladejo,
Ramsey,7/24/2023,10,9:30 a.m.,84,82,,95,,Oladejo,
Ramsey,7/24/2023,11,10:30 a.m.,85,82,,98,,Oladejo,
Ramsey,7/24/2023,12,11:30 a.m.,87,75,,100,,Oladejo,
Ramsey,7/24/2023,13,12:30 p.m.,86,70,,95,,Oladejo,
Ramsey,7/24/2023,14,1:30 p.m.,91,54,,99,,Oladejo,
Ramsey,7/24/2023,15,2:30 p.m.,93,54,,103,,Oladejo,"temp corrected, humid corrected, hi_wc corrected"
Ramsey,7/24/2023,16,3:30 p.m.,88,66,,98,,Oladejo,
Ramsey,7/24/2023,17,4:30 p.m.,92,60,,105,,Oladejo,
Ramsey,7/24/2023,18,5:30 p.m.,93,56,,105,,Oladejo,
Ramsey,7/24/2023,19,6:30 p.m.,91,61,,103,,Oladejo,
Ramsey,7/24/2023,20,7:30 p.m.,86,72,,96,,Dimkpa,
Ramsey,7/24/2023,21,8:30 p.m.,83,82,,92,,Dimkpa,
Ramsey,7/24/2023,22,9:30 p.m.,81,85,,87,,Dimkpa,
Ramsey,7/24/2023,23,10:30 p.m.,80,90,,86,,Dimkpa,
Ramsey,7/24/2023,24,11:30 p.m.,79,90,,N/A,,Dimkpa,
Ramsey,7/25/2023,1,12:30 a.m.,78,93,,N/A,,Dimkpa,
Ramsey,7/25/2023,2,1:30 a.m.,76,94,,N/A,,Dimkpa,
Ramsey,7/25/2023,3,2:30 a.m.,76,97,,N/A,,Dimkpa,
Ramsey,7/25/2023,4,3:30 a.m.,76,94,,N/A,,Dimkpa,
Ramsey,7/25/2023,5,4:30 a.m.,75,96,,N/A,,Dimkpa,
Ramsey,7/25/2023,6,5:30 a.m.,75,94,,N/A,,Dimkpa,
Ramsey,7/25/2023,7,6:30 a.m.,75,96,,N/A,,Dimkpa,
Ramsey,7/25/2023,8,7:30 a.m.,75,96,,N/A,,Oladejo,
Ramsey,7/25/2023,9,8:30 a.m.,79,94,,N/A,,Oladejo,
Ramsey,7/25/2023,10,9:30 a.m.,84,82,,95,,Oladejo,
Ramsey,7/25/2023,11,10:30 a.m.,89,63,,99,,Oladejo,
Ramsey,7/25/2023,12,11:30 a.m.,90,59,,99,,Oladejo,
Ramsey,7/25/2023,13,12:30 p.m.,91,56,,100,,Oladejo,
Ramsey,7/25/2023,14,1:30 p.m.,94,51,,104,,Oladejo,
Ramsey,7/25/2023,15,2:30 p.m.,94,51,,104,,Oladejo,
Ramsey,7/25/2023,16,3:30 p.m.,95,44,,101,,Oladejo,
Ramsey,7/25/2023,17,4:30 p.m.,95,44,,101,,Oladejo,
Ramsey,7/25/2023,18,5:30 p.m.,94,51,,104,,Oladejo,
Ramsey,7/25/2023,19,6:30 p.m.,92,54,,101,,Oladejo,
Ramsey,7/25/2023,20,7:30 p.m.,86,67,,94,,Dimkpa,
