unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Young,7/24/2023,1,12:30 a.m.,77.5,N/A,,N/A,,Obi,
Young,7/24/2023,2,1:30 a.m.,77.8,N/A,,N/A,,Obi,
Young,7/24/2023,3,2:30 a.m.,77.3,N/A,,N/A,,Obi,
Young,7/24/2023,4,3:30 a.m.,76.4,N/A,,N/A,,Obi,
Young,7/24/2023,5,4:30 a.m.,77.1,N/A,,N/A,,Obi,
Young,7/24/2023,6,5:30 a.m.,76.8,N/A,,N/A,,Obi,
Young,7/24/2023,7,6:30 a.m.,76.6,N/A,,N/A,,Museau,
Young,7/24/2023,8,7:30 a.m.,78.8,N/A,,N/A,,Museau,
Young,7/24/2023,9,8:30 a.m.,84.9,87,,99.6,,Museau,
Young,7/24/2023,10,9:30 a.m.,90.1,75,,108,,Museau,
Young,7/24/2023,11,10:30 a.m.,88.5,72,,102.1,,Rodriguez,
Young,7/24/2023,12,11:30 a.m.,94.4,63,,114.2,,Rodriguez,
Young,7/24/2023,13,12:30 p.m.,93.5,64,,113.3,,Rodriguez,
Young,7/24/2023,14,1:30 p.m.,96.6,59,,117,,Rodriguez,
Young,7/24/2023,15,2:30 p.m.,91.7,64,,106.1,,Davis,
Young,7/24/2023,16,3:30 p.m.,98.7,54,,117.8,,Davis,
Young,7/24/2023,17,4:30 p.m.,95,57,,110.7,,Davis,
Young,7/24/2023,18,5:30 p.m.,93.2,59,,107.1,,Davis,
Young,7/24/2023,19,6:30 p.m.,91,64,,104.4,,Herrera,
Young,7/24/2023,20,7:30 p.m.,86,74,,96.9,,Herrera,
Young,7/24/2023,21,8:30 p.m.,84.7,82,,95.1,,Herrera,
Young,7/24/2023,22,9:30 p.m.,89.6,83,,93.7,,Herrera,temp legibility
Young,7/24/2023,23,10:30 p.m.,82.2,86,,91.7,,S. Sadler,
Young,7/24/2023,24,11:30 p.m.,81.6,88,,90,,S. Sadler,
Young,7/25/2023,1,12:30 a.m.,80,92,,86.3,,Lee,
Young,7/25/2023,2,1:30 a.m.,79.5,93,,80,,S. Sadler,
Young,7/25/2023,3,2:30 a.m.,78.2,N/A,,N/A,,S. Sadler,
Young,7/25/2023,4,3:30 a.m.,78,N/A,,N/A,,S. Sadler,
Young,7/25/2023,5,4:30 a.m.,77.3,N/A,,N/A,,S. Sadler,
Young,7/25/2023,6,5:30 a.m.,76.2,N/A,,N/A,,S. Sadler,
Young,7/25/2023,7,6:30 a.m.,76.8,N/A,,N/A,,E. St. Julian,
Young,7/25/2023,8,7:30 a.m.,78.8,N/A,,N/A,,E. St. Julian,
Young,7/25/2023,9,8:30 a.m.,83.8,70,,97.1,,E. St. Julian,
Young,7/25/2023,10,9:30 a.m.,89,75,,106.3,,E. St. Julian,
Young,7/25/2023,11,10:30 a.m.,99.6,50,,117.3,,Ty Williams,
Young,7/25/2023,12,11:30 a.m.,98.9,50,,115.1,,Ty Williams,
Young,7/25/2023,13,12:30 p.m.,100.4,48,,118.3,,Ty Williams,
Young,7/25/2023,14,1:30 p.m.,98.4,48,,112.2,,Ty Williams,
Young,7/25/2023,15,2:30 p.m.,97.5,53,,111.7,,C. Thomas,
Young,7/25/2023,16,3:30 p.m.,96.4,57,,114.6,,JaWilliams,person legibility
Young,7/25/2023,17,4:30 p.m.,92.3,56,,108.9,,JaWilliams,person legibility
Young,7/25/2023,18,5:30 p.m.,92.8,59,,106.1,,C. Thomas,
Young,7/25/2023,19,6:30 p.m.,90.6,64,,104,,C. Thomas,
Young,7/25/2023,20,7:30 p.m.,82.7,81,,91.2,,C. Thomas,
Young,7/25/2023,21,8:30 p.m.,82.9,84,,88.3,,S. Washington,
Young,7/25/2023,22,9:30 p.m.,81.5,85,,88.7,,S. Washington,
