unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Briscoe,7/24/2023,1,12:30 a.m.,89,53,,94,,R. Padilla,
Briscoe,7/24/2023,2,1:30 a.m.,83,58,,91,,R. Padilla,
Briscoe,7/24/2023,3,2:30 a.m.,81,62,,92,,R. Padilla,
Briscoe,7/24/2023,4,3:30 a.m.,83,68,,88,,R. Padilla,
Briscoe,7/24/2023,5,4:30 a.m.,83,64,,86,,R. Padilla,
Briscoe,7/24/2023,6,5:30 a.m.,77,66,,84,,R. Padilla,temp corrected
Briscoe,7/24/2023,7,6:30 a.m.,77,86,,76,,Walker,"humid corrected, hi_wc corrected, person corrected"
Briscoe,7/24/2023,8,7:30 a.m.,78,76,,79,,Walker,"temp corrected, humid corrected, hi_wc corrected, person corrected"
Briscoe,7/24/2023,9,8:30 a.m.,81,74,,84,,Walker,"hi_wc corrected, person corrected"
Briscoe,7/24/2023,10,9:30 a.m.,85,64,,92,,Walker,"humid corrected, hi_wc corrected, person corrected"
Briscoe,7/24/2023,11,10:30 a.m.,89,60,,95,,Walker,"hi_wc corrected, person corrected"
Briscoe,7/24/2023,12,11:30 a.m.,92,51,,99,,Walker,"humid corrected, hi_wc corrected, person corrected"
Briscoe,7/24/2023,13,12:30 p.m.,95,45,,102,,Walker,"temp corrected, hi_wc corrected, person corrected"
Briscoe,7/24/2023,14,1:30 p.m.,97,40,,103,,Walker,"temp corrected, humid corrected, hi_wc corrected, person corrected"
Briscoe,7/24/2023,15,2:30 p.m.,102,33,,108,,Walker,"temp corrected, hi_wc corrected, person corrected"
Briscoe,7/24/2023,16,3:30 p.m.,104,32,,110,,Walker,"temp corrected, humid corrected, person corrected"
Briscoe,7/24/2023,17,4:30 p.m.,104,30,,118,,Walker,"temp corrected, humid corrected, person corrected"
Briscoe,7/24/2023,18,5:30 p.m.,104,30,,108,,Walker,person corrected
Briscoe,7/24/2023,19,6:30 p.m.,104,31,,110,,Q. Balogun,
Briscoe,7/24/2023,20,7:30 p.m.,103,30,,107,,Q. Balogun,
Briscoe,7/24/2023,21,8:30 p.m.,103,30,,107,,Gonzalez J,
Briscoe,7/24/2023,22,9:30 p.m.,92,54,,100,,Q. Balogun,
Briscoe,7/24/2023,23,10:30 p.m.,89,62,,98,,Q. Balogun,
Briscoe,7/24/2023,24,11:30 p.m.,87,65,,95,,Q. Balogun,
Briscoe,7/25/2023,1,12:30 a.m.,85,69,,92,,Q. Balogun,
Briscoe,7/25/2023,2,1:30 a.m.,83,72,,88,,Q. Balogun,
Briscoe,7/25/2023,3,2:30 a.m.,81,76,,85,,Q. Balogun,
Briscoe,7/25/2023,4,3:30 a.m.,80,79,,84,,Q. Balogun,
Briscoe,7/25/2023,5,4:30 a.m.,79,82,,N/A,,Q. Balogun,
Briscoe,7/25/2023,6,5:30 a.m.,78,85,,N/A,,Q. Balogun,
Briscoe,7/25/2023,7,6:30 a.m.,77,88,,N/A,,Mensah,
Briscoe,7/25/2023,8,7:30 a.m.,77,88,,N/A,,Mensah,
Briscoe,7/25/2023,9,8:30 a.m.,87,68,0,96,,Mensah,wind legibility
Briscoe,7/25/2023,10,9:30 a.m.,85,61,,99,,Mensah,"temp legibility, hi_wc legibility"
Briscoe,7/25/2023,11,10:30 a.m.,89,61,,99,,Mensah,"humid legibility, hi_wc legibility"
Briscoe,7/25/2023,12,11:30 a.m.,98,45,,108,,Mensah,
Briscoe,7/25/2023,13,12:30 p.m.,102,38,,110,,Mensah,
Briscoe,7/25/2023,14,1:30 p.m.,104,35,,113,,Mensah,
Briscoe,7/25/2023,15,2:30 p.m.,107,32,,115,,Mensah,
Briscoe,7/25/2023,16,3:30 p.m.,105,32,,115,,Mensah,
Briscoe,7/25/2023,17,4:30 p.m.,105,33,,114,,Mensah,temp legibility
Briscoe,7/25/2023,18,5:30 p.m.,105,30,,115,,Mensah,person corrected
Briscoe,7/25/2023,19,6:30 p.m.,105,32,,113,,Q. Balogun,
Briscoe,7/25/2023,20,7:30 p.m.,100,36,,106,,Q. Balogun,
Briscoe,7/25/2023,21,8:30 p.m.,96,44,,103,,Q. Balogun,
Briscoe,7/25/2023,22,9:30 p.m.,93,51,,101,,Q. Balogun,hi_wc corrected
Briscoe,7/25/2023,23,10:30 p.m.,89,61,,97,,Q. Balogun,
Briscoe,7/25/2023,24,11:30 p.m.,87,65,,95,,Q. Balogun,
Briscoe,7/26/2023,1,12:30 a.m.,85,70,,92,,Albryiht a,person legibility
Briscoe,7/26/2023,2,1:30 a.m.,83,74,,89,,Q. Balogun,
Briscoe,7/26/2023,3,2:30 a.m.,82,77,,88,,Q. Balogun,
Briscoe,7/26/2023,4,3:30 a.m.,81,79,,86,,Q. Balogun,
Briscoe,7/26/2023,5,4:30 a.m.,80,81,,84,,Q. Balogun,
Briscoe,7/26/2023,6,5:30 a.m.,79,84,,N/A,,Q. Balogun,
Briscoe,7/26/2023,7,6:30 a.m.,78,87,,80,,Muniz L,
Briscoe,7/26/2023,8,7:30 a.m.,80,86,,85,,Muniz L,
Briscoe,7/26/2023,9,8:30 a.m.,85,73,,96,,Muniz L,
Briscoe,7/26/2023,10,9:30 a.m.,90,61,,100,,Muniz L,
Briscoe,7/26/2023,11,10:30 a.m.,93,52,,101,,Muniz L,
Briscoe,7/26/2023,12,11:30 a.m.,98,39,,104,,Muniz L,
Briscoe,7/26/2023,13,12:30 p.m.,103,29,,106,,Muniz L,
Briscoe,7/26/2023,14,1:30 p.m.,103,27,,105,,Muniz L,
Briscoe,7/26/2023,15,2:30 p.m.,106,24,,108,,Muniz L,
Briscoe,7/26/2023,16,3:30 p.m.,108,23,,111,,Muniz L,
Briscoe,7/26/2023,17,4:30 p.m.,107,22,,108,,Muniz L,
Briscoe,7/26/2023,18,5:30 p.m.,107,22,,108,,Muniz L,
Briscoe,7/26/2023,19,6:30 p.m.,106,22,,107,,Q. Balogun,
Briscoe,7/26/2023,20,7:30 p.m.,107,26,,101,,Q. Balogun,temp legibility
Briscoe,7/26/2023,21,8:30 p.m.,97,28,,96,,Q. Balogun,
Briscoe,7/26/2023,22,9:30 p.m.,93,47,,98,,Tovar,hi_wc corrected
Briscoe,7/26/2023,23,10:30 p.m.,88,53,,92,,Q. Balogun,
Briscoe,7/26/2023,24,11:30 p.m.,86,58,,90,,Q. Balogun,
Briscoe,7/27/2023,1,12:30 a.m.,84,66,,89,,Q. Balogun,
Briscoe,7/27/2023,2,1:30 a.m.,82,69,,86,,Q. Balogun,
Briscoe,7/27/2023,3,2:30 a.m.,80,74,,83,,Q. Balogun,
Briscoe,7/27/2023,4,3:30 a.m.,79,78,,N/A,,Q. Balogun,
