unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Connally,7/24/2023,1,12:30 a.m.,80,78,4,84,,Sanchez,"temp corrected, hi_wc corrected, person corrected"
Connally,7/24/2023,2,1:30 a.m.,79,79,4,N/A,,Sanchez,person corrected
Connally,7/24/2023,3,2:30 a.m.,79,84,2,N/A,,Sanchez,person corrected
Connally,7/24/2023,4,3:30 a.m.,78,88,3,N/A,,Sanchez,person corrected
Connally,7/24/2023,5,4:30 a.m.,77,88,2,N/A,,Sanchez,person corrected
Connally,7/24/2023,6,5:30 a.m.,77,90,0,N/A,,Sanchez,"temp corrected, person corrected"
Connally,7/24/2023,7,6:30 a.m.,77,94,1,N/A,,Rinehart,person legibility
Connally,7/24/2023,8,7:30 a.m.,77,95,1,N/A,,Rinehart,
Connally,7/24/2023,9,8:30 a.m.,83,90,0,93,,Rinehart,wind legibility
Connally,7/24/2023,10,9:30 a.m.,84,80,6,94,,Rinehart,
Connally,7/24/2023,11,10:30 a.m.,86,68,6,94,,Rinehart,
Connally,7/24/2023,12,11:30 a.m.,91,57,9,99,,Rinehart,humid legibility
Connally,7/24/2023,13,12:30 p.m.,94,52,1,102,,Rinehart,temp corrected
Connally,7/24/2023,14,1:30 p.m.,96,46,9,103,,Rinehart,
Connally,7/24/2023,15,2:30 p.m.,98,41,7,107,,Rinehart,
Connally,7/24/2023,16,3:30 p.m.,102,37,2,108,,Rinehart,hi_wc corrected
Connally,7/24/2023,17,4:30 p.m.,97,44,10,106,,Rinehart,
Connally,7/24/2023,18,5:30 p.m.,91,51,16,98,,Rinehart,humid legibility
Connally,7/24/2023,19,6:30 p.m.,90,54,17,97,,Sanchez,"temp corrected, person corrected"
Connally,7/24/2023,20,7:30 p.m.,90,55,15,98,,Sanchez,person corrected
Connally,7/24/2023,21,8:30 p.m.,87,63,12,95,,Sanchez,"hi_wc corrected, person corrected"
Connally,7/24/2023,22,9:30 p.m.,85,70,7,92,,Sanchez,"temp corrected, hi_wc corrected, person corrected"
Connally,7/24/2023,23,10:30 p.m.,83,76,8,90,,Sanchez,"temp corrected, hi_wc corrected, person corrected"
Connally,7/24/2023,24,11:30 p.m.,82,82,7,88,,Sanchez,"temp corrected, hi_wc corrected, person corrected"
Connally,7/25/2023,1,12:30 a.m.,80,85,5,86,,Sanchez,person corrected
Connally,7/25/2023,2,1:30 a.m.,79,88,4,N/A,,Sanchez,person corrected
Connally,7/25/2023,3,2:30 a.m.,78,94,4,N/A,,Sanchez,person corrected
Connally,7/25/2023,4,3:30 a.m.,77,92,3,N/A,,Sanchez,person corrected
Connally,7/25/2023,5,4:30 a.m.,76,94,2,N/A,,Sanchez,person corrected
Connally,7/25/2023,6,5:30 a.m.,76,95,2,N/A,,Sanchez,person corrected
Connally,7/25/2023,7,6:30 a.m.,76,96,4,N/A,,Rinehart,
Connally,7/25/2023,8,7:30 a.m.,76,96,2,N/A,,Rinehart,
Connally,7/25/2023,9,8:30 a.m.,79,93,7,N/A,,Rinehart,
Connally,7/25/2023,10,9:30 a.m.,84,76,8,91,,Rinehart,
Connally,7/25/2023,11,10:30 a.m.,87,65,5,96,,Rinehart,temp corrected
Connally,7/25/2023,12,11:30 a.m.,90,54,9,96,,Rinehart,
Connally,7/25/2023,13,12:30 p.m.,92,46,2,98,,Rinehart,
Connally,7/25/2023,14,1:30 p.m.,94,47,7,101,,Rinehart,
Connally,7/25/2023,15,2:30 p.m.,96,39,6,101,,Rinehart,
Connally,7/25/2023,16,3:30 p.m.,97,40,5,103,,Rinehart,
Connally,7/25/2023,17,4:30 p.m.,98,42,14,105,,Rinehart,
Connally,7/25/2023,18,5:30 p.m.,95,46,14,103,,Rinehart,
Connally,7/25/2023,19,6:30 p.m.,96,48,17,102,,Sanchez,"temp corrected, hi_wc corrected, person corrected"
Connally,7/25/2023,20,7:30 p.m.,92,52,12,100,,Sanchez,person corrected
Connally,7/25/2023,21,8:30 p.m.,89,56,13,95,,Sanchez,"temp corrected, person corrected"
Connally,7/25/2023,22,9:30 p.m.,86,68,13,94,,Sanchez,"temp corrected, person corrected"
Connally,7/25/2023,23,10:30 p.m.,83,73,11,90,,Sanchez,"temp corrected, person corrected"
Connally,7/25/2023,24,11:30 p.m.,82,77,9,88,,Sanchez,person corrected
Connally,7/26/2023,1,12:30 a.m.,81,81,9,86,,Sanchez,"temp corrected, hi_wc corrected, person corrected"
Connally,7/26/2023,2,1:30 a.m.,80,84,5,85,,Sanchez,"hi_wc corrected, person corrected"
Connally,7/26/2023,3,2:30 a.m.,79,86,6,N/A,,Sanchez,person corrected
Connally,7/26/2023,4,3:30 a.m.,79,88,6,N/A,,Sanchez,person corrected
Connally,7/26/2023,5,4:30 a.m.,79,91,5,N/A,,Sanchez,person corrected
Connally,7/26/2023,6,5:30 a.m.,78,93,6,N/A,,Sanchez,person corrected
Connally,7/26/2023,7,6:30 a.m.,78,93,3,N/A,,Rinehart,
Connally,7/26/2023,8,7:30 a.m.,78,94,2,N/A,,Rinehart,temp corrected
Connally,7/26/2023,9,8:30 a.m.,80,90,3,87,,Rinehart,
Connally,7/26/2023,10,9:30 a.m.,85,74,8,94,,Rinehart,
Connally,7/26/2023,11,10:30 a.m.,89,63,8,98,,Rinehart,
Connally,7/26/2023,12,11:30 a.m.,92,52,6,99,,Rinehart,
Connally,7/26/2023,13,12:30 p.m.,94,44,10,99,,Rinehart,
Connally,7/26/2023,14,1:30 p.m.,97,38,7,101,,Rinehart,
Connally,7/26/2023,15,2:30 p.m.,98,33,8,100,,Rinehart,
Connally,7/26/2023,16,3:30 p.m.,100,30,7,103,,Rinehart,
Connally,7/26/2023,17,4:30 p.m.,100,33,12,103,,Rinehart,
Connally,7/26/2023,18,5:30 p.m.,96,39,15,102,,Rinehart,
Connally,7/26/2023,19,6:30 p.m.,96,30,17,99,,Sanchez,"humid legibility, hi_wc corrected, person corrected"
Connally,7/26/2023,20,7:30 p.m.,93,44,14,97,,Sanchez,person corrected
Connally,7/26/2023,21,8:30 p.m.,88,58,14,94,,Sanchez,"hi_wc corrected, person corrected"
Connally,7/26/2023,22,9:30 p.m.,85,70,12,92,,Sanchez,"temp corrected, person corrected"
Connally,7/26/2023,23,10:30 p.m.,82,78,12,89,,Sanchez,"temp corrected, hi_wc corrected, person corrected"
Connally,7/26/2023,24,11:30 p.m.,81,83,10,87,,Sanchez,"temp corrected, person corrected"
Connally,7/27/2023,1,12:30 a.m.,80,86,7,85,,Sanchez,"temp corrected, hi_wc corrected, person corrected"
Connally,7/27/2023,2,1:30 a.m.,79,87,7,N/A,,Sanchez,"temp corrected, person corrected"
Connally,7/27/2023,3,2:30 a.m.,79,88,6,N/A,,Sanchez,person corrected
Connally,7/27/2023,4,3:30 a.m.,79,88,6,N/A,,Sanchez,person corrected
Connally,7/27/2023,5,4:30 a.m.,77,90,3,N/A,,Sanchez,person corrected
Connally,7/27/2023,6,5:30 a.m.,76,92,3,N/A,,Sanchez,person corrected
Connally,7/27/2023,7,6:30 a.m.,75,95,2,N/A,,R Denwood,
Connally,7/27/2023,8,7:30 a.m.,75,95,2,N/A,,R Denwood,
Connally,7/27/2023,9,8:30 a.m.,79,86,4,N/A,,R Denwood,
Connally,7/27/2023,10,9:30 a.m.,83,77,10,90,,R Denwood,temp corrected
Connally,7/27/2023,11,10:30 a.m.,87,65,5,95,,R Denwood,
Connally,7/27/2023,12,11:30 a.m.,89,55,9,96,,R Denwood,
Connally,7/27/2023,13,12:30 p.m.,92,48,11,98,,R Denwood,
Connally,7/27/2023,14,1:30 p.m.,96,40,11,100,,R Denwood,temp corrected
Connally,7/27/2023,15,2:30 p.m.,96,37,10,99,,R Denwood,temp corrected
Connally,7/27/2023,16,3:30 p.m.,97,34,9,99,,R Denwood,
Connally,7/27/2023,17,4:30 p.m.,97,35,11,99,,R Denwood,
Connally,7/27/2023,18,5:30 p.m.,96,37,14,99,,R Denwood,temp corrected
Connally,7/27/2023,19,6:30 p.m.,96,36,17,98,,Barbosa J,
Connally,7/27/2023,20,7:30 p.m.,92,45,15,96,,Barbosa J,
Connally,7/27/2023,21,8:30 p.m.,88,58,13,93,,Barbosa J,
Connally,7/27/2023,22,9:30 p.m.,84,70,12,91,,Barbosa J,
Connally,7/27/2023,23,10:30 p.m.,82,80,11,89,,Barbosa J,
Connally,7/27/2023,24,11:30 p.m.,81,84,9,87,,Barbosa J,humid legibility
Connally,7/28/2023,1,12:30 a.m.,80,88,7,85,,Barbosa J,
Connally,7/28/2023,2,1:30 a.m.,79,89,5,N/A,,Barbosa J,
Connally,7/28/2023,3,2:30 a.m.,78,91,6,N/A,,Barbosa J,
Connally,7/28/2023,4,3:30 a.m.,76,94,4,N/A,,Barbosa J,
Connally,7/28/2023,5,4:30 a.m.,77,93,3,N/A,,Barbosa J,
Connally,7/28/2023,6,5:30 a.m.,76,94,3,N/A,,Barbosa J,
Connally,7/28/2023,7,6:30 a.m.,75,95,3,N/A,,R Denwood,
Connally,7/28/2023,8,7:30 a.m.,75,95,4,N/A,,R Denwood,
Connally,7/28/2023,9,8:30 a.m.,79,90,4,N/A,,R Denwood,
Connally,7/28/2023,10,9:30 a.m.,83,77,4,90,,R Denwood,
Connally,7/28/2023,11,10:30 a.m.,87,64,7,94,,R Denwood,
Connally,7/28/2023,12,11:30 a.m.,89,55,4,95,,R Denwood,temp corrected
Connally,7/28/2023,13,12:30 p.m.,94,44,6,98,,R Denwood,hi_wc corrected
Connally,7/28/2023,14,1:30 p.m.,93,41,10,97,,R Denwood,
Connally,7/28/2023,15,2:30 p.m.,95,36,7,98,,R Denwood,
Connally,7/28/2023,16,3:30 p.m.,99,30,5,101,,R Denwood,
Connally,7/28/2023,17,4:30 p.m.,98,33,5,99,,R Denwood,
Connally,7/28/2023,18,5:30 p.m.,96,39,14,99,,R Denwood,
Connally,7/28/2023,19,6:30 p.m.,94,38,13,96,,S. Peña,
Connally,7/28/2023,20,7:30 p.m.,91,36,12,91,,S. Peña,
Connally,7/28/2023,21,8:30 p.m.,87,48,10,89,,S. Peña,temp corrected
Connally,7/28/2023,22,9:30 p.m.,84,59,13,87,,S. Peña,hi_wc legibility
Connally,7/28/2023,23,10:30 p.m.,82,72,9,87,,S. Peña,
Connally,7/28/2023,24,11:30 p.m.,81,74,8,85,,S. Peña,
Connally,7/29/2023,1,12:30 a.m.,80,80,6,N/A,,S. Peña,
Connally,7/29/2023,2,1:30 a.m.,79,83,5,N/A,,S. Peña,wind legibility
Connally,7/29/2023,3,2:30 a.m.,78,86,4,N/A,,S. Peña,
Connally,7/29/2023,4,3:30 a.m.,77,88,3,N/A,,S. Peña,
Connally,7/29/2023,5,4:30 a.m.,75,91,3,N/A,,S. Peña,
Connally,7/29/2023,6,5:30 a.m.,74,92,2,N/A,,S. Peña,
Connally,7/29/2023,7,6:30 a.m.,73,95,4,N/A,,R Denwood,
Connally,7/29/2023,8,7:30 a.m.,73,95,3,N/A,,R Denwood,
Connally,7/29/2023,9,8:30 a.m.,78,89,3,N/A,,R Denwood,
Connally,7/29/2023,10,9:30 a.m.,85,59,6,89,,R Denwood,
Connally,7/29/2023,11,10:30 a.m.,88,52,6,92,,R Denwood,temp corrected
Connally,7/29/2023,12,11:30 a.m.,89,49,9,92,,R Denwood,
Connally,7/29/2023,13,12:30 p.m.,92,46,8,97,,R Denwood,
Connally,7/29/2023,14,1:30 p.m.,94,42,7,98,,R Denwood,
Connally,7/29/2023,15,2:30 p.m.,96,38,7,99,,R Denwood,temp corrected
Connally,7/29/2023,16,3:30 p.m.,97,35,6,99,,R Denwood,
Connally,7/29/2023,17,4:30 p.m.,96,36,8,99,,R Denwood,
Connally,7/29/2023,18,5:30 p.m.,97,39,11,102,,R Denwood,
Connally,7/29/2023,19,6:30 p.m.,95,43,12,101,,S. Peña,
Connally,7/29/2023,20,7:30 p.m.,91,48,13,96,,S. Peña,
Connally,7/29/2023,21,8:30 p.m.,89,53,11,94,,S. Peña,
Connally,7/29/2023,22,9:30 p.m.,85,63,8,90,,S. Peña,
Connally,7/29/2023,23,10:30 p.m.,83,71,6,89,,S. Peña,
Connally,7/29/2023,24,11:30 p.m.,81,79,6,86,,S. Peña,
Connally,7/30/2023,1,12:30 a.m.,80,82,6,N/A,,S. Peña,
Connally,7/30/2023,2,1:30 a.m.,79,85,6,N/A,,S. Peña,
Connally,7/30/2023,3,2:30 a.m.,78,88,4,N/A,,S. Peña,
Connally,7/30/2023,4,3:30 a.m.,77,90,1,N/A,,S. Peña,
Connally,7/30/2023,5,4:30 a.m.,76,93,2,N/A,,S. Peña,
Connally,7/30/2023,6,5:30 a.m.,75,95,3,N/A,,S. Peña,
Connally,7/30/2023,7,6:30 a.m.,75,95,2,N/A,,Nieto J,
Connally,7/30/2023,8,7:30 a.m.,76,93,1,N/A,,Nieto J,
Connally,7/30/2023,9,8:30 a.m.,82,89,2,93,,Nieto J,
Connally,7/30/2023,10,9:30 a.m.,87,67,3,95,,Nieto J,
Connally,7/30/2023,11,10:30 a.m.,88,58,5,95,,Nieto J,
Connally,7/30/2023,12,11:30 a.m.,93,48,2,100,,Nieto J,
Connally,7/30/2023,13,12:30 p.m.,95,43,11,101,,Nieto J,
Connally,7/30/2023,14,1:30 p.m.,96,41,7,102,,Nieto J,
Connally,7/30/2023,15,2:30 p.m.,97,39,10,102,,Nieto J,
Connally,7/30/2023,16,3:30 p.m.,98,39,6,104,,Nieto J,
Connally,7/30/2023,17,4:30 p.m.,100,38,3,107,,Nieto J,
Connally,7/30/2023,18,5:30 p.m.,97,42,6,105,,Nieto J,
Connally,7/30/2023,19,6:30 p.m.,96,43,9,103,,Barbosa J,
Connally,7/30/2023,20,7:30 p.m.,93,50,14,101,,Barbosa J,
Connally,7/30/2023,21,8:30 p.m.,90,55,12,96,,Barbosa J,
Connally,7/30/2023,22,9:30 p.m.,86,64,8,93,,Barbosa J,humid legibility
Connally,7/30/2023,23,10:30 p.m.,84,74,8,92,,Barbosa J,temp corrected
Connally,7/30/2023,24,11:30 p.m.,83,78,9,90,,Barbosa J,temp corrected
Connally,7/31/2023,1,12:30 a.m.,82,83,8,89,,Barbosa J,person corrected
Connally,7/31/2023,2,1:30 a.m.,80,88,7,86,,Barbosa J,person corrected
Connally,7/31/2023,3,2:30 a.m.,80,89,6,86,,Barbosa J,person corrected
Connally,7/31/2023,4,3:30 a.m.,79,91,4,N/A,,Barbosa J,person corrected
Connally,7/31/2023,5,4:30 a.m.,79,92,3,N/A,,Barbosa J,person corrected
Connally,7/31/2023,6,5:30 a.m.,78,93,2,N/A,,Barbosa J,person corrected
Connally,7/31/2023,7,6:30 a.m.,78,94,2,N/A,,Barbosa J,person corrected
Connally,7/31/2023,8,7:30 a.m.,78,94,2,N/A,,Dueser,"temp corrected, person corrected"
Connally,7/31/2023,9,8:30 a.m.,81,90,2,90,,Dueser,person corrected
Connally,7/31/2023,10,9:30 a.m.,85,76,6,95,,Dueser,"temp corrected, person corrected"
Connally,7/31/2023,11,10:30 a.m.,90,63,6,100,,Dueser,"temp corrected, person corrected"
Connally,7/31/2023,12,11:30 a.m.,94,48,6,101,,Dueser,person corrected
Connally,7/31/2023,13,12:30 p.m.,96,45,3,105,,Dueser,"temp corrected, wind corrected, person corrected"
Connally,7/31/2023,14,1:30 p.m.,95,44,7,102,,Dueser,person corrected
Connally,7/31/2023,15,2:30 p.m.,99,38,11,106,,Dueser,"temp corrected, hi_wc corrected, person corrected"
Connally,7/31/2023,16,3:30 p.m.,100,38,8,107,,Dueser,"temp corrected, wind corrected, person corrected"
Connally,7/31/2023,17,4:30 p.m.,99,38,10,106,,Dueser,"temp corrected, hi_wc corrected, person corrected"
Connally,7/31/2023,18,5:30 p.m.,99,37,2,105,,Dueser,"temp corrected, person corrected"
Connally,7/31/2023,19,6:30 p.m.,99,38,7,106,,S. Peña,temp corrected
Connally,7/31/2023,20,7:30 p.m.,96,44,11,104,,S. Peña,temp corrected
Connally,7/31/2023,21,8:30 p.m.,91,49,11,96,,S. Peña,temp corrected
Connally,7/31/2023,22,9:30 p.m.,87,58,7,93,,S. Peña,
Connally,7/31/2023,23,10:30 p.m.,84,70,8,90,,S. Peña,
Connally,7/31/2023,24,11:30 p.m.,81,81,7,86,,S. Peña,
