unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Cotulla,7/24/2023,1,12:30 a.m.,89,53,,94,,Guzman,
Cotulla,7/24/2023,2,1:30 a.m.,88,N/A,,N/A,,Guzman,
Cotulla,7/24/2023,3,2:30 a.m.,86,72,,92,,Guzman,humid corrected
Cotulla,7/24/2023,4,3:30 a.m.,84,N/A,,N/A,,Guzman,
Cotulla,7/24/2023,5,4:30 a.m.,83,N/A,,N/A,,Guzman,
Cotulla,7/24/2023,6,5:30 a.m.,81,N/A,,N/A,,Guzman,
Cotulla,7/24/2023,7,6:30 a.m.,80,80,,80,,E DeLeon,
Cotulla,7/24/2023,8,7:30 a.m.,79,N/A,,N/A,,E DeLeon,
Cotulla,7/24/2023,9,8:30 a.m.,85,92,,92,,E DeLeon,
Cotulla,7/24/2023,10,9:30 a.m.,85,92,,92,,E DeLeon,
Cotulla,7/24/2023,11,10:30 a.m.,89,59,,97,,E DeLeon,
Cotulla,7/24/2023,12,11:30 a.m.,92,99,,99,,E DeLeon,
Cotulla,7/24/2023,13,12:30 p.m.,95,102,,102,,E DeLeon,
Cotulla,7/24/2023,14,1:30 p.m.,97,103,,103,,E DeLeon,
Cotulla,7/24/2023,15,2:30 p.m.,102,33,,108,,A. Hernandez,
Cotulla,7/24/2023,16,3:30 p.m.,103,31,,108,,A. Hernandez,hi_wc legibility
Cotulla,7/24/2023,17,4:30 p.m.,104,28,,108,,A. Hernandez,
Cotulla,7/24/2023,18,5:30 p.m.,105,26,,107,,A. Hernandez,
Cotulla,7/24/2023,19,6:30 p.m.,105,24,,107,,A. Hernandez,
Cotulla,7/24/2023,20,7:30 p.m.,105,23,,106,,A. Hernandez,
Cotulla,7/24/2023,21,8:30 p.m.,100,35,,105,,A. Hernandez,
Cotulla,7/24/2023,22,9:30 p.m.,96,42,,102,,A. Hernandez,"temp legibility, humid legibility"
Cotulla,7/24/2023,23,10:30 p.m.,94,45,,100,,A. Garza,
Cotulla,7/24/2023,24,11:30 p.m.,90,46,,93,,A. Garza,
Cotulla,7/25/2023,1,12:30 a.m.,79,N/A,,N/A,,A. Garza,
Cotulla,7/25/2023,2,1:30 a.m.,79,N/A,,N/A,,A. Garza,
Cotulla,7/25/2023,3,2:30 a.m.,79,N/A,,N/A,,A. Garza,
Cotulla,7/25/2023,4,3:30 a.m.,79,N/A,,N/A,,A. Garza,
Cotulla,7/25/2023,5,4:30 a.m.,79,N/A,,N/A,,A. Garza,
Cotulla,7/25/2023,6,5:30 a.m.,80,80,,80,,A. Garza,
Cotulla,7/25/2023,7,6:30 a.m.,80,80,,80,,E DeLeon,
Cotulla,7/25/2023,8,7:30 a.m.,79,N/A,,N/A,,E DeLeon,
Cotulla,7/25/2023,9,8:30 a.m.,81,81,,81,,E DeLeon,
Cotulla,7/25/2023,10,9:30 a.m.,85,91,,91,,E DeLeon,humid corrected
Cotulla,7/25/2023,11,10:30 a.m.,88,94,,94,,E DeLeon,
Cotulla,7/25/2023,12,11:30 a.m.,88,94,,94,,E DeLeon,
Cotulla,7/25/2023,13,12:30 p.m.,88,94,,94,,E DeLeon,humid corrected
Cotulla,7/25/2023,14,1:30 p.m.,98,102,,102,,E DeLeon,
Cotulla,7/25/2023,15,2:30 p.m.,100,N/A,,103,,G. Guzman,
Cotulla,7/25/2023,16,3:30 p.m.,103,29,,106,,G. Guzman,
Cotulla,7/25/2023,17,4:30 p.m.,102,29,,105,,Guzman,
Cotulla,7/25/2023,18,5:30 p.m.,102,29,,105,,Guzman,
Cotulla,7/25/2023,19,6:30 p.m.,104,25,,106,,Guzman,
Cotulla,7/25/2023,20,7:30 p.m.,103,26,,105,,Guzman,
Cotulla,7/25/2023,21,8:30 p.m.,101,21,,102,,Guzman,humid legibility
Cotulla,7/25/2023,22,9:30 p.m.,97,34,,99,,Guzman,
Cotulla,7/25/2023,23,10:30 p.m.,93,50,,101,,Guzman,
Cotulla,7/25/2023,24,11:30 p.m.,90,55,,97,,Guzman,
Cotulla,7/26/2023,1,12:30 a.m.,88,58,13,94,,Zambrano,"temp legibility, name legibility"
Cotulla,7/26/2023,2,1:30 a.m.,87,60,,93,,Guzman,
