unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Dominguez,7/24/2023,1,12:30 a.m.,81,75,,86,,Thibodaux,person legibility
Dominguez,7/24/2023,2,1:30 a.m.,80,79,,84,,Thibodaux,
Dominguez,7/24/2023,3,2:30 a.m.,80,78,,84,,Thibodaux,
Dominguez,7/24/2023,4,3:30 a.m.,79,81,,82,,Thibodaux,
Dominguez,7/24/2023,5,4:30 a.m.,78,84,,81,,Thibodaux,
Dominguez,7/24/2023,6,5:30 a.m.,77,85,,80,,Thibodaux,humid corrected
Dominguez,7/24/2023,7,6:30 a.m.,76,86,,79,,Thibodaux,
Dominguez,7/24/2023,8,7:30 a.m.,80,81,,84,,Hoel,"temp corrected, humid corrected, hi_wc corrected"
Dominguez,7/24/2023,9,8:30 a.m.,83,78,,90,,Hoel,hi_wc corrected
Dominguez,7/24/2023,10,9:30 a.m.,85,73,,94,,Hoel,humid corrected
Dominguez,7/24/2023,11,10:30 a.m.,87,69,,96,,Hoel,temp corrected
Dominguez,7/24/2023,12,11:30 a.m.,89,62,,99,,Hoel,"temp corrected, humid corrected"
Dominguez,7/24/2023,13,12:30 p.m.,93,52,,102,,Hoel,"temp corrected, humid corrected, hi_wc corrected"
Dominguez,7/24/2023,14,1:30 p.m.,95,47,,103,,Hoel,humid corrected
Dominguez,7/24/2023,15,2:30 p.m.,98,40,,104,,Hoel,"temp corrected, humid corrected"
Dominguez,7/24/2023,16,3:30 p.m.,98,37,,103,,Hoel,"humid corrected, hi_wc corrected"
Dominguez,7/24/2023,17,4:30 p.m.,99,33,,102,,Hoel,"humid corrected, hi_wc corrected"
Dominguez,7/24/2023,18,5:30 p.m.,100,31,,103,,Hoel,"temp corrected, humid corrected"
Dominguez,7/24/2023,19,6:30 p.m.,99,33,,103,,Hoel,"temp corrected, humid corrected"
Dominguez,7/24/2023,20,7:30 p.m.,98,32,,101,,Ramos,
Dominguez,7/24/2023,21,8:30 p.m.,93,49,,101,,Ramos,
Dominguez,7/24/2023,22,9:30 p.m.,89,47,,96,,Ramos,
Dominguez,7/24/2023,23,10:30 p.m.,86,48,,94,,Ramos,
Dominguez,7/24/2023,24,11:30 p.m.,86,47,,92,,Ramos,
Dominguez,7/25/2023,1,12:30 a.m.,83,47,,90,,Ramos,temp corrected
Dominguez,7/25/2023,2,1:30 a.m.,87,47,,86,,Ramos,"temp corrected, hi_wc corrected"
Dominguez,7/25/2023,3,2:30 a.m.,76,46,,82,,Ramos,hi_wc corrected
Dominguez,7/25/2023,4,3:30 a.m.,78,46,,82,,Ramos,"temp corrected, hi_wc corrected"
Dominguez,7/25/2023,5,4:30 a.m.,78,47,,81,,Ramos,"temp corrected, hi_wc corrected"
Dominguez,7/25/2023,6,5:30 a.m.,77,49,,80,,Ramos,hi_wc corrected
Dominguez,7/25/2023,7,6:30 a.m.,77,87,,80,,Hoel,hi_wc corrected
Dominguez,7/25/2023,8,7:30 a.m.,78,86,,82,,Hoel,hi_wc corrected
Dominguez,7/25/2023,9,8:30 a.m.,80,84,,86,,Hoel,
Dominguez,7/25/2023,10,9:30 a.m.,85,72,,95,,Hoel,humid corrected
Dominguez,7/25/2023,11,10:30 a.m.,87,66,,96,,Hoel,humid corrected
Dominguez,7/25/2023,12,11:30 a.m.,91,55,,100,,Hoel,humid corrected
Dominguez,7/25/2023,13,12:30 p.m.,93,50,,100,,Hoel,
Dominguez,7/25/2023,14,1:30 p.m.,95,41,,100,,Hoel,
Dominguez,7/25/2023,15,2:30 p.m.,96,38,,99,,Hoel,hi_wc corrected
Dominguez,7/25/2023,16,3:30 p.m.,97,35,,100,,Hoel,
Dominguez,7/25/2023,17,4:30 p.m.,99,35,,103,,Hoel,
Dominguez,7/25/2023,18,5:30 p.m.,98,33,,102,,Hoel,humid corrected
Dominguez,7/25/2023,19,6:30 p.m.,99,33,,102,,Hoel,"humid corrected, hi_wc corrected"
Dominguez,7/25/2023,20,7:30 p.m.,98,33,,101,,Mason,person legibllity
Dominguez,7/25/2023,21,8:30 p.m.,93,46,,98,,Mason,
Dominguez,7/25/2023,22,9:30 p.m.,92,48,,98,,Mason,temp corrected
Dominguez,7/25/2023,23,10:30 p.m.,87,66,,95,,Mason,temp corrected
Dominguez,7/25/2023,24,11:30 p.m.,83,75,,91,,Mason,person legibility
Dominguez,7/26/2023,1,12:30 a.m.,83,75,,91,,Mason,
Dominguez,7/26/2023,2,1:30 a.m.,81,77,,87,,Mason,
Dominguez,7/26/2023,3,2:30 a.m.,80,77,,86,,Mason,
Dominguez,7/26/2023,4,3:30 a.m.,80,80,,85,,Mason,humid corrected
Dominguez,7/26/2023,5,4:30 a.m.,79,82,,83,,Mason,
Dominguez,7/26/2023,6,5:30 a.m.,78,85,,83,,Mason,
Dominguez,7/26/2023,7,6:30 a.m.,78,87,,83,,Hoel,"temp corrected, humid corrected, hi_wc corrected"
Dominguez,7/26/2023,8,7:30 a.m.,79,87,,84,,Hoel,"temp corrected, humid corrected"
Dominguez,7/26/2023,9,8:30 a.m.,80,86,,87,,Hoel,"temp corrected, humid corrected"
Dominguez,7/26/2023,10,9:30 a.m.,85,74,,94,,Hoel,temp corrected
Dominguez,7/26/2023,11,10:30 a.m.,87,66,,96,,Hoel,"temp corrected, humid corrected"
Dominguez,7/26/2023,12,11:30 a.m.,91,56,,100,,Hoel,"temp corrected, hi_wc corrected"
Dominguez,7/26/2023,13,12:30 p.m.,93,47,,99,,Hoel,
Dominguez,7/26/2023,14,1:30 p.m.,96,38,,100,,Hoel,
Dominguez,7/26/2023,15,2:30 p.m.,98,35,,102,,Hoel,
Dominguez,7/26/2023,16,3:30 p.m.,99,32,,102,,Hoel,"temp corrected, hi_wc legibility"
Dominguez,7/26/2023,17,4:30 p.m.,101,28,,102,,Hoel,
Dominguez,7/26/2023,18,5:30 p.m.,100,25,,100,,Hoel,"temp corrected, hi_wc corrected"
Dominguez,7/26/2023,19,6:30 p.m.,100,25,,100,,Mason,
Dominguez,7/26/2023,20,7:30 p.m.,97,24,,100,,Mason,temp corrected
Dominguez,7/26/2023,21,8:30 p.m.,95,26,,99,,Mason,
Dominguez,7/26/2023,22,9:30 p.m.,94,30,,97,,Mason,hi_wc corrected
Dominguez,7/26/2023,23,10:30 p.m.,92,35,,95,,Mason,
Dominguez,7/26/2023,24,11:30 p.m.,90,40,,94,,Mason,
Dominguez,7/27/2023,1,12:30 a.m.,85,58,,89,,Mason,
Dominguez,7/27/2023,2,1:30 a.m.,80,60,,87,,Mason,
Dominguez,7/27/2023,3,2:30 a.m.,79,77,,83,,Mason,temp legibility
Dominguez,7/27/2023,4,3:30 a.m.,79,79,,82,,Mason,
Dominguez,7/27/2023,5,4:30 a.m.,78,80,,82,,Mason,
Dominguez,7/27/2023,6,5:30 a.m.,78,82,,81,,Mason,
Dominguez,7/27/2023,7,6:30 a.m.,79,82,,81,,Mason,
Dominguez,7/27/2023,8,7:30 a.m.,80,83,,85,,Garcia R,
Dominguez,7/27/2023,9,8:30 a.m.,84,73,,91,,Garcia R,
Dominguez,7/27/2023,10,9:30 a.m.,86,64,,92,,Garcia R,
Dominguez,7/27/2023,11,10:30 a.m.,89,60,,97,,Garcia,hi_wc corrected
Dominguez,7/27/2023,12,11:30 a.m.,90,50,,98,,Garcia,"temp corrected, humid corrected"
Dominguez,7/27/2023,13,12:30 p.m.,92,50,,98,,Garcia,"temp corrected, humid corrected"
Dominguez,7/27/2023,14,1:30 p.m.,94,42,,99,,Garcia,humid corrected
Dominguez,7/27/2023,15,2:30 p.m.,97,34,,100,,Garcia,
Dominguez,7/27/2023,16,3:30 p.m.,97,35,,100,,Garcia,
Dominguez,7/27/2023,17,4:30 p.m.,98,35,,101,,Garcia,temp corrected
Dominguez,7/27/2023,18,5:30 p.m.,99,30,,100,,Garcia,
Dominguez,7/27/2023,19,6:30 p.m.,99,31,,101,,Garcia,
Dominguez,7/27/2023,20,7:30 p.m.,98,43,,99,,Rohmer,person legibility
Dominguez,7/27/2023,21,8:30 p.m.,93,41,,94,,Rohmer,
Dominguez,7/27/2023,22,9:30 p.m.,92,41,,94,,Rohmer,hi_wc corrected
Dominguez,7/27/2023,23,10:30 p.m.,89,42,,91,,Rohmer,
Dominguez,7/27/2023,24,11:30 p.m.,86,43,,89,,Rohmer,"temp corrected, humid legibility, hi_wc corrected"
Dominguez,7/28/2023,1,12:30 a.m.,83,44,,88,,Rohmer,
Dominguez,7/28/2023,2,1:30 a.m.,81,44,,87,,Rohmer,
Dominguez,7/28/2023,3,2:30 a.m.,80,45,,85,,Rohmer,humid corrected
Dominguez,7/28/2023,4,3:30 a.m.,79,45,,83,,Rohmer,
Dominguez,7/28/2023,5,4:30 a.m.,78,44,,82,,Rohmer,
Dominguez,7/28/2023,6,5:30 a.m.,77,44,,80,,Rohmer,
