unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Glossbrenner,7/24/2023,1,12:30 a.m.,80,82,6,86,,Villarreal,person legibility
Glossbrenner,7/24/2023,2,1:30 a.m.,79,83,6,84,,Villarreal,
Glossbrenner,7/24/2023,3,2:30 a.m.,78,87,4,82,,Villarreal,
Glossbrenner,7/24/2023,4,3:30 a.m.,78,89,3,81,,Villarreal,hi_wc corrected
Glossbrenner,7/24/2023,5,4:30 a.m.,77,93,4,77,,Villarreal,
Glossbrenner,7/24/2023,6,5:30 a.m.,77,90,5,79,,Villarreal,
Glossbrenner,7/24/2023,7,6:30 a.m.,77,95,5,N/A,,Ramirez,hi_wc corrected
Glossbrenner,7/24/2023,8,7:30 a.m.,78,96,5,92,,Ramirez,
Glossbrenner,7/24/2023,9,8:30 a.m.,84,82,4,94,,Ramirez,
Glossbrenner,7/24/2023,10,9:30 a.m.,84,82,4,94,,Ramirez,
Glossbrenner,7/24/2023,11,10:30 a.m.,87,67,5,98,,Ramirez,
Glossbrenner,7/24/2023,12,11:30 a.m.,91,57,9,100,,Ramirez,
Glossbrenner,7/24/2023,13,12:30 p.m.,96,49,5,107,,Ramirez,humid legibility
Glossbrenner,7/24/2023,14,1:30 p.m.,96,49,6,106,,Ramirez,
Glossbrenner,7/24/2023,15,2:30 p.m.,96,49,7,106,,Ramirez,
Glossbrenner,7/24/2023,16,3:30 p.m.,95,44,10,101,,Ramirez,
Glossbrenner,7/24/2023,17,4:30 p.m.,95,44,10,101,,Ramirez,
Glossbrenner,7/24/2023,18,5:30 p.m.,95,44,10,101,,Ramirez,
Glossbrenner,7/24/2023,19,6:30 p.m.,96,44,17,106,,C. Garza,
Glossbrenner,7/24/2023,20,7:30 p.m.,93,50,19,103,,C. Garza,
Glossbrenner,7/24/2023,21,8:30 p.m.,89,65,16,97,,C. Garza,
Glossbrenner,7/24/2023,22,9:30 p.m.,86,65,13,93,,C. Garza,
Glossbrenner,7/24/2023,23,10:30 p.m.,84,71,9,91,,C. Garza,
Glossbrenner,7/24/2023,24,11:30 p.m.,82,79,9,88,,C. Garza,
Glossbrenner,7/25/2023,1,12:30 a.m.,80,84,5,84,,C. Garza,
Glossbrenner,7/25/2023,2,1:30 a.m.,77,87,3,78,,C. Garza,temp corrected
Glossbrenner,7/25/2023,3,2:30 a.m.,75,90,3,N/A,,C. Garza,
Glossbrenner,7/25/2023,4,3:30 a.m.,75,90,4,N/A,,C. Garza,
Glossbrenner,7/25/2023,5,4:30 a.m.,75,93,4,N/A,,C. Garza,
Glossbrenner,7/25/2023,6,5:30 a.m.,73,100,3,N/A,,C. Garza,
Glossbrenner,7/25/2023,7,6:30 a.m.,75,96,1,N/A,,Guerrero,
Glossbrenner,7/25/2023,8,7:30 a.m.,78,93,3,80,,Guerrero,
