unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Lopez,7/24/2023,1,12:30 a.m.,82,92,,87,,"Ortiz, L","humid legibility, person legibility"
Lopez,7/24/2023,2,1:30 a.m.,81,84,,91,,"Ortiz, L",humid legibility
Lopez,7/24/2023,3,2:30 a.m.,80,89,,90,,"Ortiz, L",humid legibility
Lopez,7/24/2023,4,3:30 a.m.,79,94,,N/A,,"Ortiz, L","hi_wc corrected, humid legibility"
Lopez,7/24/2023,5,4:30 a.m.,80,94,,92,,"Ortiz, L",humid legibility
Lopez,7/24/2023,6,5:30 a.m.,80,93,,93,,"Ortiz, L",humid legibility
Lopez,7/24/2023,7,6:30 a.m.,78,96,,N/A,,E Esquirel,person legibility
Lopez,7/24/2023,8,7:30 a.m.,79,88,,N/A,,E Esquirel,
Lopez,7/24/2023,9,8:30 a.m.,88,76,,100,,E Esquirel,
Lopez,7/24/2023,10,9:30 a.m.,93,66,,105,,E Esquirel,
Lopez,7/24/2023,11,10:30 a.m.,95,56,,102,,E Esquirel,
Lopez,7/24/2023,12,11:30 a.m.,100,45,,107,,E Esquirel,
Lopez,7/24/2023,13,12:30 p.m.,101,45,,108,,E Esquirel,
Lopez,7/24/2023,14,1:30 p.m.,95,54,,100,,E Esquirel,
Lopez,7/24/2023,15,2:30 p.m.,99,48,,105,,E Esquirel,
Lopez,7/24/2023,16,3:30 p.m.,103,39,,108,,E Esquirel,humid legibility
Lopez,7/24/2023,17,4:30 p.m.,86,73,,95,,E Esquirel,
Lopez,7/24/2023,18,5:30 p.m.,88,73,,96,,E Esquirel,
Lopez,7/24/2023,19,6:30 p.m.,84,84,,95,,"Ortiz, L",humid legibility
Lopez,7/24/2023,20,7:30 p.m.,87,69,,94,,"Ortiz, L","hi_wc legibility, humid legibility"
Lopez,7/24/2023,21,8:30 p.m.,87,63,,93,,"Ortiz, L",humid legibility
Lopez,7/24/2023,22,9:30 p.m.,85,69,,92,,"Ortiz, L",humid legibility
Lopez,7/24/2023,23,10:30 p.m.,83,78,,91,,"Ortiz, L",humid legibility
Lopez,7/24/2023,24,11:30 p.m.,81,84,,90,,"Ortiz, L",humid legibility
Lopez,7/25/2023,1,12:30 a.m.,80,87,,91,,"Ortiz, L",humid legibility
Lopez,7/25/2023,2,1:30 a.m.,79,88,,N/A,,"Ortiz, L","humid legibility, hi_wc corrected"
Lopez,7/25/2023,3,2:30 a.m.,78,90,,N/A,,"Ortiz, L","humid legibility, hi_wc corrected"
Lopez,7/25/2023,4,3:30 a.m.,77,91,,N/A,,"Ortiz, L","humid legibility, hi_wc corrected"
Lopez,7/25/2023,5,4:30 a.m.,77,93,,N/A,,"Ortiz, L","humid corrected, humid legibility, hi_wc corrected"
Lopez,7/25/2023,6,5:30 a.m.,77,94,,N/A,,"Ortiz, L","humid legibility, hi_wc corrected"
Lopez,7/25/2023,7,6:30 a.m.,77,96,,N/A,,E Esquirel,
Lopez,7/25/2023,8,7:30 a.m.,77,97,,N/A,,E Esquirel,
Lopez,7/25/2023,9,8:30 a.m.,83,86,,92,,E Esquirel,
Lopez,7/25/2023,10,9:30 a.m.,90,70,,100,,E Esquirel,
Lopez,7/25/2023,11,10:30 a.m.,94,56,,103,,E Esquirel,
Lopez,7/25/2023,12,11:30 a.m.,96,50,,101,,E Esquirel,
Lopez,7/25/2023,13,12:30 p.m.,96,48,,105,,E Esquirel,
Lopez,7/25/2023,14,1:30 p.m.,101,40,,104,,E Esquirel,
Lopez,7/25/2023,15,2:30 p.m.,104,35,,109,,Herrera L,
Lopez,7/25/2023,16,3:30 p.m.,104,35,,109,,Herrera L,
Lopez,7/25/2023,17,4:30 p.m.,104,35,,109,,Herrera L,
Lopez,7/25/2023,18,5:30 p.m.,102,37,,110,,Herrera L,
Lopez,7/25/2023,19,6:30 p.m.,100,40,,109,,Herrera L,
Lopez,7/25/2023,20,7:30 p.m.,95,47,,101,,Herrera L,
Lopez,7/25/2023,21,8:30 p.m.,92,54,,100,,Herrera L,
Lopez,7/25/2023,22,9:30 p.m.,87,66,,94,,Herrera L,
Lopez,7/25/2023,23,10:30 p.m.,87,67,,95,,Guerra C,
Lopez,7/25/2023,24,11:30 p.m.,88,67,,95,,Guerra C,
Lopez,7/26/2023,1,12:30 a.m.,85,84,,93,,Guerra C,
