unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
McConnell,7/24/2023,1,12:30 a.m.,82,90,0,90,,Iblkinle,person legibility
McConnell,7/24/2023,2,1:30 a.m.,81,90,0,88,,Iblkinle,
McConnell,7/24/2023,3,2:30 a.m.,80,90,0,86,,Iblkinle,
McConnell,7/24/2023,4,3:30 a.m.,80,91,0,87,,Iblkinle,
McConnell,7/24/2023,5,4:30 a.m.,79,92,0,76,,Iblkinle,
McConnell,7/24/2023,6,5:30 a.m.,79,93,0,76,,Iblkinle,
McConnell,7/24/2023,7,6:30 a.m.,78,95,0,N/A,,Flores,
McConnell,7/24/2023,8,7:30 a.m.,79,94,0,N/A,,Flores,
McConnell,7/24/2023,9,8:30 a.m.,84,88,0,96,,Flores,
McConnell,7/24/2023,10,9:30 a.m.,85,81,0,96,,Flores,
McConnell,7/24/2023,11,10:30 a.m.,90,68,0,106,,Flores,
McConnell,7/24/2023,12,11:30 a.m.,94,58,0,108,,Flores,
McConnell,7/24/2023,13,12:30 p.m.,96,54,1,110,,Flores,
McConnell,7/24/2023,14,1:30 p.m.,95,51,2,105,,Flores,
McConnell,7/24/2023,15,2:30 p.m.,96,49,9,107,,Flores,
McConnell,7/24/2023,16,3:30 p.m.,97,48,10,109,,Flores,wind corrected
McConnell,7/24/2023,17,4:30 p.m.,86,70,18,94,,Flores,
McConnell,7/24/2023,18,5:30 p.m.,85,73,9,93,,Flores,
McConnell,7/24/2023,19,6:30 p.m.,89,67,10,101,,Iblkinle,
McConnell,7/24/2023,20,7:30 p.m.,88,67,12,98,,Iblkinle,
McConnell,7/24/2023,21,8:30 p.m.,85,74,9,95,,Iblkinle,
McConnell,7/24/2023,22,9:30 p.m.,85,78,8,94,,Iblkinle,
McConnell,7/24/2023,23,10:30 p.m.,83,83,0,91,,Iblkinle,
McConnell,7/24/2023,24,11:30 p.m.,82,85,0,88,,Iblkinle,
McConnell,7/25/2023,1,12:30 a.m.,81,87,0,87,,Iblkinle,
McConnell,7/25/2023,2,1:30 a.m.,79,88,0,74,,Iblkinle,
McConnell,7/25/2023,3,2:30 a.m.,79,92,0,75,,Iblkinle,
McConnell,7/25/2023,4,3:30 a.m.,77,93,0,74,,Iblkinle,
McConnell,7/25/2023,5,4:30 a.m.,77,94,0,75,,Iblkinle,
McConnell,7/25/2023,6,5:30 a.m.,78,94,0,75,,Iblkinle,
McConnell,7/25/2023,7,6:30 a.m.,79,95,0,N/A,,Flores,
McConnell,7/25/2023,8,7:30 a.m.,79,95,0,N/A,,Flores,
McConnell,7/25/2023,9,8:30 a.m.,82,94,0,94,,Flores,
McConnell,7/25/2023,10,9:30 a.m.,83,82,4,92,,Flores,
McConnell,7/25/2023,11,10:30 a.m.,85,75,7,95,,Flores,
McConnell,7/25/2023,12,11:30 a.m.,90,58,11,100,,Flores,
McConnell,7/25/2023,13,12:30 p.m.,93,52,6,102,,Flores,
McConnell,7/25/2023,14,1:30 p.m.,93,59,15,105,,Flores,
McConnell,7/25/2023,15,2:30 p.m.,95,57,10,107,,Flores,
McConnell,7/25/2023,16,3:30 p.m.,94,52,7,105,,Flores,
McConnell,7/25/2023,17,4:30 p.m.,94,52,11,105,,Flores,
McConnell,7/25/2023,18,5:30 p.m.,95,52,13,106,,Flores,
McConnell,7/25/2023,19,6:30 p.m.,92,56,,103,,Perches,person legibility
McConnell,7/25/2023,20,7:30 p.m.,89,62,,99,,Perches,
McConnell,7/25/2023,21,8:30 p.m.,86,71,,96,,Perches,
McConnell,7/25/2023,22,9:30 p.m.,84,74,,94,,Perches,
McConnell,7/25/2023,23,10:30 p.m.,82,79,,91,,Perches,
McConnell,7/25/2023,24,11:30 p.m.,80,83,,90,,Perches,
McConnell,7/26/2023,1,12:30 a.m.,79,N/A,,N/A,,Perches,
McConnell,7/26/2023,2,1:30 a.m.,79,N/A,,N/A,,Perches,
McConnell,7/26/2023,3,2:30 a.m.,78,N/A,,N/A,,Perches,
McConnell,7/26/2023,4,3:30 a.m.,78,N/A,,N/A,,Perches,
McConnell,7/26/2023,5,4:30 a.m.,77,N/A,,N/A,,Perches,
McConnell,7/26/2023,6,5:30 a.m.,78,N/A,,N/A,,Perches,
McConnell,7/26/2023,7,6:30 a.m.,78,N/A,,N/A,,Perches,
McConnell,7/26/2023,8,7:30 a.m.,79,N/A,,N/A,,Arriola,
McConnell,7/26/2023,9,8:30 a.m.,80,N/A,,N/A,,Arriola,
McConnell,7/26/2023,10,9:30 a.m.,85,N/A,,N/A,,Arriola,
McConnell,7/26/2023,11,10:30 a.m.,90,N/A,,N/A,,Arriola,
McConnell,7/26/2023,12,11:30 a.m.,92,N/A,,N/A,,Arriola,
McConnell,7/26/2023,13,12:30 p.m.,94,N/A,,N/A,,Arriola,
McConnell,7/26/2023,14,1:30 p.m.,97,N/A,,N/A,,Arriola,
McConnell,7/26/2023,15,2:30 p.m.,97,N/A,,N/A,,Arriola,
McConnell,7/26/2023,16,3:30 p.m.,96,N/A,,N/A,,Arriola,
McConnell,7/26/2023,17,4:30 p.m.,96,N/A,,N/A,,Arriola,
McConnell,7/26/2023,18,5:30 p.m.,95,N/A,,N/A,,Arriola,
McConnell,7/26/2023,19,6:30 p.m.,94,N/A,,N/A,,Arriola,
McConnell,7/26/2023,20,7:30 p.m.,92,N/A,,N/A,,Perches,
