unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Formby,7/24/2023,1,12:30 a.m.,74,46,5,N/A,,Chavez,
Formby,7/24/2023,2,1:30 a.m.,75,52,6,N/A,,Chavez,
Formby,7/24/2023,3,2:30 a.m.,74,50,7,N/A,,Chavez,
Formby,7/24/2023,4,3:30 a.m.,71,56,7,N/A,,Chavez,
Formby,7/24/2023,5,4:30 a.m.,71,57,8,N/A,,Chavez,
Formby,7/24/2023,6,5:30 a.m.,70,59,6,N/A,,Chavez,
Formby,7/24/2023,7,6:30 a.m.,69,59,5,N/A,,Asiatico,
Formby,7/24/2023,8,7:30 a.m.,70,54,6,N/A,,Asiatico,
Formby,7/24/2023,9,8:30 a.m.,72,55,6,N/A,,Asiatico,
Formby,7/24/2023,10,9:30 a.m.,79,54,12,N/A,,Asiatico,
Formby,7/24/2023,11,10:30 a.m.,83,46,17,N/A,,Asiatico,
Formby,7/24/2023,12,11:30 a.m.,86,44,16,N/A,,Asiatico,
Formby,7/24/2023,13,12:30 p.m.,90,51,16,N/A,,Asiatico,
Formby,7/24/2023,14,1:30 p.m.,92,45,14,N/A,,Asiatico,
Formby,7/24/2023,15,2:30 p.m.,97,45,13,N/A,,Asiatico,
Formby,7/24/2023,16,3:30 p.m.,97,53,15,N/A,,Asiatico,
Formby,7/24/2023,17,4:30 p.m.,98,52,12,N/A,,Asiatico,
Formby,7/24/2023,18,5:30 p.m.,98,53,10,N/A,,Asiatico,
Formby,7/24/2023,19,6:30 p.m.,98,21,13,N/A,,Williams,
Formby,7/24/2023,20,7:30 p.m.,97,21,15,N/A,,Williams,
Formby,7/24/2023,21,8:30 p.m.,98,21,5,N/A,,Nicholas,
Formby,7/24/2023,22,9:30 p.m.,96,21,6,N/A,,Nicholas,
Formby,7/24/2023,23,10:30 p.m.,96,21,3,N/A,,Nicholas,
Formby,7/24/2023,24,11:30 p.m.,94,21,3,N/A,,Nicholas,
Formby,7/25/2023,1,12:30 a.m.,81,34,7,,,Nicholas D.,hi_wc dash
Formby,7/25/2023,2,1:30 a.m.,78,37,8,,,Nicholas D.,hi_wc dash
Formby,7/25/2023,3,2:30 a.m.,77,40,7,,,Nicholas D.,hi_wc dash
Formby,7/25/2023,4,3:30 a.m.,77,39,10,,,Nicholas D.,hi_wc dash
Formby,7/25/2023,5,4:30 a.m.,76,39,9,,,Nicholas D.,hi_wc dash
Formby,7/25/2023,6,5:30 a.m.,73,48,5,,,Nicholas D.,hi_wc dash
Formby,7/25/2023,7,6:30 a.m.,72,52,5,,,"Asiatico, D",hi_wc dash
Formby,7/25/2023,8,7:30 a.m.,73,45,9,,,"Asiatico, D",hi_wc dash
Formby,7/25/2023,9,8:30 a.m.,78,41,13,,,"Asiatico, D",hi_wc dash
Formby,7/25/2023,10,9:30 a.m.,79,40,16,,,"Asiatico, D",hi_wc dash
Formby,7/25/2023,11,10:30 a.m.,85,37,17,,,Reyna,hi_wc dash
Formby,7/25/2023,12,11:30 a.m.,86,36,17,,,Reyna,hi_wc dash
Formby,7/25/2023,13,12:30 p.m.,90,34,18,,,Reyna,hi_wc dash
Formby,7/25/2023,14,1:30 p.m.,94,28,13,,,Reyna,hi_wc dash
Formby,7/25/2023,15,2:30 p.m.,97,19,21,,,Reyna,hi_wc dash
Formby,7/25/2023,16,3:30 p.m.,98,19,17,,,Reyna,hi_wc dash
Formby,7/25/2023,17,4:30 p.m.,98,20,17,,,Reyna,hi_wc dash
Formby,7/25/2023,18,5:30 p.m.,98,19,16,,,Reyna,hi_wc dash
Formby,7/25/2023,19,6:30 p.m.,97,20,16,,,Renez,hi_wc dash
Formby,7/25/2023,20,7:30 p.m.,98,21,14,,,Renez,"temp legibility, hi_wc dash"
Formby,7/25/2023,21,8:30 p.m.,93,23,12,,,Renez,hi_wc dash
Formby,7/25/2023,22,9:30 p.m.,89,26,10,,,Renez,hi_wc dash
Formby,7/25/2023,23,10:30 p.m.,85,30,12,,,Renez,hi_wc dash
Formby,7/25/2023,24,11:30 p.m.,83,,13,,,Renez,"humid blank, hi_wc dash"
Formby,7/26/2023,1,12:30 a.m.,81,,10,N/A,,R Williams,humid blank
Formby,7/26/2023,2,1:30 a.m.,77,40,10,N/A,,R Williams,
Formby,7/26/2023,3,2:30 a.m.,75,44,6,N/A,,R Williams,
Formby,7/26/2023,4,3:30 a.m.,74,45,10,N/A,,R Williams,
Formby,7/26/2023,5,4:30 a.m.,73,50,6,N/A,,R Williams,
Formby,7/26/2023,6,5:30 a.m.,69,65,6,N/A,,R Williams,
Formby,7/26/2023,7,6:30 a.m.,70,58,8,N/A,,"Trevino, V.",
Formby,7/26/2023,8,7:30 a.m.,69,60,6,N/A,,"Trevino, V.",
Formby,7/26/2023,9,8:30 a.m.,73,52,8,N/A,,"Trevino, V.",
Formby,7/26/2023,10,9:30 a.m.,79,45,10,N/A,,"Trevino, V.",
Formby,7/26/2023,11,10:30 a.m.,83,43,6,N/A,,"Trevino, V.",
Formby,7/26/2023,12,11:30 a.m.,87,35,15,N/A,,R. Mauyk,"humid legibility, person legibility"
Formby,7/26/2023,13,12:30 p.m.,89,34,13,N/A,,"Trevino, V.",
Formby,7/26/2023,14,1:30 p.m.,93,28,18,N/A,,Chavez,person legibility
Formby,7/26/2023,15,2:30 p.m.,94,27,14,N/A,,Chavez,person legibility
Formby,7/26/2023,16,3:30 p.m.,96,72,14,N/A,,Chavez,person legibility
Formby,7/26/2023,17,4:30 p.m.,95,20,13,N/A,,Chavez,person legibility
Formby,7/26/2023,18,5:30 p.m.,97,21,14,N/A,,Chavez,person legibility
