unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Jordan,7/24/2023,1,12:30 a.m.,76,55,9,N/A,,Cazarez,"temp reported with ""clear"""
Jordan,7/24/2023,2,1:30 a.m.,73,53,11,N/A,,Cazarez,"temp reported with ""clear"""
Jordan,7/24/2023,3,2:30 a.m.,74,56,10,N/A,,Cazarez,"temp reported with ""clear"""
Jordan,7/24/2023,4,3:30 a.m.,71,58,10,N/A,,Cazarez,"temp reported with ""clear"""
Jordan,7/24/2023,5,4:30 a.m.,69,60,9,N/A,,Cazarez,"temp reported with ""clear"""
Jordan,7/24/2023,6,5:30 a.m.,68,62,9,N/A,,Cazarez,"temp reported with ""clear"""
Jordan,7/24/2023,7,6:30 a.m.,67,60,11,N/A,,Feaster,
Jordan,7/24/2023,8,7:30 a.m.,66,59,10,N/A,,Feaster,
Jordan,7/24/2023,9,8:30 a.m.,75,50,6,N/A,,Feaster,
Jordan,7/24/2023,10,9:30 a.m.,82,38,10,81,,Feaster,
Jordan,7/24/2023,11,10:30 a.m.,85,34,14,84,,Feaster,
Jordan,7/24/2023,12,11:30 a.m.,89,28,17,87,,Feaster,
Jordan,7/24/2023,13,12:30 p.m.,93,24,16,91,2,Feaster,hi_wc legibility
Jordan,7/24/2023,14,1:30 p.m.,96,21,16,93,2,Feaster,
Jordan,7/24/2023,15,2:30 p.m.,98,20,14,95,2,Feaster,
Jordan,7/24/2023,16,3:30 p.m.,100,18,15,97,2,Feaster,
Jordan,7/24/2023,17,4:30 p.m.,100,18,19,97,2,Feaster,
Jordan,7/24/2023,18,5:30 p.m.,100,17,32,97,2,Feaster,"humid corrected, wind corrected, wind expressed as range (15-32)"
Jordan,7/24/2023,19,6:30 p.m.,99,20,19,96,2,Cazarez,"temp reported with ""sunny"""
Jordan,7/24/2023,20,7:30 p.m.,98,24,16,95,2,Cazarez,"temp reported with ""sunny"""
Jordan,7/24/2023,21,8:30 p.m.,91,25,12,88,1,Cazarez,"temp reported with ""sunny"""
Jordan,7/24/2023,22,9:30 p.m.,88,28,13,85,1,Cazarez,"temp reported with ""clear"""
Jordan,7/24/2023,23,10:30 p.m.,84,34,14,85,1,Claw,
Jordan,7/24/2023,24,11:30 p.m.,84,33,15,85,1,Claw,
Jordan,7/25/2023,1,12:30 a.m.,83,33,15,81,,Sgt. Clear,same person as Clear
Jordan,7/25/2023,2,1:30 a.m.,80,34,23,80,,Sgt. Clear,"wind expressed as range (15-23), same person as Clear"
Jordan,7/25/2023,3,2:30 a.m.,82,31,15,82,,Patrick,
Jordan,7/25/2023,4,3:30 a.m.,79,35,16,N/A,,Patrick,
Jordan,7/25/2023,5,4:30 a.m.,79,38,,N/A,,Patrick,wind blank
Jordan,7/25/2023,6,5:30 a.m.,75,40,,N/A,,Patrick,wind blank
Jordan,7/25/2023,7,6:30 a.m.,75,42,11,N/A,,Tuttle,
Jordan,7/25/2023,8,7:30 a.m.,72,44,7,N/A,,Tuttle,
Jordan,7/25/2023,9,8:30 a.m.,74,42,11,N/A,,Tuttle,
Jordan,7/25/2023,10,9:30 a.m.,85,32,13,N/A,,Tuttle,
Jordan,7/25/2023,11,10:30 a.m.,87,28,19,85,,Andis,"hi_wc reported with HI, hi_wc_n legibility"
Jordan,7/25/2023,12,11:30 a.m.,92,27,22,89,1,Andis,"hi_wc legibility, hi_wc_n corrected"
Jordan,7/25/2023,13,12:30 p.m.,95,23,29,91,2,Andis,humid legibility
Jordan,7/25/2023,14,1:30 p.m.,98,18,25,94,2,Andis,hi_wc legibility
Jordan,7/25/2023,15,2:30 p.m.,98,17,27,94,2,Berner,
Jordan,7/25/2023,16,3:30 p.m.,99,18,23,96,2,Berner,
Jordan,7/25/2023,17,4:30 p.m.,100,18,25,97,2,Berner,wind legibility
Jordan,7/25/2023,18,5:30 p.m.,101,17,22,98,2,Berner,
Jordan,7/25/2023,19,6:30 p.m.,98,19,22,95,2,Matthews,temp legibility
Jordan,7/25/2023,20,7:30 p.m.,96,17,19,93,2,Matthews,
Jordan,7/25/2023,21,8:30 p.m.,92,19,18,88,1,Matthews,
Jordan,7/25/2023,22,9:30 p.m.,87,24,13,84,1,Matthews,
Jordan,7/25/2023,23,10:30 p.m.,84,32,13,84,1,Velasquez,
Jordan,7/25/2023,24,11:30 p.m.,80,34,14,80,1,Velasquez,
Jordan,7/26/2023,1,12:30 a.m.,80,36,12,80,1,Velasquez,"temp reported with ""clear"""
Jordan,7/26/2023,2,1:30 a.m.,81,36,16,80,1,Velasquez,"temp reported with ""clear"""
Jordan,7/26/2023,3,2:30 a.m.,78,39,13,N/A,,Quezada,
Jordan,7/26/2023,4,3:30 a.m.,76,42,11,N/A,,Quezada,
Jordan,7/26/2023,5,4:30 a.m.,74,46,12,N/A,,Quezada,
Jordan,7/26/2023,6,5:30 a.m.,72,48,11,N/A,,Quezada,
Jordan,7/26/2023,7,6:30 a.m.,71,49,8,N/A,,Feaster,
Jordan,7/26/2023,8,7:30 a.m.,71,52,4,N/A,,Feaster,
Jordan,7/26/2023,9,8:30 a.m.,75,49,4,N/A,,Feaster,
Jordan,7/26/2023,10,9:30 a.m.,82,42,10,81,1,Feaster,
Jordan,7/26/2023,11,10:30 a.m.,86,31,12,86,1,Feaster,"temp corrected, humid corrected, hi_wc corrected"
Jordan,7/26/2023,12,11:30 a.m.,90,30,22,88,1,Feaster,
Jordan,7/26/2023,13,12:30 p.m.,93,26,17,90,2,Feaster,
Jordan,7/26/2023,14,1:30 p.m.,95,21,20,91,2,Feaster,
Jordan,7/26/2023,15,2:30 p.m.,96,19,34,91,2,Feaster,"temp corrected, wind expressed as range (15-34) (corrected)"
Jordan,7/26/2023,16,3:30 p.m.,97,18,21,94,2,Feaster,
Jordan,7/26/2023,17,4:30 p.m.,98,18,19,95,2,Feaster,
Jordan,7/26/2023,18,5:30 p.m.,98,16,19,94,2,Feaster,person handwriting
Jordan,7/26/2023,19,6:30 p.m.,97,17,18,93,2,Matthews,temp legibility
Jordan,7/26/2023,20,7:30 p.m.,95,18,14,91,2,Matthews,
Jordan,7/26/2023,21,8:30 p.m.,90,20,12,86,1,Matthews,
Jordan,7/26/2023,22,9:30 p.m.,81,32,11,80,1,Matthews,
Jordan,7/26/2023,23,10:30 p.m.,81,37,14,81,1,Velasquez,
Jordan,7/26/2023,24,11:30 p.m.,82,40,16,80,1,Velasquez,
Jordan,7/27/2023,1,12:30 a.m.,82,41,19,80,1,Velasquez,
Jordan,7/27/2023,2,1:30 a.m.,81,43,16,80,1,Velasquez,
Jordan,7/27/2023,3,2:30 a.m.,78,43,10,N/A,,Adegoke,
Jordan,7/27/2023,4,3:30 a.m.,76,49,10,N/A,,Adegoke,
Jordan,7/27/2023,5,4:30 a.m.,78,48,9,N/A,,Adegoke,
Jordan,7/27/2023,6,5:30 a.m.,75,54,8,N/A,,Adegoke,
Jordan,7/27/2023,7,6:30 a.m.,75,52,10,N/A,,Turner,
Jordan,7/27/2023,8,7:30 a.m.,75,52,12,N/A,,Turner,
Jordan,7/27/2023,9,8:30 a.m.,76,48,8,N/A,,Turner,
Jordan,7/27/2023,10,9:30 a.m.,83,41,8,80,1,Turner,"temp corrected, temp legibility"
Jordan,7/27/2023,11,10:30 a.m.,86,36,10,85,1,Burton,
Jordan,7/27/2023,12,11:30 a.m.,89,34,9,90,1,Burton,
Jordan,7/27/2023,13,12:30 p.m.,94,29,14,92,2,Burton,temp corrected
Jordan,7/27/2023,14,1:30 p.m.,95,26,13,93,2,Burton,wind legibility
Jordan,7/27/2023,15,2:30 p.m.,99,19,15,96,2,Tuttle,"hi_wc reported with ""HI"""
Jordan,7/27/2023,16,3:30 p.m.,100,19,15,97,2,Tuttle,"hi_wc reported with ""HI"""
Jordan,7/27/2023,17,4:30 p.m.,98,17,14,95,2,Tuttle,"hi_wc reported with ""HI"""
Jordan,7/27/2023,18,5:30 p.m.,98,17,15,95,2,Willsie,
Jordan,7/27/2023,19,6:30 p.m.,96,17,15,93,2,Willsie,
Jordan,7/27/2023,20,7:30 p.m.,91,23,9,88,1,Willsie,
