unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes,
Roach,7/24/2023,1,12:30 a.m.,83,37,8,83, ,King, , 
Roach,7/24/2023,2,1:30 a.m.,81,38,7,81, ,King, , 
Roach,7/24/2023,3,2:30 a.m.,88,39,5,82, ,King,"temp legibility, hi_wc legibility", 
Roach,7/24/2023,4,3:30 a.m.,80,39,5,82, ,A. Smith, , 
Roach,7/24/2023,5,4:30 a.m.,78,40,4,83, ,A. Smith,temp legibility, 
Roach,7/24/2023,6,5:30 a.m.,74,41,4,84, ,A. Smith, , 
Roach,7/24/2023,7,6:30 a.m.,71,46,9,NA, ,Gamboa, , 
Roach,7/24/2023,8,7:30 a.m.,72,47,8,NA, ,Gamboa, , 
Roach,7/24/2023,9,8:30 a.m.,80,49,8,81,1,Gamboa,hi_wc corrected, 
Roach,7/24/2023,10,9:30 a.m.,84,40,10,84,1,Gamboa, , 
Roach,7/24/2023,11,10:30 a.m.,90,35,9,90,2,Gamboa,hi_wc_n corrected, 
Roach,7/24/2023,12,11:30 a.m.,94,33,14,94,2,Gamboa, , 
Roach,7/24/2023,13,12:30 p.m.,100,33,14,100,3,Gamboa,humid legibility, 
Roach,7/24/2023,14,1:30 p.m.,102,26,12,102,3,Gamboa, , 
Roach,7/24/2023,15,2:30 p.m.,105,22,12,105,3,Gamboa, , 
Roach,7/24/2023,16,3:30 p.m.,104,21,12,104,3,Gamboa,wind corrected, 
Roach,7/24/2023,17,4:30 p.m.,105,19,12,105,3,Gamboa, , 
Roach,7/24/2023,18,5:30 p.m.,104,20,19,104,3,Gamboa, , 
Roach,7/24/2023,19,6:30 p.m.,103,18,13,103,3,Grant, , 
Roach,7/24/2023,20,7:30 p.m.,101,19,12,100,3,Grant, , 
Roach,7/24/2023,21,8:30 p.m.,96,21,11,96, ,Grant,, 
Roach,7/24/2023,22,9:30 p.m.,94,21,9,94, ,King, , 
Roach,7/24/2023,23,10:30 p.m.,88,26,8,88, ,King, , 
Roach,7/24/2023,24,11:30 p.m.,87,28,10,87, ,King, , 
Roach,7/25/2023,1,12:30 a.m.,88,26,13,88, ,King, , 
Roach,7/25/2023,2,1:30 a.m.,85,29,12,85, ,Grant, , 
Roach,7/25/2023,3,2:30 a.m.,84,29,11,84, ,Grant,temp legibility, 
Roach,7/25/2023,4,3:30 a.m.,82,31,11,82, ,Grant, , 
Roach,7/25/2023,5,4:30 a.m.,82,32,11,82, ,Grant, , 
Roach,7/25/2023,6,5:30 a.m.,79,37,9,79, ,Grant, , 
Roach,7/25/2023,7,6:30 a.m.,78,37,12,NA, ,Carroll, , 
Roach,7/25/2023,8,7:30 a.m.,80,36,9,NA, ,Carroll, , 
Roach,7/25/2023,9,8:30 a.m.,81,36,10,81, ,Carroll, , 
Roach,7/25/2023,10,9:30 a.m.,85,34,11,85, ,Carroll, , 
Roach,7/25/2023,11,10:30 a.m.,92,30,14,92, ,Carroll, , 
Roach,7/25/2023,12,11:30 a.m.,97,26,15,97, ,Carroll, , 
Roach,7/25/2023,13,12:30 p.m.,98,26,17,98, ,Carroll, , 
