unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes,
Smith,7/24/2023,1,12:30 a.m.,82,31,10,82,,Patrick,,
Smith,7/24/2023,2,1:30 a.m.,81,31,11,81,,Patrick,,
Smith,7/24/2023,3,2:30 a.m.,80,32,9,80,,Patrick,,
Smith,7/24/2023,4,3:30 a.m.,77,36,7,77,,Patrick,,
Smith,7/24/2023,5,4:30 a.m.,76,41,7,76,,Patrick,,
Smith,7/24/2023,6,5:30 a.m.,75,43,8,75,,Patrick,,
Smith,7/24/2023,7,6:30 a.m.,74,47,7,74,,Torres L.,,
Smith,7/24/2023,8,7:30 a.m.,79,44,4,69,,Torres L.,,temp corrected
Smith,7/24/2023,9,8:30 a.m.,77,44,3,79,,Torres L.,,"temp corrected, hi_wc corrected"
Smith,7/24/2023,10,9:30 a.m.,84,43,14,84,,Torres L.,,temp corrected
Smith,7/24/2023,11,10:30 a.m.,88,38,11,88,,Torres L.,,
Smith,7/24/2023,12,11:30 a.m.,94,30,13,94,,Torres L.,,
Smith,7/24/2023,13,12:30 p.m.,97,24,6,97,,Torres L.,,
Smith,7/24/2023,14,1:30 p.m.,99,20,6,99,,Torres L.,,
Smith,7/24/2023,15,2:30 p.m.,102,17,8,102,,Torres L.,,
Smith,7/24/2023,16,3:30 p.m.,102,19,14,101,,Torres L.,,temp corrected
Smith,7/24/2023,17,4:30 p.m.,101,18,6,101,,Torres L.,,
Smith,7/24/2023,18,5:30 p.m.,101,18,8,101,,Torres L.,,
Smith,7/24/2023,19,6:30 p.m.,101,16,11,101,,Patrick,,
Smith,7/24/2023,20,7:30 p.m.,99,16,11,99,,Patrick,,
Smith,7/24/2023,21,8:30 p.m.,96,18,8,96,,Patrick,,
Smith,7/24/2023,22,9:30 p.m.,93,20,9,93,,Patrick,,
Smith,7/24/2023,23,10:30 p.m.,88,22,10,88,,Patrick,,
Smith,7/24/2023,24,11:30 p.m.,86,24,4,86,,Patrick,,
Smith,7/25/2023,1,12:30 a.m.,85,25,11,85,,Patrick,,
