unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Wallace,7/24/2023,1,12:30 a.m.,83,37,5,87, ,Clark,"hi_wc legibility, person legibility"
Wallace,7/24/2023,2,1:30 a.m.,82,38,2,80, ,Clark,person legibility
Wallace,7/24/2023,3,2:30 a.m.,83,37,4,82, ,Clark,person legibility
Wallace,7/24/2023,4,3:30 a.m.,82,39,7,81, ,Clark,person legibility
Wallace,7/24/2023,5,4:30 a.m.,80,44,0,79, ,Clark,person legibility
Wallace,7/24/2023,6,5:30 a.m.,77,49,0,77, ,Clark,person legibility
Wallace,7/24/2023,7,6:30 a.m.,75,54,1,NA, ,Martinez, 
Wallace,7/24/2023,8,7:30 a.m.,75,57,0,NA, ,Martinez, 
Wallace,7/24/2023,9,8:30 a.m.,78,56,2,NA, ,Martinez, 
Wallace,7/24/2023,10,9:30 a.m.,85,49,10,86, ,Martinez, 
Wallace,7/24/2023,11,10:30 a.m.,90,44,6,91, ,Martinez,
Wallace,7/24/2023,12,11:30 a.m.,94,36,13,95, ,Martinez, 
Wallace,7/24/2023,13,12:30 p.m.,97,30,10,97, ,Martinez, 
Wallace,7/24/2023,14,1:30 p.m.,98,28,2,99, ,Martinez, 
Wallace,7/24/2023,15,2:30 p.m.,100,25,5,100, ,Martinez, 
Wallace,7/24/2023,16,3:30 p.m.,102,25,3,102, ,Martinez, 
Wallace,7/24/2023,17,4:30 p.m.,103,21,6,102, ,Martinez, 
Wallace,7/24/2023,18,5:30 p.m.,103,18,6,101, ,Martinez, 
Wallace,7/24/2023,19,6:30 p.m.,103,16,6,100, ,Atkins, 
Wallace,7/24/2023,20,7:30 p.m.,102,17,9,99, ,Atkins, 
Wallace,7/24/2023,21,8:30 p.m.,98,22,8,96, ,Atkins, 
Wallace,7/24/2023,22,9:30 p.m.,94,25,5,92, ,Atkins, 
Wallace,7/24/2023,23,10:30 p.m.,90,27,6,88, ,Atkins, 
Wallace,7/24/2023,24,11:30 p.m.,87,30,2,85, ,Atkins, 
Wallace,7/25/2023,1,12:30 a.m.,85,31,4,83, ,Atkins, 
Wallace,7/25/2023,2,1:30 a.m.,83,33,4,81, ,Clark,person legibility
Wallace,7/25/2023,3,2:30 a.m.,83,39,5,81, ,Clark,"humid legibility, person legibility"
Wallace,7/25/2023,4,3:30 a.m.,82,38,8,81, ,Clark,person legibility
Wallace,7/25/2023,5,4:30 a.m.,80,42,4,80, ,Clark,person legibility
Wallace,7/25/2023,6,5:30 a.m.,78,46,2,78, ,Clark,person legibility
Wallace,7/25/2023,7,6:30 a.m.,78,49,2,NA, ,Martinez, 
Wallace,7/25/2023,8,7:30 a.m.,78,54,1,NA, ,Martinez, 
Wallace,7/25/2023,9,8:30 a.m.,81,57,7,82, ,Martinez, 
Wallace,7/25/2023,10,9:30 a.m.,87,54,14,90, ,Martinez, 
Wallace,7/25/2023,11,10:30 a.m.,90,47,11,92, ,Martinez, 
Wallace,7/25/2023,12,11:30 a.m.,93,40,6,95, ,Martinez, 
Wallace,7/25/2023,13,12:30 p.m.,96,30,12,96, ,Martinez, 
Wallace,7/25/2023,14,1:30 p.m.,99,25,10,98, ,Martinez, 
Wallace,7/25/2023,15,2:30 p.m.,99,24,5,99, ,Martinez, 
Wallace,7/25/2023,16,3:30 p.m.,101,22,15,100, ,Martinez, 
Wallace,7/25/2023,17,4:30 p.m.,100,24,11,100, ,Martinez, 
Wallace,7/25/2023,18,5:30 p.m.,101,23,10,100, ,Martinez, 
Wallace,7/25/2023,19,6:30 p.m.,100,23,25,99, ,Jensen, 
Wallace,7/25/2023,20,7:30 p.m.,99,21,10,97, ,Jensen, 
Wallace,7/25/2023,21,8:30 p.m.,97,24,4,95, ,Jensen, 
