unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Havins,7/24/2023,1,12:30 a.m.,84,38,,82,,Arnold/west,
Havins,7/24/2023,2,1:30 a.m.,77,49,,78,,Arnold/west,
Havins,7/24/2023,3,2:30 a.m.,76,50,,78,,Arnold/west,
Havins,7/24/2023,4,3:30 a.m.,72,59,,76,,Arnold/west,
Havins,7/24/2023,5,4:30 a.m.,70,65,,75,,Arnold/west,
Havins,7/24/2023,6,5:30 a.m.,69,69,,73,,Arnold/west,
Havins,7/24/2023,7,6:30 a.m.,69,68,,74,,Hernandez,wind legibility
Havins,7/24/2023,8,7:30 a.m.,74,61,,N/A,,Hernandez,wind legibility
Havins,7/24/2023,9,8:30 a.m.,86,46,,86,1,Hernandez,wind corrected
Havins,7/24/2023,10,9:30 a.m.,94,42,5,98,2,Hernandez,
Havins,7/24/2023,11,10:30 a.m.,94,43,5,100,2,Hernandez,
Havins,7/24/2023,12,11:30 a.m.,98,33,,100,3,Hernandez,wind legibility
Havins,7/24/2023,13,12:30 p.m.,105,23,7,106,3,Hernandez,
Havins,7/24/2023,14,1:30 p.m.,106,21,3,106,3,Hernandez,
Havins,7/24/2023,15,2:30 p.m.,106,20,6,105,3,Hernandez,
Havins,7/24/2023,16,3:30 p.m.,108,18,8,107,4,Hernandez,
Havins,7/24/2023,17,4:30 p.m.,107,18,,105,4,Hernandez,wind legibility
Havins,7/24/2023,18,5:30 p.m.,107,17,6,107,4,Hernandez,
Havins,7/24/2023,19,6:30 p.m.,104,18,5,101,2,Arnold,wind corrected
Havins,7/24/2023,20,7:30 p.m.,101,19,4,98,2,Arnold,
Havins,7/24/2023,21,8:30 p.m.,97,23,5,95,2,Arnold,
Havins,7/24/2023,22,9:30 p.m.,93,27,6,90,2,Arnold,
Havins,7/24/2023,23,10:30 p.m.,91,31,6,89,1,Arnold,
Havins,7/24/2023,24,11:30 p.m.,89,33,6,87,1,Arnold,
Havins,7/25/2023,1,12:30 a.m.,87,37,,85,,West,
Havins,7/25/2023,2,1:30 a.m.,85,41,,84,,West,
Havins,7/25/2023,3,2:30 a.m.,83,48,,83,,West,
Havins,7/25/2023,4,3:30 a.m.,82,52,,82,,West,
Havins,7/25/2023,5,4:30 a.m.,81,59,,80,,West,
Havins,7/25/2023,6,5:30 a.m.,76,71,,77,,West,
Havins,7/25/2023,7,6:30 a.m.,73,79,,73,,Castillo,wind legibility
Havins,7/25/2023,8,7:30 a.m.,80,66,,85,1,Castillo,wind legibility
Havins,7/25/2023,9,8:30 a.m.,87,58,,92,2,Castillo,wind legibility
Havins,7/25/2023,10,9:30 a.m.,93,47,7,97,2,Castillo,hi_wc corrected
Havins,7/25/2023,11,10:30 a.m.,94,43,6,99,2,Castillo,
Havins,7/25/2023,12,11:30 a.m.,96,41,5,101,2,Castillo,
Havins,7/25/2023,13,12:30 p.m.,101,32,5,105,3,Castillo,
Havins,7/25/2023,14,1:30 p.m.,103,27,10,106,3,Castillo,
Havins,7/25/2023,15,2:30 p.m.,102,25,4,102,2,Castillo,
Havins,7/25/2023,16,3:30 p.m.,104,23,9,104,3,Hernandez,
Havins,7/25/2023,17,4:30 p.m.,105,22,6,105,3,Hernandez,
Havins,7/25/2023,18,5:30 p.m.,105,20,11,104,3,Hernandez,
Havins,7/25/2023,19,6:30 p.m.,102,21,11,100,,Jones,
Havins,7/25/2023,20,7:30 p.m.,100,22,5,98,,Jones,
Havins,7/25/2023,21,8:30 p.m.,95,26,2,93,,Jones,
Havins,7/25/2023,22,9:30 p.m.,91,31,2,89,,Jones,
Havins,7/25/2023,23,10:30 p.m.,89,34,8,87,,Jones,
