unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Hilltop,7/24/2023,1,12:30 a.m.,80,48,2,N/A,N/A,"Smith, R",
Hilltop,7/24/2023,2,1:30 a.m.,78,50,3,N/A,N/A,"Smith, R",
Hilltop,7/24/2023,3,2:30 a.m.,77,50,3,N/A,,Denson,
Hilltop,7/24/2023,4,3:30 a.m.,75,57,1,N/A,,Denson,
Hilltop,7/24/2023,5,4:30 a.m.,73,61,1,N/A,,Denson,temp legibility
Hilltop,7/24/2023,6,5:30 a.m.,72,64,2,N/A,,Denson,
Hilltop,7/24/2023,7,6:30 a.m.,71,69,1,N/A,,Denson,
Hilltop,7/24/2023,8,7:30 a.m.,74,69,4,N/A,,Denson,
Hilltop,7/24/2023,9,8:30 a.m.,81,66,4,84,1,Denson,
Hilltop,7/24/2023,10,9:30 a.m.,86,59,6,90,1,Denson,
Hilltop,7/24/2023,11,10:30 a.m.,90,51,5,95,1,Denson,
Hilltop,7/24/2023,12,11:30 a.m.,94,44,5,99,2,Denson,
Hilltop,7/24/2023,13,12:30 p.m.,97,37,5,100,3,Denson,
Hilltop,7/24/2023,14,1:30 p.m.,99,28,5,101,3,Denson,
Hilltop,7/24/2023,15,2:30 p.m.,101,26,5,102,3,"Smith, R",
Hilltop,7/24/2023,16,3:30 p.m.,101,24,8,102,3,"Smith, R",
Hilltop,7/24/2023,17,4:30 p.m.,102,23,8,102,3,"Smith, R",
Hilltop,7/24/2023,18,5:30 p.m.,101,24,7,101,3,"Smith, R",
Hilltop,7/24/2023,19,6:30 p.m.,100,24,8,101,3,"Smith, R",hi_wc corrected
Hilltop,7/24/2023,20,7:30 p.m.,97,22,6,97,2,"Smith, R",humid corrected
Hilltop,7/24/2023,21,8:30 p.m.,94,22,9,94,N/A,"Smith, R",
Hilltop,7/24/2023,22,9:30 p.m.,94,23,6,94,N/A,"Smith, R",
Hilltop,7/24/2023,23,10:30 p.m.,92,22,4,92,N/A,"Smith, R",wind corrected
Hilltop,7/24/2023,24,11:30 p.m.,84,22,9,84,N/A,"Smith, R",
Hilltop,7/25/2023,1,12:30 a.m.,84,N/A,9,84,N/A,"Smith, R",
Hilltop,7/25/2023,2,1:30 a.m.,84,N/A,9,84,N/A,"Smith, R",
Hilltop,7/25/2023,3,2:30 a.m.,84,N/A,9,84,,Denson,
Hilltop,7/25/2023,4,3:30 a.m.,84,N/A,9,84,,Denson,
Hilltop,7/25/2023,5,4:30 a.m.,84,N/A,9,84,,Denson,
Hilltop,7/25/2023,6,5:30 a.m.,84,N/A,9,84,,Denson,
Hilltop,7/25/2023,7,6:30 a.m.,76,80,5,N/A,,Dively,
Hilltop,7/25/2023,8,7:30 a.m.,77,78,5,N/A,,Dively,
Hilltop,7/25/2023,9,8:30 a.m.,82,71,4,86,1,Dively,
