unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Hughes,7/24/2023,1,12:30 a.m.,88,53,11,92,2,Brown,hi_wc_n corrected
Hughes,7/24/2023,2,1:30 a.m.,86,66,13,93,2,Brown,
Hughes,7/24/2023,3,2:30 a.m.,84,64,12,89,1,Brown,
Hughes,7/24/2023,4,3:30 a.m.,83,67,13,88,1,Brown,
Hughes,7/24/2023,5,4:30 a.m.,82,71,14,87,1,Brown,
Hughes,7/24/2023,6,5:30 a.m.,81,76,15,86,1,Brown,
Hughes,7/24/2023,7,6:30 a.m.,81,77,10,88,1,Brown,
Hughes,7/24/2023,8,7:30 a.m.,81,80,5,88,1,Williamson,
Hughes,7/24/2023,9,8:30 a.m.,83,76,6,90,1,Williamson,
Hughes,7/24/2023,10,9:30 a.m.,85,70,11,93,2,Williamson,
Hughes,7/24/2023,11,10:30 a.m.,88,61,10,96,2,Williamson,
Hughes,7/24/2023,12,11:30 a.m.,93,50,9,107,3,Williamson,hi_wc legibility
Hughes,7/24/2023,13,12:30 p.m.,96,43,6,103,3,Williamson,
Hughes,7/24/2023,14,1:30 p.m.,97,42,5,104,3,Williamson,humid corrected
Hughes,7/24/2023,15,2:30 p.m.,98,42,4,106,3,Williamson,hi_wc legibility
Hughes,7/24/2023,16,3:30 p.m.,99,38,3,108,3,Williamson,
Hughes,7/24/2023,17,4:30 p.m.,101,34,10,109,3,Williamson,
Hughes,7/24/2023,18,5:30 p.m.,102,33,11,109,3,Williamson,hi_wc legibility
Hughes,7/24/2023,19,6:30 p.m.,101,32,11,107,4,Brown,"temp corrected, hi_wc_n legibility"
Hughes,7/24/2023,20,7:30 p.m.,99,34,9,106,3,Brown,hi_wc_n legibility
Hughes,7/24/2023,21,8:30 p.m.,99,34,9,105,3,Brown,
Hughes,7/24/2023,22,9:30 p.m.,93,30,8,100,2,Brown,
Hughes,7/24/2023,23,10:30 p.m.,90,30,7,90,2,Brown,
Hughes,7/24/2023,24,11:30 p.m.,90,30,7,90,2,Brown,
Hughes,7/25/2023,1,12:30 a.m.,84,,9,,,Lawson,
Hughes,7/25/2023,2,1:30 a.m.,84,,9,,,Lawson,
Hughes,7/25/2023,3,2:30 a.m.,,,,,,Lawson,
Hughes,7/25/2023,4,3:30 a.m.,,,,,,Lawson,
Hughes,7/25/2023,5,4:30 a.m.,,,,,,Lawson,
Hughes,7/25/2023,6,5:30 a.m.,,,,,,Lawson,
Hughes,7/25/2023,7,6:30 a.m.,76,80,4,N/A,,LiLes,
Hughes,7/25/2023,8,7:30 a.m.,77,78,5,N/A,,LiLes,
Hughes,7/25/2023,9,8:30 a.m.,82,71,4,86,1,LiLes,
Hughes,7/25/2023,10,9:30 a.m.,86,57,7,89,1,LiLes,
Hughes,7/25/2023,11,10:30 a.m.,90,49,10,95,2,LiLes,
Hughes,7/25/2023,12,11:30 a.m.,92,42,12,96,2,LiLes,
Hughes,7/25/2023,13,12:30 p.m.,96,35,11,96,2,LiLes,
Hughes,7/25/2023,14,1:30 p.m.,99,39,10,102,3,LiLes,
Hughes,7/25/2023,15,2:30 p.m.,100,29,11,103,3,LiLes,
Hughes,7/25/2023,16,3:30 p.m.,101,26,12,102,3,LiLes,
Hughes,7/25/2023,17,4:30 p.m.,101,27,13,102,3,LiLes,
Hughes,7/25/2023,18,5:30 p.m.,100,23,11,101,3,LiLes,
Hughes,7/25/2023,19,6:30 p.m.,99,26,11,100,3,Lawson,
Hughes,7/25/2023,20,7:30 p.m.,97,27,9,,,Lawson,
Hughes,7/25/2023,21,8:30 p.m.,95,31,7,,,Lawson,temp corrected
Hughes,7/25/2023,22,9:30 p.m.,90,36,3,,,Lawson,
Hughes,7/25/2023,23,10:30 p.m.,88,39,4,,,Lawson,
Hughes,7/25/2023,24,11:30 p.m.,87,41,4,,,Lawson,
Hughes,7/26/2023,1,12:30 a.m.,85,50,7,,,Lawson,
Hughes,7/26/2023,2,1:30 a.m.,84,56,6,,,Lawson,
Hughes,7/26/2023,3,2:30 a.m.,84,56,6,,,Lawson,
Hughes,7/26/2023,4,3:30 a.m.,81,67,4,,,Lawson,
Hughes,7/26/2023,5,4:30 a.m.,79,72,5,,,Lawson,
Hughes,7/26/2023,6,5:30 a.m.,79,74,4,,,Lawson,
Hughes,7/26/2023,7,6:30 a.m.,78,78,4,,,Wheeler,
Hughes,7/26/2023,8,7:30 a.m.,77,78,11,N/A,,Wheeler,wind legibility
Hughes,7/26/2023,9,8:30 a.m.,79,74,14,84,1,Wheeler,hi_wc corrected
Hughes,7/26/2023,10,9:30 a.m.,82,67,18,88,1,Wheeler,temp legibility
Hughes,7/26/2023,11,10:30 a.m.,88,54,10,93,2,Wheeler,humid corrected
Hughes,7/26/2023,12,11:30 a.m.,91,43,11,97,2,Wheeler,
