unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Marlin,7/24/2023,1,12:30 a.m.,80,50,2,81,,Williams,
Marlin,7/24/2023,2,1:30 a.m.,78,66,,79,,Williams,wind legibility
Marlin,7/24/2023,3,2:30 a.m.,77,65,,78,,Myers,wind legibility
Marlin,7/24/2023,4,3:30 a.m.,74,71,,75,,Myers,
Marlin,7/24/2023,5,4:30 a.m.,73,78,,73,,Myers,
Marlin,7/24/2023,6,5:30 a.m.,71,81,,71,,Myers,
Marlin,7/24/2023,7,6:30 a.m.,71,84,,70,,Taylor,
Marlin,7/24/2023,8,7:30 a.m.,73,82,,73,,Taylor,
Marlin,7/24/2023,9,8:30 a.m.,81,71,2,84,1,Taylor,
Marlin,7/24/2023,10,9:30 a.m.,87,64,5,92,1,Taylor,
Marlin,7/24/2023,11,10:30 a.m.,92,57,6,102,2,Taylor,
Marlin,7/24/2023,12,11:30 a.m.,95,52,7,106,2,Jackson LM III,
Marlin,7/24/2023,13,12:30 p.m.,98,47,11,110,3,Jackson LM III,
Marlin,7/24/2023,14,1:30 p.m.,100,41,7,110,3,Jackson LM III,
Marlin,7/24/2023,15,2:30 p.m.,100,40,6,113,3,Jackson LM III,
Marlin,7/24/2023,16,3:30 p.m.,100,39,5,108,3,Jackson LM III,
Marlin,7/24/2023,17,4:30 p.m.,102,34,7,108,3,Jackson LM III,
Marlin,7/24/2023,18,5:30 p.m.,103,34,7,110,3,Jackson LM III,
Marlin,7/24/2023,19,6:30 p.m.,101,36,7,108,3,York SST,
Marlin,7/24/2023,20,7:30 p.m.,98,38,5,103,3,York SST,
Marlin,7/24/2023,21,8:30 p.m.,94,42,4,98,2,York SST,hi_wc legibility
Marlin,7/24/2023,22,9:30 p.m.,91,49,2,94,2,Huffman,
Marlin,7/24/2023,23,10:30 p.m.,86,58,2,90,1,Huffman,
Marlin,7/24/2023,24,11:30 p.m.,85,65,7,90,1,Huffman,
Marlin,7/25/2023,1,12:30 a.m.,83,71,5,88,1,York,
Marlin,7/25/2023,2,1:30 a.m.,82,74,6,87,1,Huffman,
Marlin,7/25/2023,3,2:30 a.m.,82,76,6,87,1,Huffman,
Marlin,7/25/2023,4,3:30 a.m.,82,77,4,88,1,Huffman,
Marlin,7/25/2023,5,4:30 a.m.,79,81,1,82,,Huffman,
Marlin,7/25/2023,6,5:30 a.m.,77,84,3,78,,Huffman,
Marlin,7/25/2023,7,6:30 a.m.,76,87,,76,,Huffman,
Marlin,7/25/2023,8,7:30 a.m.,77,87,5,78,,Taylor,
Marlin,7/25/2023,9,8:30 a.m.,82,87,9,89,1,Bailos,person legibility
Marlin,7/25/2023,10,9:30 a.m.,86,77,10,98,1,Bailos,
Marlin,7/25/2023,11,10:30 a.m.,89,65,14,100,2,Bailos,
Marlin,7/25/2023,12,11:30 a.m.,93,57,9,101,2,Bailos,humid legibility
Marlin,7/25/2023,13,12:30 p.m.,96,48,15,106,2,Markam,person legibility
Marlin,7/25/2023,14,1:30 p.m.,98,42,7,106,3,Bailos,humid legibility
Marlin,7/25/2023,15,2:30 p.m.,99,39,4,106,3,Bailos,
Marlin,7/25/2023,16,3:30 p.m.,100,40,7,109,3,Bailos,
Marlin,7/25/2023,17,4:30 p.m.,100,40,9,109,3,Bailos,
Marlin,7/25/2023,18,5:30 p.m.,100,39,7,108,3,Bailos,
Marlin,7/25/2023,19,6:30 p.m.,99,39,11,106,3,Bailey,
Marlin,7/25/2023,20,7:30 p.m.,96,38,5,99,2,Bailey,
Marlin,7/25/2023,21,8:30 p.m.,93,42,5,96,2,Huffman,
Marlin,7/25/2023,22,9:30 p.m.,90,50,5,92,,Huffman,
Marlin,7/25/2023,23,10:30 p.m.,90,50,5,92,,Huffman,
Marlin,7/25/2023,24,11:30 p.m.,85,54,5,90,,Huffman,
Marlin,7/26/2023,1,12:30 a.m.,82,70,4,83,,Huffman,
Marlin,7/26/2023,2,1:30 a.m.,81,70,5,85,,Huffman,
Marlin,7/26/2023,3,2:30 a.m.,80,73,5,82,,Huffman,
Marlin,7/26/2023,4,3:30 a.m.,79,78,4,80,,Huffman,
Marlin,7/26/2023,5,4:30 a.m.,79,81,4,80,,Huffman,
Marlin,7/26/2023,6,5:30 a.m.,78,80,4,81,,Huffman,humid corrected
Marlin,7/26/2023,7,6:30 a.m.,78,53,6,85,,Cox,
Marlin,7/26/2023,8,7:30 a.m.,78,53,6,85,,Cox,
Marlin,7/26/2023,9,8:30 a.m.,80,53,10,85,,Cox,
Marlin,7/26/2023,10,9:30 a.m.,87,53,15,100,1,Cox,
