unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Middleton,7/24/2023,1,12:30 a.m.,83,34,12,83,1,Ramirez,
Middleton,7/24/2023,2,1:30 a.m.,84,34,14,84,1,Ramirez,
Middleton,7/24/2023,3,2:30 a.m.,82,37,10,82,1,Ramirez,
Middleton,7/24/2023,4,3:30 a.m.,80,40,9,80,1,Ramirez,
Middleton,7/24/2023,5,4:30 a.m.,79,42,10,N/A,N/A,Ramirez,
Middleton,7/24/2023,6,5:30 a.m.,78,44,10,N/A,N/A,Ramirez,
Middleton,7/24/2023,7,6:30 a.m.,77,48,9,79,,Kelly,
Middleton,7/24/2023,8,7:30 a.m.,76,52,8,78,,Kelly,
Middleton,7/24/2023,9,8:30 a.m.,79,54,6,80,,Kelly,
Middleton,7/24/2023,10,9:30 a.m.,85,50,7,86,,Kelly,
Middleton,7/24/2023,11,10:30 a.m.,91,39,13,92,,Kelly,
Middleton,7/24/2023,12,11:30 a.m.,94,36,12,95,,Kelly,
Middleton,7/24/2023,13,12:30 p.m.,98,31,8,99,,Kelly,
Middleton,7/24/2023,14,1:30 p.m.,99,27,,99,,Kelly,
Middleton,7/24/2023,15,2:30 p.m.,100,23,6,99,,Kelly,
Middleton,7/24/2023,16,3:30 p.m.,102,22,6,101,,Kelly,
Middleton,7/24/2023,17,4:30 p.m.,103,20,5,101,,Kelly,
Middleton,7/24/2023,18,5:30 p.m.,102,19,10,100,,Kelly,
Middleton,7/24/2023,19,6:30 p.m.,102,0,12,103,,Martinez,
Middleton,7/24/2023,20,7:30 p.m.,102,16,11,102,,Martinez,hi_wc legibility
Middleton,7/24/2023,21,8:30 p.m.,99,12,9,99,,Martinez,
Middleton,7/24/2023,22,9:30 p.m.,95,8,5,95,,Martinez,
Middleton,7/24/2023,23,10:30 p.m.,87,10,8,88,,Martinez,
Middleton,7/24/2023,24,11:30 p.m.,87,25,10,87,,Martinez,
Middleton,7/25/2023,1,12:30 a.m.,86,29,10,N/A,N/A,Bret,
Middleton,7/25/2023,2,1:30 a.m.,84,33,12,N/A,N/A,Bret,
Middleton,7/25/2023,3,2:30 a.m.,82,37,10,N/A,N/A,Bret,
Middleton,7/25/2023,4,3:30 a.m.,82,40,9,81,,Bret,
Middleton,7/25/2023,5,4:30 a.m.,83,39,10,N/A,N/A,Bret,
Middleton,7/25/2023,6,5:30 a.m.,82,43,13,82,,Bret,
Middleton,7/25/2023,7,6:30 a.m.,80,52,8,81,1,Kelly,
Middleton,7/25/2023,8,7:30 a.m.,79,58,10,81,1,Kelly,
Middleton,7/25/2023,9,8:30 a.m.,80,58,12,82,1,Kelly,
Middleton,7/25/2023,10,9:30 a.m.,82,58,13,84,1,Kelly,
Middleton,7/25/2023,11,10:30 a.m.,89,48,12,92,2,Kelly,text in humid and wing: G23
Middleton,7/25/2023,12,11:30 a.m.,93,41,13,96,2,Kelly,
Middleton,7/25/2023,13,12:30 p.m.,97,30,9,97,2,Kelly,
Middleton,7/25/2023,14,1:30 p.m.,99,27,13,99,2,Kelly,text in humid and wing: G21
Middleton,7/25/2023,15,2:30 p.m.,101,25,N/A,101,2,Kelly,
Middleton,7/25/2023,16,3:30 p.m.,101,23,8,100,2,Kelly,text in humid and wing: G25
Middleton,7/25/2023,17,4:30 p.m.,102,21,20,101,2,Kelly,text in humid and wing: G28
Middleton,7/25/2023,18,5:30 p.m.,103,21,15,102,2,Kelly,
Middleton,7/25/2023,19,6:30 p.m.,102,20,18,N/A,N/A,Bret,
Middleton,7/25/2023,20,7:30 p.m.,100,21,14,N/A,N/A,Bret,
Middleton,7/25/2023,21,8:30 p.m.,98,21,12,N/A,N/A,Bret,
Middleton,7/25/2023,22,9:30 p.m.,92,24,7,N/A,N/A,Bret,
Middleton,7/25/2023,23,10:30 p.m.,86,32,7,N/A,N/A,Bret,
Middleton,7/25/2023,24,11:30 p.m.,83,35,8,N/A,N/A,Bret,
Middleton,7/26/2023,1,12:30 a.m.,89,32,9,85,,Adams,
Middleton,7/26/2023,2,1:30 a.m.,84,33,9,84,,Adams,
Middleton,7/26/2023,3,2:30 a.m.,83,36,10,83,,Adams,
Middleton,7/26/2023,4,3:30 a.m.,82,38,9,82,,Adams,
Middleton,7/26/2023,5,4:30 a.m.,80,42,9,80,,Adams,
Middleton,7/26/2023,6,5:30 a.m.,78,45,9,78,,Adams,
Middleton,7/26/2023,7,6:30 a.m.,76,52,8,78,,Kelly,
Middleton,7/26/2023,8,7:30 a.m.,76,56,9,78,,Kelly,
Middleton,7/26/2023,9,8:30 a.m.,78,56,8,80,1,Kelly,
Middleton,7/26/2023,10,9:30 a.m.,84,53,12,86,1,Kelly,
Middleton,7/26/2023,11,10:30 a.m.,87,50,15,89,1,Kelly,
Middleton,7/26/2023,12,11:30 a.m.,91,44,13,94,2,Kelly,text in humid and wing: G23
Middleton,7/26/2023,13,12:30 p.m.,94,36,14,95,2,Kelly,text in humid and wing: G23
Middleton,7/26/2023,14,1:30 p.m.,96,34,7,98,2,Kelly,text in humid and wing: G20
Middleton,7/26/2023,15,2:30 p.m.,99,30,14,101,2,Kelly,text in humid and wing: G23
Middleton,7/26/2023,16,3:30 p.m.,100,28,7,101,3,Kelly,text in humid and wing: G18
Middleton,7/26/2023,17,4:30 p.m.,101,26,17,102,3,Kelly,text in humid and wing: G28
Middleton,7/26/2023,18,5:30 p.m.,101,25,5,101,3,Kelly,text in humid and wing: G21
Middleton,7/26/2023,19,6:30 p.m.,102,21,14,101,3,Bret,
Middleton,7/26/2023,20,7:30 p.m.,99,24,12,N/A,N/A,Bret,
Middleton,7/26/2023,21,8:30 p.m.,94,26,7,N/A,N/A,Bret,
Middleton,7/26/2023,22,9:30 p.m.,92,30,8,N/A,N/A,Bret,
Middleton,7/26/2023,23,10:30 p.m.,89,33,8,N/A,N/A,Bret,
Middleton,7/26/2023,24,11:30 p.m.,84,39,7,N/A,N/A,Bret,
Middleton,7/27/2023,1,12:30 a.m.,86,36,8,87,,Martinez,
Middleton,7/27/2023,2,1:30 a.m.,85,38,8,85,,Martinez,
Middleton,7/27/2023,3,2:30 a.m.,83,40,8,83,,Martinez,
Middleton,7/27/2023,4,3:30 a.m.,82,40,7,83,,Martinez,
Middleton,7/27/2023,5,4:30 a.m.,81,43,8,82,,Martinez,
Middleton,7/27/2023,6,5:30 a.m.,80,46,9,81,,Martinez,
Middleton,7/27/2023,7,6:30 a.m.,78,48,9,80,,Garza,
Middleton,7/27/2023,8,7:30 a.m.,80,48,9,81,,Garza,
Middleton,7/27/2023,9,8:30 a.m.,81,47,8,83,,Garza,
Middleton,7/27/2023,10,9:30 a.m.,85,42,13,87,,Garza,
Middleton,7/27/2023,11,10:30 a.m.,89,37,12,90,,Garza,
Middleton,7/27/2023,12,11:30 a.m.,93,30,12,93,,Garza,
Middleton,7/27/2023,13,12:30 p.m.,96,26,10,97,,Garza,
Middleton,7/27/2023,14,1:30 p.m.,98,22,6,98,,Garza,
Middleton,7/27/2023,15,2:30 p.m.,100,22,8,100,,Garza,
Middleton,7/27/2023,16,3:30 p.m.,102,19,9,102,,Garza,
Middleton,7/27/2023,17,4:30 p.m.,102,20,11,102,,Garza,
Middleton,7/27/2023,18,5:30 p.m.,103,18,12,103,,Garza,
Middleton,7/27/2023,19,6:30 p.m.,101,28,2,101,,Myers,
Middleton,7/27/2023,20,7:30 p.m.,100,21,11,100,,Myers,
Middleton,7/27/2023,21,8:30 p.m.,95,27,9,95,,Myers,hi_wc corrected
Middleton,7/27/2023,22,9:30 p.m.,91,30,9,91,,Myers,
Middleton,7/27/2023,23,10:30 p.m.,90,31,9,90,,Myers,
Middleton,7/27/2023,24,11:30 p.m.,84,38,6,84,,Waston,
Middleton,7/28/2023,1,12:30 a.m.,83,41,8,83,,Waston,
Middleton,7/28/2023,2,1:30 a.m.,82,40,8,82,,Waston,
Middleton,7/28/2023,3,2:30 a.m.,83,41,12,83,,Waston,
Middleton,7/28/2023,4,3:30 a.m.,82,43,10,82,,Waston,
Middleton,7/28/2023,5,4:30 a.m.,81,45,9,81,,Waston,
Middleton,7/28/2023,6,5:30 a.m.,81,45,10,81,,Waston,
Middleton,7/28/2023,7,6:30 a.m.,80,48,8,80,,Prado,
Middleton,7/28/2023,8,7:30 a.m.,78,51,8,80,,Prado,
Middleton,7/28/2023,9,8:30 a.m.,74,52,7,81,,Prado,
Middleton,7/28/2023,10,9:30 a.m.,83,47,10,86,,Prado,
Middleton,7/28/2023,11,10:30 a.m.,87,41,14,84,,Prado,
Middleton,7/28/2023,12,11:30 a.m.,91,36,16,92,,Prado,
Middleton,7/28/2023,13,12:30 p.m.,93,31,8,94,,Prado,
Middleton,7/28/2023,14,1:30 p.m.,96,29,14,97,,Prado,
Middleton,7/28/2023,15,2:30 p.m.,98,26,8,98,,Prado,
Middleton,7/28/2023,16,3:30 p.m.,99,24,10,99,,Prado,
Middleton,7/28/2023,17,4:30 p.m.,100,23,12,100,,Prado,
Middleton,7/28/2023,18,5:30 p.m.,100,23,7,100,,Prado,
Middleton,7/28/2023,19,6:30 p.m.,101,21,20,101,,Waston,
Middleton,7/28/2023,20,7:30 p.m.,100,21,16,100,,Waston,
Middleton,7/28/2023,21,8:30 p.m.,97,22,12,97,,Waston,
Middleton,7/28/2023,22,9:30 p.m.,91,28,9,96,,W Carter,
Middleton,7/28/2023,23,10:30 p.m.,90,28,10,90,,W Carter,
Middleton,7/28/2023,24,11:30 p.m.,86,30,10,86,,W Carter,
Middleton,7/29/2023,1,12:30 a.m.,83,34,7,83,,W Carter,
Middleton,7/29/2023,2,1:30 a.m.,82,36,10,82,,W Carter,
Middleton,7/29/2023,3,2:30 a.m.,79,41,7,80,,W Carter,
