unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Lane Murray,7/24/2023,1,12:30 a.m.,80,48,2,N/A,N/A,Ortiz,
Lane Murray,7/24/2023,2,1:30 a.m.,78,50,3,N/A,N/A,Wall,
Lane Murray,7/24/2023,3,2:30 a.m.,7,50,3,N/A,N/A,Wall,
Lane Murray,7/24/2023,4,3:30 a.m.,75,57,1,N/A,N/A,Wall,
Lane Murray,7/24/2023,5,4:30 a.m.,73,61,1,N/A,N/A,Wall,
Lane Murray,7/24/2023,6,5:30 a.m.,73,68,0,N/A,N/A,Wall,
Lane Murray,7/24/2023,7,6:30 a.m.,71,69,1,N/A,N/A,Neal,
Lane Murray,7/24/2023,8,7:30 a.m.,74,69,4,N/A,N/A,Neal,
Lane Murray,7/24/2023,9,8:30 a.m.,81,66,4,84,1,Neal,
Lane Murray,7/24/2023,10,9:30 a.m.,86,59,10,90,1,Neal,
Lane Murray,7/24/2023,11,10:30 a.m.,90,51,8,95,1,Neal,
Lane Murray,7/24/2023,12,11:30 a.m.,94,44,5,99,2,Neal,
Lane Murray,7/24/2023,13,12:30 p.m.,97,37,5,103,3,Neal,
Lane Murray,7/24/2023,14,1:30 p.m.,99,24,5,101,3,Garreson,humid legibility
Lane Murray,7/24/2023,15,2:30 p.m.,101,26,5,102,3,Garreson,"temp corrected, humid corrected, humid legibility"
Lane Murray,7/24/2023,16,3:30 p.m.,101,24,8,102,3,Garreson,
Lane Murray,7/24/2023,17,4:30 p.m.,102,23,8,102,3,Garreson,
Lane Murray,7/24/2023,18,5:30 p.m.,101,24,7,102,3,Garreson,
Lane Murray,7/24/2023,19,6:30 p.m.,100,24,8,101,3,Wall,
Lane Murray,7/24/2023,20,7:30 p.m.,97,22,6,97,2,Wall,
Lane Murray,7/24/2023,21,8:30 p.m.,94,22,6,N/A,N/A,Wall,
Lane Murray,7/24/2023,22,9:30 p.m.,94,22,6,N/A,N/A,Wall,
Lane Murray,7/24/2023,23,10:30 p.m.,92,21,4,N/A,N/A,Fretwell,wind corrected
Lane Murray,7/24/2023,24,11:30 p.m.,89,21,9,N/A,N/A,Wall,
Lane Murray,7/25/2023,1,12:30 a.m.,84,,9,N/A,N/A,Handy,
Lane Murray,7/25/2023,2,1:30 a.m.,84,,9,N/A,N/A,Handy,
Lane Murray,7/25/2023,3,2:30 a.m.,84,,9,N/A,N/A,Handy,
