unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Robertson,7/24/2023,1,12:30 a.m.,83,34,12,83,,Priddy,
Robertson,7/24/2023,2,1:30 a.m.,84,34,14,84,,Priddy,
Robertson,7/24/2023,3,2:30 a.m.,82,37,10,82,,Priddy,
Robertson,7/24/2023,4,3:30 a.m.,80,40,9,80,,Priddy,
Robertson,7/24/2023,5,4:30 a.m.,79,42,8,N/A,,Priddy,
Robertson,7/24/2023,6,5:30 a.m.,78,44,10,N/A,,Priddy,
Robertson,7/24/2023,7,6:30 a.m.,77,48,9,N/A,,Elliot,
Robertson,7/24/2023,8,7:30 a.m.,76,51,8,N/A,,Elliot,
Robertson,7/24/2023,9,8:30 a.m.,79,53,6,N/A,,Elliot,
Robertson,7/24/2023,10,9:30 a.m.,85,49,7,N/A,,Elliot,
Robertson,7/24/2023,11,10:30 a.m.,91,,13,N/A,,Elliot,Text betwen lines
Robertson,7/24/2023,12,11:30 a.m.,94,,12,N/A,,Elliot,Text betwen lines
Robertson,7/24/2023,13,12:30 p.m.,98,,8,,2,Elliot,Text betwen lines
Robertson,7/24/2023,14,1:30 p.m.,99,,,,2,Elliot,Text betwen lines
Robertson,7/24/2023,15,2:30 p.m.,100,23,6,,,Elliot,"Text betwen lines, text corrected"
Robertson,7/24/2023,16,3:30 p.m.,102,21,5,,2,Elliot,Text betwen lines
Robertson,7/24/2023,17,4:30 p.m.,103,19,5,,2,Elliot,Text betwen lines
Robertson,7/24/2023,18,5:30 p.m.,102,10,10,104,2,Elliot,Text betwen lines
Robertson,7/24/2023,19,6:30 p.m.,102,16,12,102,2,Henderson,
Robertson,7/24/2023,20,7:30 p.m.,102,17,13,N/A,,Henderson,
Robertson,7/24/2023,21,8:30 p.m.,98,19,10,N/A,,Henderson,
Robertson,7/24/2023,22,9:30 p.m.,89,25,10,N/A,,Henderson,humid corrected
Robertson,7/24/2023,23,10:30 p.m.,88,27,9,N/A,,Henderson,
Robertson,7/24/2023,24,11:30 p.m.,85,29,12,N/A,,Henderson,ICS in the Margin
Robertson,7/25/2023,1,12:30 a.m.,86,29,10,N/A,,Henderson,
Robertson,7/25/2023,2,1:30 a.m.,84,30,12,N/A,,Henderson,
Robertson,7/25/2023,3,2:30 a.m.,84,33,8,N/A,,Henderson,
Robertson,7/25/2023,4,3:30 a.m.,82,37,9,N/A,,Henderson,
Robertson,7/25/2023,5,4:30 a.m.,81,41,10,N/A,,Henderson,
Robertson,7/25/2023,6,5:30 a.m.,80,44,11,N/A,,Henderson,
Robertson,7/25/2023,7,6:30 a.m.,79,52,8,N/A,,Poulton,
Robertson,7/25/2023,8,7:30 a.m.,78,57,10,N/A,,Poulton,
Robertson,7/25/2023,9,8:30 a.m.,83,58,13,N/A,,Poulton,
Robertson,7/25/2023,10,9:30 a.m.,87,54,9,N/A,,Poulton,
Robertson,7/25/2023,11,10:30 a.m.,91,47,12,N/A,,Poulton,extra text in humid and wind: G-25
Robertson,7/25/2023,12,11:30 a.m.,96,38,13,102,2,Poulton,
Robertson,7/25/2023,13,12:30 p.m.,104,26,9,107,3,Poulton,
Robertson,7/25/2023,14,1:30 p.m.,103,26,10,106,3,Poulton,extra text in humid and wind: G-21
Robertson,7/25/2023,15,2:30 p.m.,105,24,13,108,3,Poulton,extra text in humid and wind: G-21
Robertson,7/25/2023,16,3:30 p.m.,104,24,8,106,3,Poulton,extra text in humid and wind: G-25
Robertson,7/25/2023,17,4:30 p.m.,103,23,9,103,3,Poulton,extra text in humid and wind: G-28
Robertson,7/25/2023,18,5:30 p.m.,103,22,15,103,3,Poulton,
Robertson,7/25/2023,19,6:30 p.m.,103,21,18,103,3,Henderson,extra text in humid and wind: G-26
Robertson,7/25/2023,20,7:30 p.m.,101,22,14,101,2,Henderson,extra text in humid and wind: G-23
Robertson,7/25/2023,21,8:30 p.m.,98,22,12,98,1,Henderson,
Robertson,7/25/2023,22,9:30 p.m.,92,25,7,N/A,,Henderson,
Robertson,7/25/2023,23,10:30 p.m.,86,32,7,N/A,,Henderson,
Robertson,7/25/2023,24,11:30 p.m.,84,34,8,N/A,,Henderson,
Robertson,7/26/2023,1,12:30 a.m.,86,33,7,N/A,,Henderson,
Robertson,7/26/2023,2,1:30 a.m.,85,34,9,N/A,,Henderson,
Robertson,7/26/2023,3,2:30 a.m.,84,37,10,N/A,,Henderson,
Robertson,7/26/2023,4,3:30 a.m.,82,39,10,N/A,,Henderson,
Robertson,7/26/2023,5,4:30 a.m.,79,43,9,N/A,,Henderson,
Robertson,7/26/2023,6,5:30 a.m.,79,44,10,N/A,,Henderson,temp corrected
Robertson,7/26/2023,7,6:30 a.m.,79,47,10,N/A,,Saiid,
Robertson,7/26/2023,8,7:30 a.m.,75,55,9,N/A,,Saiid,
Robertson,7/26/2023,9,8:30 a.m.,78,65,8,N/A,,Saiid,
Robertson,7/26/2023,10,9:30 a.m.,84,52,12,,1,Saiid,humid corrected
Robertson,7/26/2023,11,10:30 a.m.,87,49,15,,1,Saiid,
Robertson,7/26/2023,12,11:30 a.m.,91,43,13,,1,Saiid,
Robertson,7/26/2023,13,12:30 p.m.,94,35,14,,2,Saiid,
Robertson,7/26/2023,14,1:30 p.m.,96,33,7,,2,Saiid,
Robertson,7/26/2023,15,2:30 p.m.,99,29,14,,3,Saiid,
Robertson,7/26/2023,16,3:30 p.m.,100,27,7,,3,Saiid,
Robertson,7/26/2023,17,4:30 p.m.,101,25,17,,3,Saiid,
Robertson,7/26/2023,18,5:30 p.m.,101,24,5,,3,Saiid,
Robertson,7/26/2023,19,6:30 p.m.,101,24,14,,3,Henderson,extra text in humid and wind: G-21
Robertson,7/26/2023,20,7:30 p.m.,99,24,12,,2,Henderson,
Robertson,7/26/2023,21,8:30 p.m.,97,26,9,,2,Henderson,
Robertson,7/26/2023,22,9:30 p.m.,92,31,9,,1,Henderson,
Robertson,7/26/2023,23,10:30 p.m.,87,33,8,,1,Henderson,
Robertson,7/26/2023,24,11:30 p.m.,85,38,8,,1,Henderson,
Robertson,7/27/2023,1,12:30 a.m.,86,36,8,87,,Chatham,
Robertson,7/27/2023,2,1:30 a.m.,85,38,8,85,,Chatham,
Robertson,7/27/2023,3,2:30 a.m.,83,40,8,83,,Chatham,
Robertson,7/27/2023,4,3:30 a.m.,82,40,7,83,,Chatham,
Robertson,7/27/2023,5,4:30 a.m.,81,43,8,82,,Chatham,
Robertson,7/27/2023,6,5:30 a.m.,80,46,9,81,,Chatham,
Robertson,7/27/2023,7,6:30 a.m.,78,48,9,80,,Braxton,
Robertson,7/27/2023,8,7:30 a.m.,80,48,9,81,,Braxton,
Robertson,7/27/2023,9,8:30 a.m.,81,47,8,83,,Braxton,
Robertson,7/27/2023,10,9:30 a.m.,85,42,13,87,,Braxton,
Robertson,7/27/2023,11,10:30 a.m.,89,42,12,87,,Braxton,
Robertson,7/27/2023,12,11:30 a.m.,93,30,12,90,,Braxton,
Robertson,7/27/2023,13,12:30 p.m.,96,26,10,93,,Braxton,
Robertson,7/27/2023,14,1:30 p.m.,98,22,6,98,,Braxton,
Robertson,7/27/2023,15,2:30 p.m.,100,22,8,100,,Braxton,hi_wc corrected
Robertson,7/27/2023,16,3:30 p.m.,102,19,9,102,,Braxton,hi_wc corrected
Robertson,7/27/2023,17,4:30 p.m.,102,20,11,102,,Braxton,
Robertson,7/27/2023,18,5:30 p.m.,103,18,12,103,,Braxton,
Robertson,7/27/2023,19,6:30 p.m.,101,28,2,101,,Henderson,
Robertson,7/27/2023,20,7:30 p.m.,100,21,11,100,,Henderson,
Robertson,7/27/2023,21,8:30 p.m.,95,27,9,95,,Henderson,
Robertson,7/27/2023,22,9:30 p.m.,91,30,9,91,,Henderson,
Robertson,7/27/2023,23,10:30 p.m.,90,31,9,90,,Henderson,
Robertson,7/27/2023,24,11:30 p.m.,84,38,6,84,,Henderson,
Robertson,7/28/2023,1,12:30 a.m.,83,41,8,N/A,,Winters,
Robertson,7/28/2023,2,1:30 a.m.,86,38,10,N/A,,Winters,
Robertson,7/28/2023,3,2:30 a.m.,83,41,12,N/A,,Winters,
Robertson,7/28/2023,4,3:30 a.m.,82,43,10,N/A,,Winters,
Robertson,7/28/2023,5,4:30 a.m.,81,45,9,N/A,,Winters,
Robertson,7/28/2023,6,5:30 a.m.,81,45,10,N/A,,Winters,
Robertson,7/28/2023,7,6:30 a.m.,80,48,8,N/A,,Winters,
