unit,date,rec,time,temp,humid,wind,hi_wc,hi_wc_n,person,notes
Travis State Jail,7/24/2023,1,12:30 a.m.,81,67,,N/A,,Scott,
Travis State Jail,7/24/2023,2,1:30 a.m.,77,76,,N/A,,Scott,
Travis State Jail,7/24/2023,3,2:30 a.m.,75,81,,N/A,,Scott,
Travis State Jail,7/24/2023,4,3:30 a.m.,74,85,,N/A,,Scott,
Travis State Jail,7/24/2023,5,4:30 a.m.,73,84,,N/A,,Scott,
Travis State Jail,7/24/2023,6,5:30 a.m.,73,90,,N/A,,Scott,
Travis State Jail,7/24/2023,7,6:30 a.m.,73,87,,N/A,,Coleman,
Travis State Jail,7/24/2023,8,7:30 a.m.,71,93,,N/A,,Coleman,
Travis State Jail,7/24/2023,9,8:30 a.m.,71,93,,N/A,,Coleman,
Travis State Jail,7/24/2023,10,9:30 a.m.,76,85,,N/A,,Coleman,
Travis State Jail,7/24/2023,11,10:30 a.m.,88,61,9,95,,Coleman,
Travis State Jail,7/24/2023,12,11:30 a.m.,88,61,9,95,,Coleman,
Travis State Jail,7/24/2023,13,12:30 p.m.,92,48,5,97,1,Ajal,
Travis State Jail,7/24/2023,14,1:30 p.m.,94,44,13,99,1,Ajal,
Travis State Jail,7/24/2023,15,2:30 p.m.,98,36,12,102,3,Johnson,
Travis State Jail,7/24/2023,16,3:30 p.m.,99,32,8,102,3,Ajal,
Travis State Jail,7/24/2023,17,4:30 p.m.,99,33,8,103,3,Ajal,
Travis State Jail,7/24/2023,18,5:30 p.m.,99,31,,101,3,Ajal,
Travis State Jail,7/24/2023,19,6:30 p.m.,100,29,9,102,3,Flanagan,
Travis State Jail,7/24/2023,20,7:30 p.m.,98,31,8,100,3,Flanagan,
Travis State Jail,7/24/2023,21,8:30 p.m.,96,32,7,97,2,Flanagan,
Travis State Jail,7/24/2023,22,9:30 p.m.,91,51,15,97,2,Flanagan,
Travis State Jail,7/24/2023,23,10:30 p.m.,88,57,9,97,1,Bizima,
Travis State Jail,7/24/2023,24,11:30 p.m.,86,65,13,93,1,Flanagan,
Travis State Jail,7/25/2023,1,12:30 a.m.,83,72,9,N/A,,Perez,
Travis State Jail,7/25/2023,2,1:30 a.m.,79,85,3,N/A,,Perez,
Travis State Jail,7/25/2023,3,2:30 a.m.,76,91,,N/A,,Perez,
Travis State Jail,7/25/2023,4,3:30 a.m.,75,93,3,N/A,,Perez,
Travis State Jail,7/25/2023,5,4:30 a.m.,73,96,,N/A,,Perez,
Travis State Jail,7/25/2023,6,5:30 a.m.,73,100,,N/A,,Perez,
Travis State Jail,7/25/2023,7,6:30 a.m.,73,100,3,N/A,,Johnson W,
Travis State Jail,7/25/2023,8,7:30 a.m.,74,97,,N/A,,Johnson W,
Travis State Jail,7/25/2023,9,8:30 a.m.,77,93,6,N/A,,Johnson W,
Travis State Jail,7/25/2023,10,9:30 a.m.,82,79,13,N/A,,Johnson W,
Travis State Jail,7/25/2023,11,10:30 a.m.,86,67,10,94,,Johnson W,
Travis State Jail,7/25/2023,12,11:30 a.m.,94,67,10,102,,Solis,
Travis State Jail,7/25/2023,13,12:30 p.m.,97,88,10,110,,Solis,
Travis State Jail,7/25/2023,14,1:30 p.m.,94,41,10,97,2,Solis,"temp corrected, humid corrected, hi_wc corrected"
Travis State Jail,7/25/2023,15,2:30 p.m.,97,34,6,99,2,Ajal,temp legibility
Travis State Jail,7/25/2023,16,3:30 p.m.,98,33,10,104,3,Ajal,temp legibility
Travis State Jail,7/25/2023,17,4:30 p.m.,99,30,9,101,2,Ajal,
Travis State Jail,7/25/2023,18,5:30 p.m.,100,30,12,102,3,Flanagan,
Travis State Jail,7/25/2023,19,6:30 p.m.,97,32,9,100,3,Flanagan,
